Empty fournace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       7811.000       88.37986    
   185.0000       7830.000       88.48729    
   186.0000       7638.000       87.39565    
   187.0000       7641.000       87.41281    
   188.0000       7531.000       86.78133    
   189.0000       8188.000       90.48757    
   190.0000       7375.000       85.87782    
   191.0000       7538.000       86.82166    
   192.0000       7708.000       87.79522    
   193.0000       7459.000       86.36550    
   194.0000       7545.000       86.86196    
   195.0000       7627.000       87.33270    
   196.0000       7601.000       87.18372    
   197.0000       7429.000       86.19165    
   198.0000       7598.000       87.16650    
   199.0000       7615.000       87.26397    
   200.0000       7028.000       83.83317    
   201.0000       7112.000       84.33267    
   202.0000       7550.000       86.89074    
   203.0000       7935.000       89.07861    
   204.0000       7514.000       86.68333    
   205.0000       7425.000       86.16844    
   206.0000       7595.000       87.14930    
   207.0000       7869.000       88.70738    
   208.0000       7340.000       85.67380    
   209.0000       7803.000       88.33459    
   210.0000       7039.000       83.89875    
   211.0000       7269.000       85.25843    
   212.0000       7693.000       87.70975    
   213.0000       7506.000       86.63718    
   214.0000       7312.000       85.51023    
   215.0000       7199.000       84.84692    
   216.0000       7502.000       86.61409    
   217.0000       7521.000       86.72370    
   218.0000       6941.000       83.31267    
   219.0000       6730.000       82.03658    
   220.0000       7604.000       87.20092    
   221.0000       7203.000       84.87049    
   222.0000       7270.000       85.26430    
   223.0000       7535.000       86.80437    
   224.0000       7452.000       86.32497    
   225.0000       7418.000       86.12782    
   226.0000       7343.000       85.69131    
   227.0000       7530.000       86.77557    
   228.0000       7348.000       85.72047    
   229.0000       7839.000       88.53812    
   230.0000       6935.000       83.27665    
   231.0000       7099.000       84.25556    
   232.0000       7495.000       86.57367    
   233.0000       7372.000       85.86035    
   234.0000       7315.000       85.52777    
   235.0000       7150.000       84.55767    
   236.0000       7450.000       86.31339    
   237.0000       7144.000       84.52219    
   238.0000       7134.000       84.46301    
   239.0000       6474.000       80.46117    
   240.0000       7629.000       87.34415    
   241.0000       7282.000       85.33463    
   242.0000       7574.000       87.02873    
   243.0000       7493.000       86.56212    
   244.0000       7424.000       86.16264    
   245.0000       7541.000       86.83893    
   246.0000       7484.000       86.51012    
   247.0000       7516.000       86.69487    
   248.0000       7254.000       85.17042    
   249.0000       7707.000       87.78952    
   250.0000       6748.000       82.14621    
   251.0000       7075.000       84.11302    
   252.0000       7492.000       86.55634    
   253.0000       7041.000       83.91067    
   254.0000       7338.000       85.66212    
   255.0000       7038.000       83.89279    
   256.0000       7124.000       84.40379    
   257.0000       6957.000       83.40863    
   258.0000       6570.000       81.05553    
   259.0000       5951.000       77.14272    
   260.0000       7406.000       86.05812    
   261.0000       7220.000       84.97058    
   262.0000       7130.000       84.43933    
   263.0000       7370.000       85.84870    
   264.0000       7118.000       84.36824    
   265.0000       7251.000       85.15280    
   266.0000       7256.000       85.18216    
   267.0000       7485.000       86.51589    
   268.0000       7188.000       84.78207    
   269.0000       7544.000       86.85620    
   270.0000       6938.000       83.29465    
   271.0000       6878.000       82.93371    
   272.0000       7253.000       85.16454    
   273.0000       7254.000       85.17042    
   274.0000       6979.000       83.54041    
   275.0000       6998.000       83.65405    
   276.0000       7230.000       85.02940    
   277.0000       6994.000       83.63013    
   278.0000       6854.000       82.78889    
   279.0000       5892.000       76.75936    
   280.0000       7303.000       85.45759    
   281.0000       7090.000       84.20214    
   282.0000       7119.000       84.37417    
   283.0000       7288.000       85.36978    
   284.0000       7196.000       84.82924    
   285.0000       7165.000       84.64632    
   286.0000       7184.000       84.75848    
   287.0000       7349.000       85.72631    
   288.0000       6961.000       83.43261    
   289.0000       7466.000       86.40602    
   290.0000       7159.000       84.61087    
   291.0000       7041.000       83.91067    
   292.0000       7084.000       84.16650    
   293.0000       6999.000       83.66003    
   294.0000       6961.000       83.43261    
   295.0000       6964.000       83.45058    
   296.0000       7091.000       84.20808    
   297.0000       6929.000       83.24062    
   298.0000       6597.000       81.22192    
   299.0000       6603.000       81.25884    
   300.0000       7123.000       84.39787    
   301.0000       7058.000       84.01190    
   302.0000       6810.000       82.52272    
   303.0000       7042.000       83.91663    
   304.0000       6954.000       83.39065    
   305.0000       6985.000       83.57631    
   306.0000       6921.000       83.19255    
   307.0000       6909.000       83.12039    
   308.0000       6850.000       82.76472    
   309.0000       7280.000       85.32291    
   310.0000       6655.000       81.57819    
   311.0000       6886.000       82.98193    
   312.0000       7119.000       84.37417    
   313.0000       6776.000       82.31646    
   314.0000       6747.000       82.14012    
   315.0000       6707.000       81.89628    
   316.0000       6961.000       83.43261    
   317.0000       7091.000       84.20808    
