sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10512.00       102.5280    
   1.000000       1366.000       36.95944    
   2.000000       1493.000       38.63936    
   3.000000       1913.000       43.73785    
   4.000000       2795.000       52.86776    
   5.000000       3727.000       61.04916    
   6.000000       4286.000       65.46755    
   7.000000       5218.000       72.23573    
   8.000000       5257.000       72.50517    
   9.000000       5711.000       75.57116    
   10.00000       4994.000       70.66824    
   11.00000       5063.000       71.15476    
   12.00000       4578.000       67.66092    
   13.00000       4088.000       63.93747    
   14.00000       3813.000       61.74949    
   15.00000       3623.000       60.19136    
   16.00000       3946.000       62.81720    
   17.00000       4286.000       65.46755    
   18.00000       4704.000       68.58572    
   19.00000       10847.00       104.1489    
   20.00000       5803.000       76.17742    
   21.00000       6303.000       79.39143    
   22.00000       6507.000       80.66598    
   23.00000       7734.000       87.94316    
   24.00000       24711.00       157.1973    
   25.00000       43913.00       209.5543    
   26.00000       48152.00       219.4356    
   27.00000       51968.00       227.9649    
   28.00000       53338.00       230.9502    
   29.00000       53053.00       230.3324    
   30.00000       45319.00       212.8826    
   31.00000       46968.00       216.7210    
   32.00000       51795.00       227.5851    
   33.00000       55475.00       235.5313    
   34.00000       53786.00       231.9181    
   35.00000       53469.00       231.2336    
   36.00000       58525.00       241.9194    
   37.00000       58074.00       240.9855    
   38.00000       54428.00       233.2981    
   39.00000       50654.00       225.0644    
   40.00000       60614.00       246.1991    
   41.00000       58292.00       241.4374    
   42.00000       58369.00       241.5968    
   43.00000       61218.00       247.4227    
   44.00000       61432.00       247.8548    
   45.00000       63123.00       251.2429    
   46.00000       60623.00       246.2174    
   47.00000       60785.00       246.5461    
   48.00000       60255.00       245.4689    
   49.00000       64477.00       253.9232    
   50.00000       55529.00       235.6459    
   51.00000       60704.00       246.3818    
   52.00000       67631.00       260.0596    
   53.00000       65461.00       255.8535    
   54.00000       65857.00       256.6262    
   55.00000       68254.00       261.2547    
   56.00000       67845.00       260.4707    
   57.00000       68460.00       261.6486    
   58.00000       66248.00       257.3869    
   59.00000       56505.00       237.7078    
   60.00000       71941.00       268.2182    
   61.00000       73280.00       270.7028    
   62.00000       77285.00       278.0018    
   63.00000       79058.00       281.1725    
   64.00000       79200.00       281.4250    
   65.00000       80406.00       283.5595    
   66.00000       79362.00       281.7126    
   67.00000       78611.00       280.3765    
   68.00000       76460.00       276.5140    
   69.00000       84680.00       290.9983    
   70.00000       74369.00       272.7068    
   71.00000       74739.00       273.3843    
   72.00000       75204.00       274.2335    
   73.00000       74204.00       272.4041    
   74.00000       76739.00       277.0180    
   75.00000       74290.00       272.5619    
   76.00000       73799.00       271.6597    
