Vanadium rnace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   7708.000       87.79522    
   1.000000       1119.000       33.45146    
   2.000000       1396.000       37.36308    
   3.000000       1642.000       40.52160    
   4.000000       2414.000       49.13247    
   5.000000       3281.000       57.28001    
   6.000000       3842.000       61.98387    
   7.000000       4408.000       66.39277    
   8.000000       4394.000       66.28725    
   9.000000       4399.000       66.32496    
   10.00000       4098.000       64.01562    
   11.00000       4074.000       63.82789    
   12.00000       3787.000       61.53860    
   13.00000       3433.000       58.59181    
   14.00000       3386.000       58.18935    
   15.00000       3164.000       56.24944    
   16.00000       3510.000       59.24525    
   17.00000       3578.000       59.81639    
   18.00000       4253.000       65.21503    
   19.00000       8917.000       94.42987    
   20.00000       4923.000       70.16409    
   21.00000       5463.000       73.91211    
   22.00000       5812.000       76.23647    
   23.00000       6945.000       83.33667    
   24.00000       19394.00       139.2623    
   25.00000       48412.00       220.0273    
   26.00000       53378.00       231.0368    
   27.00000       53883.00       232.1271    
   28.00000       51940.00       227.9035    
   29.00000       50784.00       225.3531    
   30.00000       43700.00       209.0455    
   31.00000       44977.00       212.0778    
   32.00000       49749.00       223.0448    
   33.00000       52954.00       230.1174    
   34.00000       51097.00       226.0465    
   35.00000       50670.00       225.1000    
   36.00000       54773.00       234.0363    
   37.00000       53886.00       232.1336    
   38.00000       50445.00       224.5996    
   39.00000       48002.00       219.0936    
   40.00000       55015.00       234.5528    
   41.00000       52961.00       230.1326    
   42.00000       52384.00       228.8755    
   43.00000       54653.00       233.7798    
   44.00000       54465.00       233.3774    
   45.00000       54905.00       234.3182    
   46.00000       53307.00       230.8831    
   47.00000       52916.00       230.0348    
   48.00000       51160.00       226.1858    
   49.00000       54478.00       233.4052    
   50.00000       47548.00       218.0550    
   51.00000       50285.00       224.2432    
   52.00000       55398.00       235.3678    
   53.00000       52819.00       229.8239    
   54.00000       52800.00       229.7825    
   55.00000       53370.00       231.0195    
   56.00000       52492.00       229.1113    
   57.00000       52322.00       228.7400    
   58.00000       50256.00       224.1785    
   59.00000       43625.00       208.8660    
   60.00000       52559.00       229.2575    
   61.00000       52059.00       228.1644    
   62.00000       55307.00       235.1744    
   63.00000       55834.00       236.2922    
   64.00000       55017.00       234.5570    
   65.00000       55984.00       236.6094    
   66.00000       55149.00       234.8382    
   67.00000       54489.00       233.4288    
   68.00000       53393.00       231.0693    
   69.00000       59909.00       244.7632    
   70.00000       53558.00       231.4260    
   71.00000       54067.00       232.5231    
   72.00000       54587.00       233.6386    
   73.00000       54262.00       232.9420    
   74.00000       55974.00       236.5883    
   75.00000       54476.00       233.4009    
   76.00000       54965.00       234.4462    
