sample v-GeO2 1325K tst                                      24-11-07   663.826K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   3549.000       59.57348    
   1.000000       462.0000       21.49418    
   2.000000       541.0000       23.25941    
   3.000000       659.0000       25.67100    
   4.000000       900.0000       30.00000    
   5.000000       1229.000       35.05709    
   6.000000       1500.000       38.72983    
   7.000000       1725.000       41.53312    
   8.000000       1783.000       42.22559    
   9.000000       1900.000       43.58899    
   10.00000       1673.000       40.90232    
   11.00000       1608.000       40.09988    
   12.00000       1554.000       39.42081    
   13.00000       1324.000       36.38681    
   14.00000       1223.000       34.97142    
   15.00000       1262.000       35.52464    
   16.00000       1300.000       36.05551    
   17.00000       1358.000       36.85105    
   18.00000       1585.000       39.81206    
   19.00000       3604.000       60.03333    
   20.00000       1962.000       44.29447    
   21.00000       2120.000       46.04346    
   22.00000       2164.000       46.51881    
   23.00000       2552.000       50.51732    
   24.00000       8191.000       90.50414    
   25.00000       14430.00       120.1249    
   26.00000       16061.00       126.7320    
   27.00000       17544.00       132.4538    
   28.00000       17947.00       133.9664    
   29.00000       17688.00       132.9962    
   30.00000       14994.00       122.4500    
   31.00000       15676.00       125.2038    
   32.00000       17417.00       131.9735    
   33.00000       18425.00       135.7387    
   34.00000       18105.00       134.5548    
   35.00000       17752.00       133.2366    
   36.00000       19327.00       139.0216    
   37.00000       18991.00       137.8078    
   38.00000       18109.00       134.5697    
   39.00000       16782.00       129.5454    
   40.00000       19884.00       141.0106    
   41.00000       19346.00       139.0899    
   42.00000       19410.00       139.3198    
   43.00000       20119.00       141.8415    
   44.00000       20403.00       142.8391    
   45.00000       20681.00       143.8089    
   46.00000       20162.00       141.9930    
   47.00000       20240.00       142.2673    
   48.00000       19763.00       140.5809    
   49.00000       21485.00       146.5776    
   50.00000       18633.00       136.5027    
   51.00000       20233.00       142.2428    
   52.00000       22261.00       149.2012    
   53.00000       21646.00       147.1258    
   54.00000       21881.00       147.9223    
   55.00000       22465.00       149.8833    
   56.00000       22314.00       149.3787    
   57.00000       22465.00       149.8833    
   58.00000       21691.00       147.2786    
   59.00000       18510.00       136.0515    
   60.00000       23545.00       153.4438    
   61.00000       24470.00       156.4289    
   62.00000       25792.00       160.5989    
   63.00000       26021.00       161.3103    
   64.00000       26111.00       161.5890    
   65.00000       26290.00       162.1419    
   66.00000       25917.00       160.9876    
   67.00000       25424.00       159.4491    
   68.00000       25213.00       158.7860    
   69.00000       27629.00       166.2197    
   70.00000       24565.00       156.7323    
   71.00000       24652.00       157.0096    
   72.00000       25006.00       158.1329    
   73.00000       26565.00       162.9877    
   74.00000       28480.00       168.7602    
   75.00000       25330.00       159.1540    
   76.00000       24402.00       156.2114    
