sample v-GeO2 800K                                           21-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12169.00       110.3132    
   1.000000       1361.000       36.89174    
   2.000000       1731.000       41.60529    
   3.000000       1976.000       44.45222    
   4.000000       2871.000       53.58171    
   5.000000       3979.000       63.07932    
   6.000000       4556.000       67.49815    
   7.000000       5544.000       74.45804    
   8.000000       5817.000       76.26926    
   9.000000       5933.000       77.02597    
   10.00000       5663.000       75.25291    
   11.00000       5372.000       73.29393    
   12.00000       4967.000       70.47694    
   13.00000       4398.000       66.31742    
   14.00000       4095.000       63.99219    
   15.00000       3868.000       62.19325    
   16.00000       4215.000       64.92303    
   17.00000       4342.000       65.89385    
   18.00000       5094.000       71.37226    
   19.00000       12047.00       109.7588    
   20.00000       6066.000       77.88453    
   21.00000       6559.000       80.98766    
   22.00000       7056.000       84.00000    
   23.00000       8025.000       89.58237    
   24.00000       24609.00       156.8726    
   25.00000       44815.00       211.6955    
   26.00000       49906.00       223.3965    
   27.00000       52881.00       229.9587    
   28.00000       54203.00       232.8154    
   29.00000       53090.00       230.4127    
   30.00000       47473.00       217.8830    
   31.00000       46925.00       216.6218    
   32.00000       52980.00       230.1738    
   33.00000       56775.00       238.2751    
   34.00000       55178.00       234.9000    
   35.00000       54415.00       233.2702    
   36.00000       59512.00       243.9508    
   37.00000       58546.00       241.9628    
   38.00000       56386.00       237.4574    
   39.00000       53249.00       230.7574    
   40.00000       60585.00       246.1402    
   41.00000       58508.00       241.8843    
   42.00000       59388.00       243.6965    
   43.00000       60976.00       246.9332    
   44.00000       62555.00       250.1100    
   45.00000       63105.00       251.2071    
   46.00000       62407.00       249.8139    
   47.00000       61607.00       248.2076    
   48.00000       61348.00       247.6853    
   49.00000       65682.00       256.2850    
   50.00000       59507.00       243.9406    
   51.00000       63649.00       252.2875    
   52.00000       71292.00       267.0056    
   53.00000       69377.00       263.3951    
   54.00000       72224.00       268.7452    
   55.00000       73015.00       270.2129    
   56.00000       75398.00       274.5870    
   57.00000       75917.00       275.5304    
   58.00000       77537.00       278.4547    
   59.00000       69608.00       263.8333    
   60.00000       85409.00       292.2482    
   61.00000       86597.00       294.2737    
   62.00000       95409.00       308.8835    
   63.00000       93836.00       306.3266    
   64.00000       96269.00       310.2725    
   65.00000       97573.00       312.3668    
   66.00000       96565.00       310.7491    
   67.00000       93542.00       305.8464    
   68.00000       91718.00       302.8498    
   69.00000       99034.00       314.6967    
   70.00000       89351.00       298.9164    
   71.00000       86635.00       294.3382    
   72.00000       86891.00       294.7728    
   73.00000       84347.00       290.4255    
   74.00000       86157.00       293.5251    
   75.00000       81064.00       284.7174    
   76.00000       82166.00       286.6461    
