Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   7811.000       88.37986    
   1.000000       1087.000       32.96968    
   2.000000       1353.000       36.78315    
   3.000000       1682.000       41.01219    
   4.000000       2340.000       48.37355    
   5.000000       3309.000       57.52391    
   6.000000       3737.000       61.13101    
   7.000000       4315.000       65.68866    
   8.000000       4329.000       65.79514    
   9.000000       4491.000       67.01492    
   10.00000       4117.000       64.16386    
   11.00000       4119.000       64.17944    
   12.00000       3795.000       61.60357    
   13.00000       3572.000       59.76621    
   14.00000       3364.000       58.00000    
   15.00000       3239.000       56.91221    
   16.00000       3486.000       59.04236    
   17.00000       3846.000       62.01613    
   18.00000       4179.000       64.64519    
   19.00000       8925.000       94.47222    
   20.00000       5147.000       71.74259    
   21.00000       5615.000       74.93330    
   22.00000       5762.000       75.90784    
   23.00000       6772.000       82.29216    
   24.00000       19560.00       139.8571    
   25.00000       48140.00       219.4083    
   26.00000       53258.00       230.7769    
   27.00000       53858.00       232.0733    
   28.00000       52622.00       229.3949    
   29.00000       50728.00       225.2288    
   30.00000       43889.00       209.4970    
   31.00000       45036.00       212.2169    
   32.00000       50006.00       223.6202    
   33.00000       53007.00       230.2325    
   34.00000       51080.00       226.0089    
   35.00000       50580.00       224.9000    
   36.00000       54854.00       234.2093    
   37.00000       54439.00       233.3217    
   38.00000       50597.00       224.9378    
   39.00000       48019.00       219.1324    
   40.00000       55058.00       234.6444    
   41.00000       52812.00       229.8086    
   42.00000       51998.00       228.0307    
   43.00000       54578.00       233.6194    
   44.00000       54373.00       233.1802    
   45.00000       55668.00       235.9407    
   46.00000       52670.00       229.4995    
   47.00000       53058.00       230.3432    
   48.00000       51037.00       225.9137    
   49.00000       54164.00       232.7316    
   50.00000       47740.00       218.4949    
   51.00000       50550.00       224.8333    
   52.00000       55565.00       235.7223    
   53.00000       52700.00       229.5648    
   54.00000       52497.00       229.1222    
   55.00000       53185.00       230.6187    
   56.00000       52203.00       228.4798    
   57.00000       52169.00       228.4053    
   58.00000       49892.00       223.3652    
   59.00000       43762.00       209.1937    
   60.00000       52479.00       229.0830    
   61.00000       52580.00       229.3033    
   62.00000       55823.00       236.2689    
   63.00000       55405.00       235.3827    
   64.00000       55400.00       235.3720    
   65.00000       55978.00       236.5967    
   66.00000       55443.00       235.4634    
   67.00000       55062.00       234.6529    
   68.00000       53454.00       231.2012    
   69.00000       59327.00       243.5714    
   70.00000       53571.00       231.4541    
   71.00000       53760.00       231.8620    
   72.00000       54812.00       234.1196    
   73.00000       53955.00       232.2822    
   74.00000       55655.00       235.9131    
   75.00000       54187.00       232.7810    
   76.00000       54964.00       234.4440    
