Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       8463.000       91.99457    
   185.0000       8231.000       90.72486    
   186.0000       7152.000       84.56950    
   187.0000       4866.000       69.75672    
   188.0000       2812.000       53.02829    
   189.0000       2660.000       51.57519    
   190.0000       2504.000       50.03999    
   191.0000       2490.000       49.89990    
   192.0000       2476.000       49.75942    
   193.0000       2505.000       50.04998    
   194.0000       2416.000       49.15282    
   195.0000       2462.000       49.61855    
   196.0000       2433.000       49.32545    
   197.0000       2450.000       49.49747    
   198.0000       2432.000       49.31531    
   199.0000       2527.000       50.26928    
   200.0000       2378.000       48.76474    
   201.0000       2327.000       48.23899    
   202.0000       2526.000       50.25933    
   203.0000       2524.000       50.23943    
   204.0000       2490.000       49.89990    
   205.0000       2599.000       50.98039    
   206.0000       2849.000       53.37603    
   207.0000       3632.000       60.26608    
   208.0000       4356.000       66.00000    
   209.0000       5789.000       76.08548    
   210.0000       6214.000       78.82893    
   211.0000       7379.000       85.90111    
   212.0000       8508.000       92.23882    
   213.0000       8792.000       93.76566    
   214.0000       9144.000       95.62427    
   215.0000       9076.000       95.26804    
   216.0000       9529.000       97.61660    
   217.0000       8914.000       94.41398    
   218.0000       7004.000       83.68990    
   219.0000       4277.000       65.39877    
   220.0000       4389.000       66.24953    
   221.0000       4114.000       64.14047    
   222.0000       4261.000       65.27634    
   223.0000       4505.000       67.11929    
   224.0000       4339.000       65.87109    
   225.0000       4420.000       66.48308    
   226.0000       4197.000       64.78426    
   227.0000       3997.000       63.22183    
   228.0000       3240.000       56.92100    
   229.0000       2685.000       51.81699    
   230.0000       2375.000       48.73397    
   231.0000       2386.000       48.84670    
   232.0000       2458.000       49.57822    
   233.0000       2457.000       49.56813    
   234.0000       2402.000       49.01020    
   235.0000       2391.000       48.89785    
   236.0000       2433.000       49.32545    
   237.0000       2227.000       47.19110    
   238.0000       2296.000       47.91660    
   239.0000       2100.000       45.82576    
   240.0000       2502.000       50.02000    
   241.0000       2388.000       48.86717    
   242.0000       2369.000       48.67237    
   243.0000       2299.000       47.94789    
   244.0000       2389.000       48.87740    
   245.0000       2466.000       49.65884    
   246.0000       2415.000       49.14265    
   247.0000       2403.000       49.02040    
   248.0000       2373.000       48.71345    
   249.0000       2636.000       51.34199    
   250.0000       2466.000       49.65884    
   251.0000       2687.000       51.83628    
   252.0000       2903.000       53.87949    
   253.0000       2869.000       53.56305    
   254.0000       3114.000       55.80323    
   255.0000       2966.000       54.46099    
   256.0000       3165.000       56.25833    
   257.0000       3240.000       56.92100    
   258.0000       2858.000       53.46027    
   259.0000       2623.000       51.21523    
   260.0000       3284.000       57.30619    
   261.0000       3199.000       56.55970    
   262.0000       2999.000       54.76313    
   263.0000       2797.000       52.88667    
   264.0000       2515.000       50.14978    
   265.0000       2415.000       49.14265    
   266.0000       2592.000       50.91169    
   267.0000       2584.000       50.83306    
   268.0000       2505.000       50.04998    
   269.0000       2750.000       52.44044    
   270.0000       2515.000       50.14978    
   271.0000       2696.000       51.92302    
   272.0000       3083.000       55.52477    
   273.0000       3324.000       57.65414    
   274.0000       3684.000       60.69596    
   275.0000       3877.000       62.26556    
   276.0000       4337.000       65.85590    
   277.0000       4583.000       67.69786    
   278.0000       4609.000       67.88962    
   279.0000       4257.000       65.24569    
   280.0000       5576.000       74.67262    
   281.0000       5872.000       76.62897    
   282.0000       6368.000       79.79975    
   283.0000       6726.000       82.01219    
   284.0000       6894.000       83.03011    
   285.0000       6886.000       82.98193    
   286.0000       6502.000       80.63498    
   287.0000       6460.000       80.37412    
   288.0000       5435.000       73.72245    
   289.0000       5447.000       73.80379    
   290.0000       4735.000       68.81133    
   291.0000       4802.000       69.29646    
   292.0000       4939.000       70.27802    
   293.0000       4649.000       68.18358    
   294.0000       4283.000       65.44463    
   295.0000       3743.000       61.18006    
   296.0000       3058.000       55.29919    
   297.0000       2610.000       51.08816    
   298.0000       2436.000       49.35585    
   299.0000       2475.000       49.74937    
   300.0000       2649.000       51.46844    
   301.0000       2497.000       49.96999    
   302.0000       2578.000       50.77401    
   303.0000       2614.000       51.12729    
   304.0000       2561.000       50.60632    
   305.0000       2561.000       50.60632    
   306.0000       2674.000       51.71074    
   307.0000       2900.000       53.85165    
   308.0000       2903.000       53.87949    
   309.0000       3363.000       57.99138    
   310.0000       3200.000       56.56854    
   311.0000       3552.000       59.59866    
   312.0000       3874.000       62.24147    
   313.0000       3775.000       61.44103    
   314.0000       3755.000       61.27805    
   315.0000       3751.000       61.24541    
   316.0000       3981.000       63.09517    
   317.0000       4104.000       64.06247    
   318.0000       3888.000       62.35383    
   319.0000       3704.000       60.86050    
   320.0000       3790.000       61.56298    
   321.0000       3953.000       62.87289    
   322.0000       4142.000       64.35837    
   323.0000       3944.000       62.80127    
   324.0000       3771.000       61.40847    
   325.0000       3460.000       58.82177    
   326.0000       3073.000       55.43465    
   327.0000       2966.000       54.46099    
   328.0000       2999.000       54.76313    
   329.0000       3370.000       58.05170    
   330.0000       3370.000       58.05170    
   331.0000       3551.000       59.59027    
   332.0000       3809.000       61.71710    
   333.0000       3736.000       61.12283    
   334.0000       3898.000       62.43396    
   335.0000       3872.000       62.22540    
   336.0000       3839.000       61.95966    
   337.0000       4113.000       64.13268    
   338.0000       4028.000       63.46653    
   339.0000       3886.000       62.33779    
   340.0000       4346.000       65.92420    
   341.0000       4231.000       65.04613    
   342.0000       4301.000       65.58201    
   343.0000       4209.000       64.87681    
   344.0000       4278.000       65.40643    
   345.0000       4062.000       63.73382    
   346.0000       3492.000       59.09315    
   347.0000       3084.000       55.53378    
   348.0000       2786.000       52.78257    
   349.0000       2756.000       52.49762    
   350.0000       2494.000       49.93996    
   351.0000       2481.000       49.80964    
   352.0000       2557.000       50.56679    
   353.0000       2534.000       50.33885    
   354.0000       2515.000       50.14978    
   355.0000       2501.000       50.01000    
   356.0000       2747.000       52.41183    
   357.0000       2700.000       51.96152    
   358.0000       2718.000       52.13444    
   359.0000       2866.000       53.53503    
   360.0000       2919.000       54.02777    
   361.0000       2679.000       51.75906    
   362.0000       2765.000       52.58327    
   363.0000       2932.000       54.14795    
   364.0000       2975.000       54.54356    
   365.0000       3043.000       55.16339    
   366.0000       2926.000       54.09251    
   367.0000       3030.000       55.04544    
   368.0000       2967.000       54.47018    
   369.0000       3279.000       57.26255    
   370.0000       2852.000       53.40412    
