sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2595.000       50.94114    
   1.000000       327.0000       18.08314    
   2.000000       411.0000       20.27313    
   3.000000       523.0000       22.86919    
   4.000000       689.0000       26.24881    
   5.000000       921.0000       30.34798    
   6.000000       1002.000       31.65438    
   7.000000       1323.000       36.37307    
   8.000000       1357.000       36.83748    
   9.000000       1389.000       37.26929    
   10.00000       1341.000       36.61967    
   11.00000       1284.000       35.83295    
   12.00000       1182.000       34.38023    
   13.00000       1007.000       31.73326    
   14.00000       947.0000       30.77337    
   15.00000       927.0000       30.44667    
   16.00000       994.0000       31.52777    
   17.00000       1020.000       31.93744    
   18.00000       1179.000       34.33657    
   19.00000       2718.000       52.13444    
   20.00000       1465.000       38.27532    
   21.00000       1669.000       40.85340    
   22.00000       1705.000       41.29165    
   23.00000       2059.000       45.37621    
   24.00000       6223.000       78.88599    
   25.00000       10991.00       104.8380    
   26.00000       11979.00       109.4486    
   27.00000       13253.00       115.1217    
   28.00000       13751.00       117.2647    
   29.00000       13304.00       115.3430    
   30.00000       11222.00       105.9339    
   31.00000       11748.00       108.3882    
   32.00000       13008.00       114.0526    
   33.00000       14010.00       118.3638    
   34.00000       13606.00       116.6448    
   35.00000       13246.00       115.0913    
   36.00000       14535.00       120.5612    
   37.00000       14586.00       120.7725    
   38.00000       13696.00       117.0299    
   39.00000       12904.00       113.5958    
   40.00000       15015.00       122.5357    
   41.00000       14494.00       120.3910    
   42.00000       14540.00       120.5819    
   43.00000       15218.00       123.3613    
   44.00000       15335.00       123.8346    
   45.00000       15885.00       126.0357    
   46.00000       15097.00       122.8699    
   47.00000       15224.00       123.3856    
   48.00000       14989.00       122.4296    
   49.00000       16362.00       127.9140    
   50.00000       13970.00       118.1948    
   51.00000       15409.00       124.1330    
   52.00000       16754.00       129.4372    
   53.00000       16353.00       127.8788    
   54.00000       16365.00       127.9258    
   55.00000       17075.00       130.6713    
   56.00000       17006.00       130.4071    
   57.00000       17098.00       130.7593    
   58.00000       16461.00       128.3004    
   59.00000       14165.00       119.0168    
   60.00000       18301.00       135.2812    
   61.00000       19101.00       138.2064    
   62.00000       19681.00       140.2890    
   63.00000       19820.00       140.7835    
   64.00000       19725.00       140.4457    
   65.00000       19845.00       140.8723    
   66.00000       19734.00       140.4778    
   67.00000       19639.00       140.1392    
   68.00000       19093.00       138.1774    
   69.00000       21071.00       145.1585    
   70.00000       18427.00       135.7461    
   71.00000       18728.00       136.8503    
   72.00000       19007.00       137.8659    
   73.00000       18753.00       136.9416    
   74.00000       19344.00       139.0827    
   75.00000       18517.00       136.0772    
   76.00000       18319.00       135.3477    
