Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   442.0000       21.02380    
   1.000000       83.00000       9.110434    
   2.000000       91.00000       9.539392    
   3.000000       95.00000       9.746795    
   4.000000       181.0000       13.45362    
   5.000000       272.0000       16.49242    
   6.000000       242.0000       15.55635    
   7.000000       277.0000       16.64332    
   8.000000       257.0000       16.03122    
   9.000000       285.0000       16.88194    
   10.00000       280.0000       16.73320    
   11.00000       242.0000       15.55635    
   12.00000       263.0000       16.21728    
   13.00000       223.0000       14.93318    
   14.00000       211.0000       14.52584    
   15.00000       218.0000       14.76482    
   16.00000       240.0000       15.49193    
   17.00000       280.0000       16.73320    
   18.00000       313.0000       17.69181    
   19.00000       486.0000       22.04541    
   20.00000       379.0000       19.46792    
   21.00000       380.0000       19.49359    
   22.00000       397.0000       19.92486    
   23.00000       661.0000       25.70992    
   24.00000       1515.000       38.92300    
   25.00000       1889.000       43.46263    
   26.00000       1912.000       43.72642    
   27.00000       1990.000       44.60942    
   28.00000       1960.000       44.27189    
   29.00000       1942.000       44.06813    
   30.00000       1711.000       41.36423    
   31.00000       1690.000       41.10961    
   32.00000       1854.000       43.05810    
   33.00000       1929.000       43.92038    
   34.00000       1861.000       43.13931    
   35.00000       1892.000       43.49713    
   36.00000       2040.000       45.16636    
   37.00000       2043.000       45.19956    
   38.00000       1862.000       43.15090    
   39.00000       1780.000       42.19004    
   40.00000       2036.000       45.12206    
   41.00000       1958.000       44.24929    
   42.00000       2011.000       44.84417    
   43.00000       2079.000       45.59605    
   44.00000       1978.000       44.47471    
   45.00000       2026.000       45.01111    
   46.00000       1951.000       44.17012    
   47.00000       1883.000       43.39355    
   48.00000       1864.000       43.17406    
   49.00000       2060.000       45.38722    
   50.00000       1685.000       41.04875    
   51.00000       1874.000       43.28972    
   52.00000       2062.000       45.40925    
   53.00000       1998.000       44.69899    
   54.00000       1906.000       43.65776    
   55.00000       1957.000       44.23799    
   56.00000       1892.000       43.49713    
   57.00000       1956.000       44.22669    
   58.00000       1794.000       42.35564    
   59.00000       1579.000       39.73663    
   60.00000       1941.000       44.05678    
   61.00000       1936.000       44.00000    
   62.00000       2133.000       46.18441    
   63.00000       2144.000       46.30335    
   64.00000       2127.000       46.11941    
   65.00000       2081.000       45.61798    
   66.00000       2082.000       45.62894    
   67.00000       2009.000       44.82187    
   68.00000       2051.000       45.28797    
   69.00000       2228.000       47.20169    
   70.00000       1974.000       44.42972    
   71.00000       2040.000       45.16636    
   72.00000       2115.000       45.98913    
   73.00000       2007.000       44.79955    
   74.00000       2160.000       46.47580    
   75.00000       2026.000       45.01111    
   76.00000       2006.000       44.78839    
