Cd 11mm Room Temperature                                     29-11-07  2000.000K
                                                                                
  XO,DX,Lambda :    1.000000       1.000000       0.0
   1.000000       941.0000       30.67572    
   2.000000       433.0000       20.80865    
   3.000000       477.0000       21.84033    
   4.000000       613.0000       24.75884    
   5.000000       1075.000       32.78719    
   6.000000       1635.000       40.43513    
   7.000000       1684.000       41.03657    
   8.000000       1748.000       41.80909    
   9.000000       1521.000       39.00000    
   10.00000       1245.000       35.28456    
   11.00000       1161.000       34.07345    
   12.00000       1154.000       33.97058    
   13.00000       1089.000       33.00000    
   14.00000       1217.000       34.88553    
   15.00000       1188.000       34.46738    
   16.00000       1148.000       33.88215    
   17.00000       1326.000       36.41428    
   18.00000       1465.000       38.27532    
   19.00000       1899.000       43.57752    
   20.00000       2265.000       47.59201    
   21.00000       2059.000       45.37621    
   22.00000       2429.000       49.28489    
   23.00000       2263.000       47.57100    
   24.00000       2789.000       52.81099    
   25.00000       3780.000       61.48170    
   26.00000       3569.000       59.74111    
   27.00000       3245.000       56.96490    
   28.00000       3143.000       56.06247    
   29.00000       2959.000       54.39669    
   30.00000       3012.000       54.88169    
   31.00000       2799.000       52.90557    
   32.00000       2660.000       51.57519    
   33.00000       2527.000       50.26928    
   34.00000       2757.000       52.50714    
   35.00000       2636.000       51.34199    
   36.00000       2455.000       49.54796    
   37.00000       2937.000       54.19410    
   38.00000       2781.000       52.73519    
   39.00000       2592.000       50.91169    
   40.00000       2452.000       49.51767    
   41.00000       2744.000       52.38320    
   42.00000       2718.000       52.13444    
   43.00000       2609.000       51.07837    
   44.00000       2731.000       52.25897    
   45.00000       2714.000       52.09607    
   46.00000       2725.000       52.20153    
   47.00000       2645.000       51.42956    
   48.00000       2627.000       51.25427    
   49.00000       2540.000       50.39841    
   50.00000       2669.000       51.66236    
   51.00000       2476.000       49.75942    
   52.00000       2596.000       50.95096    
   53.00000       2901.000       53.86093    
   54.00000       2856.000       53.44156    
   55.00000       2953.000       54.34151    
   56.00000       3010.000       54.86347    
   57.00000       3037.000       55.10898    
   58.00000       3076.000       55.46170    
   59.00000       2879.000       53.65631    
   60.00000       2606.000       51.04900    
   61.00000       3008.000       54.84524    
   62.00000       3153.000       56.15158    
   63.00000       3357.000       57.93962    
   64.00000       3314.000       57.56735    
   65.00000       3348.000       57.86190    
   66.00000       3438.000       58.63446    
   67.00000       3400.000       58.30952    
   68.00000       3368.000       58.03447    
   69.00000       3329.000       57.69749    
   70.00000       3753.000       61.26173    
   71.00000       3412.000       58.41233    
   72.00000       3335.000       57.74946    
   73.00000       3347.000       57.85326    
   74.00000       3374.000       58.08614    
   75.00000       3450.000       58.73670    
   76.00000       3396.000       58.27521    
   77.00000       3509.000       59.23681    
   78.00000       3409.000       58.38664    
   79.00000       3370.000       58.05170    
   80.00000       2756.000       52.49762    
   81.00000       3612.000       60.09992    
   82.00000       3593.000       59.94164    
   83.00000       3648.000       60.39867    
   84.00000       3834.000       61.91930    
   85.00000       3667.000       60.55576    
   86.00000       3769.000       61.39218    
   87.00000       3619.000       60.15813    
   88.00000       3836.000       61.93545    
   89.00000       3926.000       62.65780    
   90.00000       3989.000       63.15853    
   91.00000       3713.000       60.93439    
   92.00000       3734.000       61.10646    
   93.00000       3884.000       62.32175    
   94.00000       3789.000       61.55486    
   95.00000       3780.000       61.48170    
   96.00000       3788.000       61.54673    
   97.00000       3924.000       62.64184    
   98.00000       3929.000       62.68174    
   99.00000       3952.000       62.86493    
   100.0000       3683.000       60.68773    
   101.0000       3564.000       59.69925    
   102.0000       3765.000       61.35960    
   103.0000       3736.000       61.12283    
   104.0000       4104.000       64.06247    
   105.0000       4044.000       63.59245    
   106.0000       3996.000       63.21392    
   107.0000       4061.000       63.72598    
   108.0000       4080.000       63.87488    
   109.0000       3986.000       63.13478    
   110.0000       4253.000       65.21503    
   111.0000       3976.000       63.05553    
   112.0000       4105.000       64.07027    
   113.0000       4169.000       64.56779    
   114.0000       4118.000       64.17165    
   115.0000       4252.000       65.20736    
   116.0000       4301.000       65.58201    
   117.0000       4259.000       65.26102    
   118.0000       4101.000       64.03905    
   119.0000       3911.000       62.53799    
   120.0000       3533.000       59.43904    
   121.0000       4564.000       67.55738    
   122.0000       4159.000       64.49031    
   123.0000       4479.000       66.92533    
   124.0000       4531.000       67.31271    
   125.0000       4336.000       65.84831    
   126.0000       4446.000       66.67833    
   127.0000       4213.000       64.90762    
   128.0000       4403.000       66.35510    
   129.0000       4241.000       65.12296    
   130.0000       4486.000       66.97761    
   131.0000       4140.000       64.34283    
   132.0000       4331.000       65.81033    
   133.0000       4538.000       67.36468    
   134.0000       4319.000       65.71910    
   135.0000       4420.000       66.48308    
   136.0000       4205.000       64.84597    
