sample v-GeO2 300K                                           17-11-07     1.401K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   6.000000       2.449490    
   1.000000      0.0000000E+00  0.0000000E+00
   2.000000       1.000000       1.000000    
   3.000000       1.000000       1.000000    
   4.000000       2.000000       1.414214    
   5.000000       1.000000       1.000000    
   6.000000       2.000000       1.414214    
   7.000000       1.000000       1.000000    
   8.000000       4.000000       2.000000    
   9.000000       4.000000       2.000000    
   10.00000       4.000000       2.000000    
   11.00000       8.000000       2.828427    
   12.00000       1.000000       1.000000    
   13.00000       2.000000       1.414214    
   14.00000      0.0000000E+00  0.0000000E+00
   15.00000       6.000000       2.449490    
   16.00000       4.000000       2.000000    
   17.00000       1.000000       1.000000    
   18.00000       6.000000       2.449490    
   19.00000       10.00000       3.162278    
   20.00000       2.000000       1.414214    
   21.00000       2.000000       1.414214    
   22.00000       3.000000       1.732051    
   23.00000       8.000000       2.828427    
   24.00000       20.00000       4.472136    
   25.00000       38.00000       6.164414    
   26.00000       32.00000       5.656854    
   27.00000       33.00000       5.744563    
   28.00000       31.00000       5.567764    
   29.00000       36.00000       6.000000    
   30.00000       40.00000       6.324555    
   31.00000       27.00000       5.196152    
   32.00000       39.00000       6.244998    
   33.00000       39.00000       6.244998    
   34.00000       42.00000       6.480741    
   35.00000       29.00000       5.385165    
   36.00000       37.00000       6.082763    
   37.00000       45.00000       6.708204    
   38.00000       38.00000       6.164414    
   39.00000       33.00000       5.744563    
   40.00000       58.00000       7.615773    
   41.00000       44.00000       6.633250    
   42.00000       44.00000       6.633250    
   43.00000       40.00000       6.324555    
   44.00000       33.00000       5.744563    
   45.00000       46.00000       6.782330    
   46.00000       44.00000       6.633250    
   47.00000       42.00000       6.480741    
   48.00000       39.00000       6.244998    
   49.00000       43.00000       6.557438    
   50.00000       42.00000       6.480741    
   51.00000       54.00000       7.348469    
   52.00000       58.00000       7.615773    
   53.00000       42.00000       6.480741    
   54.00000       53.00000       7.280110    
   55.00000       48.00000       6.928203    
   56.00000       50.00000       7.071068    
   57.00000       43.00000       6.557438    
   58.00000       66.00000       8.124039    
   59.00000       51.00000       7.141428    
   60.00000       53.00000       7.280110    
   61.00000       59.00000       7.681146    
   62.00000       53.00000       7.280110    
   63.00000       75.00000       8.660254    
   64.00000       67.00000       8.185352    
   65.00000       73.00000       8.544003    
   66.00000       57.00000       7.549834    
   67.00000       69.00000       8.306623    
   68.00000       68.00000       8.246211    
   69.00000       81.00000       9.000000    
   70.00000       55.00000       7.416198    
   71.00000       51.00000       7.141428    
   72.00000       65.00000       8.062258    
   73.00000       50.00000       7.071068    
   74.00000       63.00000       7.937254    
   75.00000       60.00000       7.745967    
   76.00000       51.00000       7.141428    
