sample v-GeO2 1325K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10429.00       102.1225    
   1.000000       1383.000       37.18871    
   2.000000       1535.000       39.17908    
   3.000000       1925.000       43.87482    
   4.000000       2737.000       52.31635    
   5.000000       3747.000       61.21275    
   6.000000       4374.000       66.13622    
   7.000000       5186.000       72.01389    
   8.000000       5319.000       72.93147    
   9.000000       5747.000       75.80897    
   10.00000       5073.000       71.22500    
   11.00000       5042.000       71.00704    
   12.00000       4589.000       67.74216    
   13.00000       4086.000       63.92183    
   14.00000       3808.000       61.70900    
   15.00000       3673.000       60.60528    
   16.00000       4028.000       63.46653    
   17.00000       4229.000       65.03076    
   18.00000       4735.000       68.81133    
   19.00000       10924.00       104.5179    
   20.00000       5846.000       76.45914    
   21.00000       6394.000       79.96249    
   22.00000       6509.000       80.67838    
   23.00000       7884.000       88.79189    
   24.00000       24279.00       155.8172    
   25.00000       43587.00       208.7750    
   26.00000       48296.00       219.7635    
   27.00000       53088.00       230.4083    
   28.00000       53711.00       231.7563    
   29.00000       53454.00       231.2012    
   30.00000       45581.00       213.4971    
   31.00000       46950.00       216.6795    
   32.00000       52337.00       228.7728    
   33.00000       56124.00       236.9050    
   34.00000       54702.00       233.8846    
   35.00000       53943.00       232.2563    
   36.00000       58504.00       241.8760    
   37.00000       58344.00       241.5450    
   38.00000       54610.00       233.6878    
   39.00000       50330.00       224.3435    
   40.00000       59819.00       244.5792    
   41.00000       58408.00       241.6775    
   42.00000       58400.00       241.6609    
   43.00000       61243.00       247.4732    
   44.00000       61848.00       248.6926    
   45.00000       62834.00       250.6671    
   46.00000       61044.00       247.0708    
   47.00000       61208.00       247.4025    
   48.00000       60359.00       245.6807    
   49.00000       64135.00       253.2489    
   50.00000       56065.00       236.7805    
   51.00000       60735.00       246.4447    
   52.00000       67658.00       260.1115    
   53.00000       65509.00       255.9473    
   54.00000       66096.00       257.0914    
   55.00000       68580.00       261.8778    
   56.00000       67779.00       260.3440    
   57.00000       68522.00       261.7671    
   58.00000       66118.00       257.1342    
   59.00000       56507.00       237.7120    
   60.00000       71757.00       267.8750    
   61.00000       73398.00       270.9207    
   62.00000       78432.00       280.0571    
   63.00000       78946.00       280.9733    
   64.00000       78249.00       279.7302    
   65.00000       80502.00       283.7287    
   66.00000       79611.00       282.1542    
   67.00000       78038.00       279.3528    
   68.00000       76493.00       276.5737    
   69.00000       84947.00       291.4567    
   70.00000       74225.00       272.4427    
   71.00000       74923.00       273.7207    
   72.00000       74895.00       273.6695    
   73.00000       74931.00       273.7353    
   74.00000       78699.00       280.5334    
   75.00000       74542.00       273.0238    
   76.00000       73868.00       271.7867    
