New empty oven                                               26-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   78.00000       624.0000       24.97999    
   79.00000       587.0000       24.22808    
   80.00000       736.0000       27.12932    
   81.00000       702.0000       26.49528    
   82.00000       741.0000       27.22132    
   83.00000       742.0000       27.23968    
   84.00000       650.0000       25.49510    
   85.00000       729.0000       27.00000    
   86.00000       744.0000       27.27636    
   87.00000       745.0000       27.29469    
   88.00000       740.0000       27.20294    
   89.00000       847.0000       29.10326    
   90.00000       741.0000       27.22132    
   91.00000       751.0000       27.40438    
   92.00000       749.0000       27.36786    
   93.00000       739.0000       27.18456    
   94.00000       758.0000       27.53180    
   95.00000       745.0000       27.29469    
   96.00000       700.0000       26.45751    
   97.00000       706.0000       26.57066    
   98.00000       674.0000       25.96151    
   99.00000       677.0000       26.01922    
   100.0000       632.0000       25.13961    
   101.0000       698.0000       26.41969    
   102.0000       723.0000       26.88866    
   103.0000       777.0000       27.87472    
   104.0000       748.0000       27.34959    
   105.0000       765.0000       27.65863    
   106.0000       718.0000       26.79552    
   107.0000       757.0000       27.51363    
   108.0000       784.0000       28.00000    
   109.0000       781.0000       27.94638    
   110.0000       789.0000       28.08914    
   111.0000       816.0000       28.56571    
   112.0000       773.0000       27.80288    
   113.0000       763.0000       27.62245    
   114.0000       786.0000       28.03569    
   115.0000       770.0000       27.74887    
   116.0000       763.0000       27.62245    
   117.0000       761.0000       27.58623    
   118.0000       681.0000       26.09598    
   119.0000       598.0000       24.45404    
   120.0000       833.0000       28.86174    
   121.0000       779.0000       27.91057    
   122.0000       772.0000       27.78489    
   123.0000       825.0000       28.72281    
   124.0000       714.0000       26.72078    
   125.0000       744.0000       27.27636    
   126.0000       795.0000       28.19574    
   127.0000       735.0000       27.11088    
   128.0000       736.0000       27.12932    
   129.0000       810.0000       28.46050    
   130.0000       751.0000       27.40438    
   131.0000       745.0000       27.29469    
   132.0000       808.0000       28.42534    
   133.0000       734.0000       27.09243    
   134.0000       811.0000       28.47806    
   135.0000       766.0000       27.67670    
   136.0000       704.0000       26.53300    
   137.0000       775.0000       27.83882    
   138.0000       734.0000       27.09243    
   139.0000       751.0000       27.40438    
   140.0000       720.0000       26.83282    
   141.0000       691.0000       26.28688    
   142.0000       763.0000       27.62245    
   143.0000       724.0000       26.90725    
   144.0000       756.0000       27.49545    
   145.0000       796.0000       28.21347    
   146.0000       738.0000       27.16615    
   147.0000       791.0000       28.12472    
   148.0000       770.0000       27.74887    
   149.0000       779.0000       27.91057    
   150.0000       766.0000       27.67670    
   151.0000       745.0000       27.29469    
   152.0000       741.0000       27.22132    
   153.0000       742.0000       27.23968    
   154.0000       746.0000       27.31300    
   155.0000       722.0000       26.87006    
   156.0000       748.0000       27.34959    
   157.0000       762.0000       27.60435    
   158.0000       697.0000       26.40076    
   159.0000       551.0000       23.47339    
   160.0000       800.0000       28.28427    
   161.0000       741.0000       27.22132    
   162.0000       774.0000       27.82086    
   163.0000       741.0000       27.22132    
   164.0000       804.0000       28.35489    
   165.0000       745.0000       27.29469    
   166.0000       745.0000       27.29469    
   167.0000       795.0000       28.19574    
   168.0000       734.0000       27.09243    
   169.0000       783.0000       27.98214    
   170.0000       707.0000       26.58947    
   171.0000       710.0000       26.64582    
   172.0000       783.0000       27.98214    
   173.0000       723.0000       26.88866    
   174.0000       685.0000       26.17250    
   175.0000       755.0000       27.47726    
   176.0000       778.0000       27.89265    
   177.0000       725.0000       26.92582    
   178.0000       674.0000       25.96151    
   179.0000       685.0000       26.17250    
   180.0000       751.0000       27.40438    
   181.0000       719.0000       26.81417    
   182.0000       760.0000       27.56810    
   183.0000       756.0000       27.49545    
   184.0000       825.0000       28.72281    
   185.0000       800.0000       28.28427    
   186.0000       772.0000       27.78489    
   187.0000       772.0000       27.78489    
   188.0000       780.0000       27.92848    
   189.0000       834.0000       28.87906    
   190.0000       726.0000       26.94439    
   191.0000       771.0000       27.76689    
   192.0000       836.0000       28.91366    
   193.0000       706.0000       26.57066    
   194.0000       784.0000       28.00000    
   195.0000       726.0000       26.94439    
   196.0000       724.0000       26.90725    
   197.0000       756.0000       27.49545    
   198.0000       739.0000       27.18456    
   199.0000       791.0000       28.12472    
   200.0000       735.0000       27.11088    
   201.0000       721.0000       26.85144    
   202.0000       759.0000       27.54996    
   203.0000       737.0000       27.14774    
   204.0000       744.0000       27.27636    
   205.0000       722.0000       26.87006    
   206.0000       689.0000       26.24881    
   207.0000       761.0000       27.58623    
   208.0000       747.0000       27.33130    
   209.0000       772.0000       27.78489    
   210.0000       714.0000       26.72078    
   211.0000       691.0000       26.28688    
   212.0000       749.0000       27.36786    
   213.0000       787.0000       28.05352    
   214.0000       718.0000       26.79552    
   215.0000       750.0000       27.38613    
   216.0000       744.0000       27.27636    
   217.0000       747.0000       27.33130    
   218.0000       694.0000       26.34388    
   219.0000       723.0000       26.88866    
   220.0000       745.0000       27.29469    
   221.0000       737.0000       27.14774    
   222.0000       716.0000       26.75818    
   223.0000       717.0000       26.77686    
   224.0000       723.0000       26.88866    
   225.0000       729.0000       27.00000    
   226.0000       731.0000       27.03701    
   227.0000       751.0000       27.40438    
   228.0000       751.0000       27.40438    
   229.0000       754.0000       27.45906    
   230.0000       698.0000       26.41969    
   231.0000       694.0000       26.34388    
   232.0000       763.0000       27.62245    
   233.0000       700.0000       26.45751    
   234.0000       752.0000       27.42262    
   235.0000       719.0000       26.81417    
   236.0000       761.0000       27.58623    
   237.0000       755.0000       27.47726    
   238.0000       705.0000       26.55184    
   239.0000       675.0000       25.98076    
   240.0000       740.0000       27.20294    
   241.0000       703.0000       26.51415    
   242.0000       775.0000       27.83882    
   243.0000       713.0000       26.70206    
   244.0000       705.0000       26.55184    
   245.0000       782.0000       27.96426    
   246.0000       731.0000       27.03701    
   247.0000       772.0000       27.78489    
   248.0000       668.0000       25.84570    
   249.0000       760.0000       27.56810    
   250.0000       728.0000       26.98148    
   251.0000       749.0000       27.36786    
   252.0000       808.0000       28.42534    
   253.0000       705.0000       26.55184    
   254.0000       762.0000       27.60435    
   255.0000       657.0000       25.63201    
   256.0000       682.0000       26.11513    
   257.0000       707.0000       26.58947    
   258.0000       638.0000       25.25866    
   259.0000       614.0000       24.77902    
   260.0000       743.0000       27.25803    
   261.0000       758.0000       27.53180    
   262.0000       703.0000       26.51415    
   263.0000       685.0000       26.17250    
   264.0000       727.0000       26.96294    
   265.0000       685.0000       26.17250    
   266.0000       756.0000       27.49545    
   267.0000       700.0000       26.45751    
   268.0000       745.0000       27.29469    
   269.0000       741.0000       27.22132    
   270.0000       724.0000       26.90725    
   271.0000       698.0000       26.41969    
   272.0000       753.0000       27.44085    
   273.0000       726.0000       26.94439    
   274.0000       676.0000       26.00000    
   275.0000       695.0000       26.36285    
   276.0000       717.0000       26.77686    
   277.0000       682.0000       26.11513    
   278.0000       708.0000       26.60827    
   279.0000       581.0000       24.10394    
   280.0000       704.0000       26.53300    
   281.0000       687.0000       26.21069    
   282.0000       667.0000       25.82634    
   283.0000       760.0000       27.56810    
   284.0000       737.0000       27.14774    
   285.0000       677.0000       26.01922    
   286.0000       722.0000       26.87006    
   287.0000       687.0000       26.21069    
   288.0000       693.0000       26.32489    
   289.0000       705.0000       26.55184    
   290.0000       666.0000       25.80698    
   291.0000       740.0000       27.20294    
   292.0000       717.0000       26.77686    
   293.0000       693.0000       26.32489    
