sample v-GeO2 850K babana displaced by -0.8°                 21-11-07    69.693K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   183.0000       3365.000       58.00862    
   184.0000       3465.000       58.86425    
   185.0000       3415.000       58.43800    
   186.0000       3352.000       57.89646    
   187.0000       3358.000       57.94825    
   188.0000       3281.000       57.28001    
   189.0000       3527.000       59.38855    
   190.0000       3320.000       57.61944    
   191.0000       3078.000       55.47972    
   192.0000       3123.000       55.88381    
   193.0000       2980.000       54.58937    
   194.0000       3008.000       54.84524    
   195.0000       3064.000       55.35341    
   196.0000       2868.000       53.55371    
   197.0000       2890.000       53.75872    
   198.0000       2761.000       52.54522    
   199.0000       2941.000       54.23099    
   200.0000       2681.000       51.77837    
   201.0000       2764.000       52.57376    
   202.0000       2798.000       52.89613    
   203.0000       2758.000       52.51666    
   204.0000       2862.000       53.49767    
   205.0000       2716.000       52.11526    
   206.0000       2838.000       53.27288    
   207.0000       2763.000       52.56425    
   208.0000       2617.000       51.15662    
   209.0000       2767.000       52.60228    
   210.0000       2397.000       48.95917    
   211.0000       2558.000       50.57668    
   212.0000       2824.000       53.14132    
   213.0000       2587.000       50.86256    
   214.0000       2619.000       51.17617    
   215.0000       2537.000       50.36864    
   216.0000       2645.000       51.42956    
   217.0000       2797.000       52.88667    
   218.0000       2516.000       50.15974    
   219.0000       2424.000       49.23413    
   220.0000       2846.000       53.34792    
   221.0000       2565.000       50.64583    
   222.0000       2659.000       51.56549    
   223.0000       2589.000       50.88222    
   224.0000       2622.000       51.20547    
   225.0000       2611.000       51.09795    
   226.0000       2673.000       51.70107    
   227.0000       2851.000       53.39476    
   228.0000       2720.000       52.15362    
   229.0000       2768.000       52.61179    
   230.0000       2618.000       51.16640    
   231.0000       2525.000       50.24938    
   232.0000       2702.000       51.98077    
   233.0000       2642.000       51.40039    
   234.0000       2655.000       51.52669    
   235.0000       2671.000       51.68172    
   236.0000       2662.000       51.59457    
   237.0000       2535.000       50.34879    
   238.0000       2508.000       50.07994    
   239.0000       2322.000       48.18713    
   240.0000       2878.000       53.64700    
   241.0000       2693.000       51.89412    
   242.0000       2869.000       53.56305    
   243.0000       2781.000       52.73519    
   244.0000       2672.000       51.69139    
   245.0000       2863.000       53.50701    
   246.0000       2723.000       52.18237    
   247.0000       2776.000       52.68776    
   248.0000       2651.000       51.48786    
   249.0000       2920.000       54.03703    
   250.0000       2587.000       50.86256    
   251.0000       2672.000       51.69139    
   252.0000       2863.000       53.50701    
   253.0000       2719.000       52.14403    
   254.0000       2778.000       52.70674    
   255.0000       2752.000       52.45951    
   256.0000       2828.000       53.17894    
   257.0000       2751.000       52.44998    
   258.0000       2608.000       51.06858    
   259.0000       2378.000       48.76474    
   260.0000       3014.000       54.89991    
   261.0000       2863.000       53.50701    
   262.0000       2756.000       52.49762    
   263.0000       2845.000       53.33854    
   264.0000       2833.000       53.22593    
   265.0000       2885.000       53.71220    
   266.0000       3020.000       54.95452    
   267.0000       3140.000       56.03570    
   268.0000       2952.000       54.33231    
   269.0000       3145.000       56.08030    
   270.0000       2817.000       53.07542    
   271.0000       2978.000       54.57106    
   272.0000       3077.000       55.47071    
   273.0000       2904.000       53.88877    
   274.0000       3004.000       54.80876    
   275.0000       2912.000       53.96295    
   276.0000       3090.000       55.58777    
   277.0000       2972.000       54.51605    
   278.0000       2754.000       52.47857    
   279.0000       2380.000       48.78524    
   280.0000       2977.000       54.56189    
   281.0000       2976.000       54.55273    
   282.0000       3005.000       54.81788    
   283.0000       3028.000       55.02727    
   284.0000       3001.000       54.78138    
   285.0000       2995.000       54.72659    
   286.0000       2980.000       54.58937    
   287.0000       3024.000       54.99091    
   288.0000       2951.000       54.32311    
   289.0000       3112.000       55.78530    
   290.0000       2900.000       53.85165    
   291.0000       2992.000       54.69918    
   292.0000       2979.000       54.58022    
   293.0000       2933.000       54.15718    
   294.0000       2767.000       52.60228    
   295.0000       2989.000       54.67175    
   296.0000       2979.000       54.58022    
   297.0000       2969.000       54.48853    
   298.0000       2923.000       54.06478    
   299.0000       2784.000       52.76362    
   300.0000       3116.000       55.82114    
   301.0000       3015.000       54.90902    
   302.0000       2996.000       54.73573    
   303.0000       2919.000       54.02777    
   304.0000       2908.000       53.92588    
   305.0000       2921.000       54.04628    
   306.0000       3029.000       55.03635    
   307.0000       2901.000       53.86093    
   308.0000       2894.000       53.79591    
   309.0000       3084.000       55.53378    
   310.0000       2858.000       53.46027    
   311.0000       2882.000       53.68426    
   312.0000       2943.000       54.24942    
   313.0000       2871.000       53.58171    
   314.0000       2855.000       53.43220    
   315.0000       2846.000       53.34792    
   316.0000       2799.000       52.90557    
   317.0000       2971.000       54.50688    
   318.0000       2691.000       51.87485    
   319.0000       2527.000       50.26928    
   320.0000       2648.000       51.45872    
   321.0000       2765.000       52.58327    
   322.0000       2917.000       54.00926    
   323.0000       2840.000       53.29165    
   324.0000       2831.000       53.20714    
   325.0000       2779.000       52.71622    
   326.0000       2891.000       53.76802    
   327.0000       2920.000       54.03703    
   328.0000       2667.000       51.64301    
   329.0000       2940.000       54.22177    
   330.0000       2610.000       51.08816    
   331.0000       2701.000       51.97115    
   332.0000       2763.000       52.56425    
   333.0000       2709.000       52.04805    
   334.0000       2645.000       51.42956    
   335.0000       2695.000       51.91339    
   336.0000       2681.000       51.77837    
   337.0000       2666.000       51.63332    
   338.0000       2676.000       51.73007    
   339.0000       2583.000       50.82322    
   340.0000       2865.000       53.52570    
   341.0000       2702.000       51.98077    
