sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10494.00       102.4402    
   1.000000       1352.000       36.76955    
   2.000000       1526.000       39.06405    
   3.000000       1863.000       43.16248    
   4.000000       2749.000       52.43091    
   5.000000       3803.000       61.66847    
   6.000000       4310.000       65.65059    
   7.000000       5153.000       71.78440    
   8.000000       5434.000       73.71567    
   9.000000       5684.000       75.39231    
   10.00000       5017.000       70.83079    
   11.00000       5066.000       71.17584    
   12.00000       4628.000       68.02940    
   13.00000       4045.000       63.60032    
   14.00000       3812.000       61.74140    
   15.00000       3729.000       61.06554    
   16.00000       4008.000       63.30877    
   17.00000       4110.000       64.10928    
   18.00000       4720.000       68.70226    
   19.00000       10944.00       104.6136    
   20.00000       5762.000       75.90784    
   21.00000       6378.000       79.86238    
   22.00000       6642.000       81.49847    
   23.00000       7958.000       89.20763    
   24.00000       24490.00       156.4928    
   25.00000       43815.00       209.3203    
   26.00000       48126.00       219.3764    
   27.00000       51936.00       227.8947    
   28.00000       53813.00       231.9763    
   29.00000       53151.00       230.5450    
   30.00000       45119.00       212.4123    
   31.00000       46745.00       216.2059    
   32.00000       51861.00       227.7301    
   33.00000       55968.00       236.5756    
   34.00000       54075.00       232.5403    
   35.00000       53600.00       231.5167    
   36.00000       58411.00       241.6837    
   37.00000       57210.00       239.1861    
   38.00000       53893.00       232.1487    
   39.00000       50347.00       224.3814    
   40.00000       59581.00       244.0922    
   41.00000       57681.00       240.1687    
   42.00000       58085.00       241.0083    
   43.00000       60459.00       245.8841    
   44.00000       61351.00       247.6913    
   45.00000       62705.00       250.4097    
   46.00000       60010.00       244.9694    
   47.00000       60811.00       246.5989    
   48.00000       59651.00       244.2355    
   49.00000       64066.00       253.1126    
   50.00000       55203.00       234.9532    
   51.00000       60274.00       245.5076    
   52.00000       66136.00       257.1692    
   53.00000       64310.00       253.5942    
   54.00000       64891.00       254.7371    
   55.00000       66735.00       258.3312    
   56.00000       66337.00       257.5597    
   57.00000       67094.00       259.0251    
   58.00000       65121.00       255.1882    
   59.00000       54782.00       234.0555    
   60.00000       70464.00       265.4506    
   61.00000       72305.00       268.8959    
   62.00000       76724.00       276.9910    
   63.00000       77679.00       278.7095    
   64.00000       77160.00       277.7769    
   65.00000       78384.00       279.9714    
   66.00000       77063.00       277.6022    
   67.00000       76577.00       276.7255    
   68.00000       75117.00       274.0748    
   69.00000       83248.00       288.5273    
   70.00000       73067.00       270.3091    
   71.00000       73576.00       271.2490    
   72.00000       76350.00       276.3150    
   73.00000       84378.00       290.4789    
   74.00000       94450.00       307.3272    
   75.00000       80838.00       284.3203    
   76.00000       74373.00       272.7141    
