sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       85941.00       293.1570    
   185.0000       86542.00       294.1802    
   186.0000       83197.00       288.4389    
   187.0000       82481.00       287.1951    
   188.0000       79379.00       281.7428    
   189.0000       83903.00       289.6602    
   190.0000       75330.00       274.4631    
   191.0000       76232.00       276.1014    
   192.0000       76499.00       276.5845    
   193.0000       73562.00       271.2231    
   194.0000       73990.00       272.0110    
   195.0000       74283.00       272.5491    
   196.0000       72252.00       268.7973    
   197.0000       72646.00       269.5292    
   198.0000       71954.00       268.2424    
   199.0000       72542.00       269.3362    
   200.0000       67243.00       259.3126    
   201.0000       67861.00       260.5014    
   202.0000       70619.00       265.7424    
   203.0000       71698.00       267.7648    
   204.0000       70128.00       264.8169    
   205.0000       70058.00       264.6847    
   206.0000       69580.00       263.7802    
   207.0000       72348.00       268.9758    
   208.0000       69627.00       263.8693    
   209.0000       73049.00       270.2758    
   210.0000       64786.00       254.5309    
   211.0000       67736.00       260.2614    
   212.0000       72231.00       268.7583    
   213.0000       70049.00       264.6677    
   214.0000       69612.00       263.8409    
   215.0000       67029.00       258.8996    
   216.0000       69353.00       263.3496    
   217.0000       70637.00       265.7762    
   218.0000       65877.00       256.6652    
   219.0000       62775.00       250.5494    
   220.0000       74368.00       272.7050    
   221.0000       68892.00       262.4729    
   222.0000       68839.00       262.3719    
   223.0000       70653.00       265.8063    
   224.0000       69803.00       264.2026    
   225.0000       69293.00       263.2356    
   226.0000       69969.00       264.5165    
   227.0000       71714.00       267.7947    
   228.0000       69885.00       264.3577    
   229.0000       74871.00       273.6257    
   230.0000       66395.00       257.6723    
   231.0000       68763.00       262.2270    
   232.0000       71225.00       266.8801    
   233.0000       70893.00       266.2574    
   234.0000       70004.00       264.5827    
   235.0000       70234.00       265.0170    
   236.0000       71807.00       267.9683    
   237.0000       70564.00       265.6389    
   238.0000       69148.00       262.9601    
   239.0000       62466.00       249.9320    
   240.0000       74488.00       272.9249    
   241.0000       71517.00       267.4266    
   242.0000       74837.00       273.5635    
   243.0000       72676.00       269.5849    
   244.0000       72205.00       268.7099    
   245.0000       75259.00       274.3337    
   246.0000       72645.00       269.5274    
   247.0000       74411.00       272.7838    
   248.0000       71519.00       267.4304    
   249.0000       76957.00       277.4113    
   250.0000       69248.00       263.1501    
   251.0000       72036.00       268.3952    
   252.0000       73966.00       271.9669    
   253.0000       72644.00       269.5255    
   254.0000       73285.00       270.7120    
   255.0000       71850.00       268.0485    
   256.0000       73811.00       271.6818    
   257.0000       72889.00       269.9796    
   258.0000       68581.00       261.8797    
   259.0000       61192.00       247.3702    
   260.0000       76549.00       276.6749    
   261.0000       75936.00       275.5649    
   262.0000       74287.00       272.5564    
   263.0000       74365.00       272.6995    
   264.0000       75275.00       274.3629    
   265.0000       75656.00       275.0564    
   266.0000       76715.00       276.9747    
   267.0000       79948.00       282.7508    
   268.0000       75954.00       275.5975    
   269.0000       81719.00       285.8654    
   270.0000       73347.00       270.8265    
   271.0000       73231.00       270.6123    
   272.0000       77872.00       279.0555    
   273.0000       76678.00       276.9079    
   274.0000       75513.00       274.7963    
   275.0000       75098.00       274.0401    
   276.0000       78099.00       279.4620    
   277.0000       75195.00       274.2171    
   278.0000       73211.00       270.5753    
   279.0000       62930.00       250.8585    
   280.0000       78708.00       280.5495    
   281.0000       76305.00       276.2336    
   282.0000       76750.00       277.0379    
   283.0000       77849.00       279.0143    
   284.0000       76178.00       276.0036    
   285.0000       76137.00       275.9294    
   286.0000       76079.00       275.8242    
   287.0000       77924.00       279.1487    
   288.0000       75402.00       274.5942    
   289.0000       80322.00       283.4114    
   290.0000       73209.00       270.5716    
   291.0000       74627.00       273.1794    
   292.0000       76005.00       275.6900    
   293.0000       74458.00       272.8699    
   294.0000       74087.00       272.1893    
   295.0000       74802.00       273.4995    
   296.0000       76424.00       276.4489    
   297.0000       73548.00       271.1974    
   298.0000       70409.00       265.3470    
   299.0000       70114.00       264.7905    
   300.0000       78294.00       279.8106    
   301.0000       73301.00       270.7416    
   302.0000       74452.00       272.8589    
   303.0000       74787.00       273.4721    
   304.0000       74035.00       272.0937    
   305.0000       74505.00       272.9561    
   306.0000       74840.00       273.5690    
   307.0000       74110.00       272.2315    
   308.0000       72968.00       270.1259    
   309.0000       78226.00       279.6891    
   310.0000       70418.00       265.3639    
   311.0000       74381.00       272.7288    
   312.0000       75425.00       274.6361    
   313.0000       72548.00       269.3474    
   314.0000       73262.00       270.6695    
   315.0000       71590.00       267.5631    
   316.0000       72686.00       269.6034    
   317.0000       74184.00       272.3674    
   318.0000       70351.00       265.2376    
   319.0000       64608.00       254.1810    
   320.0000       67698.00       260.1884    
   321.0000       70422.00       265.3714    
   322.0000       72455.00       269.1747    
   323.0000       72830.00       269.8703    
   324.0000       72413.00       269.0966    
   325.0000       71952.00       268.2387    
   326.0000       71396.00       267.2003    
   327.0000       71477.00       267.3518    
   328.0000       69313.00       263.2736    
   329.0000       75057.00       273.9653    
   330.0000       67292.00       259.4070    
   331.0000       68931.00       262.5471    
   332.0000       71498.00       267.3911    
   333.0000       68386.00       261.5072    
   334.0000       69042.00       262.7585    
   335.0000       68989.00       262.6576    
   336.0000       68570.00       261.8587    
   337.0000       69864.00       264.3180    
   338.0000       68401.00       261.5359    
   339.0000       65895.00       256.7002    
   340.0000       73186.00       270.5291    
   341.0000       69397.00       263.4331    
   342.0000       71069.00       266.5877    
   343.0000       72252.00       268.7973    
   344.0000       73118.00       270.4034    
   345.0000       74964.00       273.7955    
   346.0000       71957.00       268.2480    
   347.0000       71799.00       267.9534    
   348.0000       72874.00       269.9518    
   349.0000       76161.00       275.9728    
   350.0000       68460.00       261.6486    
   351.0000       71123.00       266.6890    
   352.0000       72911.00       270.0204    
   353.0000       70115.00       264.7924    
   354.0000       70835.00       266.1485    
   355.0000       71309.00       267.0374    
   356.0000       73699.00       271.4756    
   357.0000       73124.00       270.4145    
   358.0000       71118.00       266.6796    
   359.0000       75132.00       274.1022    
   360.0000       74268.00       272.5215    
   361.0000       70644.00       265.7894    
   362.0000       71874.00       268.0933    
   363.0000       73561.00       271.2213    
   364.0000       73049.00       270.2758    
   365.0000       72985.00       270.1573    
   366.0000       71798.00       267.9515    
   367.0000       74449.00       272.8535    
   368.0000       71978.00       268.2872    
   369.0000       76380.00       276.3693    
   370.0000       67267.00       259.3588    
   371.0000       69372.00       263.3857    
   372.0000       74084.00       272.1837    
   373.0000       70876.00       266.2255    
   374.0000       71274.00       266.9719    
   375.0000       72144.00       268.5963    
   376.0000       71710.00       267.7872    
   377.0000       72164.00       268.6336    
   378.0000       69678.00       263.9659    
   379.0000       66397.00       257.6761    
   380.0000       73554.00       271.2084    
   381.0000       66983.00       258.8107    
   382.0000       70232.00       265.0132    
   383.0000       72922.00       270.0407    
