sample v-GeO2 1000K                                          22-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12027.00       109.6677    
   1.000000       1413.000       37.58989    
   2.000000       1655.000       40.68169    
   3.000000       2058.000       45.36518    
   4.000000       2833.000       53.22593    
   5.000000       3896.000       62.41795    
   6.000000       4529.000       67.29784    
   7.000000       5423.000       73.64102    
   8.000000       5682.000       75.37904    
   9.000000       6118.000       78.21764    
   10.00000       5564.000       74.59222    
   11.00000       5460.000       73.89182    
   12.00000       4990.000       70.63993    
   13.00000       4361.000       66.03786    
   14.00000       4152.000       64.43601    
   15.00000       3996.000       63.21392    
   16.00000       4369.000       66.09841    
   17.00000       4454.000       66.73830    
   18.00000       5073.000       71.22500    
   19.00000       12523.00       111.9062    
   20.00000       6080.000       77.97436    
   21.00000       6601.000       81.24654    
   22.00000       6769.000       82.27393    
   23.00000       8203.000       90.57041    
   24.00000       25499.00       159.6841    
   25.00000       45663.00       213.6890    
   26.00000       49750.00       223.0471    
   27.00000       53851.00       232.0582    
   28.00000       54925.00       234.3608    
   29.00000       54371.00       233.1759    
   30.00000       46760.00       216.2406    
   31.00000       48495.00       220.2158    
   32.00000       53218.00       230.6903    
   33.00000       57555.00       239.9062    
   34.00000       55494.00       235.5716    
   35.00000       55089.00       234.7105    
   36.00000       60448.00       245.8618    
   37.00000       60256.00       245.4710    
   38.00000       56889.00       238.5141    
   39.00000       54083.00       232.5575    
   40.00000       61592.00       248.1774    
   41.00000       59712.00       244.3604    
   42.00000       60285.00       245.5300    
   43.00000       63073.00       251.1434    
   44.00000       63817.00       252.6203    
   45.00000       65573.00       256.0723    
   46.00000       62779.00       250.5574    
   47.00000       64102.00       253.1837    
   48.00000       63126.00       251.2489    
   49.00000       67749.00       260.2864    
   50.00000       60128.00       245.2101    
   51.00000       65342.00       255.6208    
   52.00000       72240.00       268.7750    
   53.00000       71098.00       266.6421    
   54.00000       72794.00       269.8036    
   55.00000       75295.00       274.3994    
   56.00000       76107.00       275.8750    
   57.00000       77021.00       277.5266    
   58.00000       76385.00       276.3784    
   59.00000       69120.00       262.9068    
   60.00000       84097.00       289.9948    
   61.00000       86551.00       294.1955    
   62.00000       93144.00       305.1950    
   63.00000       93499.00       305.7761    
   64.00000       93529.00       305.8251    
   65.00000       94805.00       307.9042    
   66.00000       92790.00       304.6145    
   67.00000       91262.00       302.0960    
   68.00000       88513.00       297.5114    
   69.00000       97208.00       311.7820    
   70.00000       86326.00       293.8129    
   71.00000       85502.00       292.4073    
   72.00000       86322.00       293.8061    
   73.00000       85752.00       292.8344    
   74.00000       88470.00       297.4391    
   75.00000       83804.00       289.4892    
   76.00000       81745.00       285.9108    
