sample v-GeO2 1325K x4                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2646.000       51.43929    
   1.000000       358.0000       18.92089    
   2.000000       372.0000       19.28730    
   3.000000       459.0000       21.42429    
   4.000000       680.0000       26.07681    
   5.000000       935.0000       30.57777    
   6.000000       1107.000       33.27161    
   7.000000       1297.000       36.01389    
   8.000000       1312.000       36.22154    
   9.000000       1426.000       37.76242    
   10.00000       1291.000       35.93049    
   11.00000       1250.000       35.35534    
   12.00000       1160.000       34.05877    
   13.00000       984.0000       31.36877    
   14.00000       953.0000       30.87070    
   15.00000       913.0000       30.21589    
   16.00000       942.0000       30.69202    
   17.00000       1116.000       33.40659    
   18.00000       1137.000       33.71943    
   19.00000       2819.000       53.09426    
   20.00000       1491.000       38.61347    
   21.00000       1638.000       40.47221    
   22.00000       1693.000       41.14608    
   23.00000       1948.000       44.13615    
   24.00000       6202.000       78.75278    
   25.00000       11019.00       104.9714    
   26.00000       12121.00       110.0954    
   27.00000       12954.00       113.8156    
   28.00000       13475.00       116.0819    
   29.00000       13411.00       115.8059    
   30.00000       11457.00       107.0374    
   31.00000       11607.00       107.7358    
   32.00000       12905.00       113.6002    
   33.00000       13933.00       118.0381    
   34.00000       13374.00       115.6460    
   35.00000       13353.00       115.5552    
   36.00000       14640.00       120.9959    
   37.00000       14561.00       120.6690    
   38.00000       13558.00       116.4388    
   39.00000       12636.00       112.4100    
   40.00000       14944.00       122.2457    
   41.00000       14383.00       119.9291    
   42.00000       14665.00       121.0991    
   43.00000       15289.00       123.6487    
   44.00000       15411.00       124.1411    
   45.00000       15655.00       125.1199    
   46.00000       15284.00       123.6285    
   47.00000       15331.00       123.8184    
   48.00000       14934.00       122.2047    
   49.00000       16237.00       127.4245    
   50.00000       14062.00       118.5833    
   51.00000       15137.00       123.0325    
   52.00000       17030.00       130.4990    
   53.00000       16004.00       126.5069    
   54.00000       16407.00       128.0898    
   55.00000       16919.00       130.0731    
   56.00000       16741.00       129.3870    
   57.00000       17096.00       130.7517    
   58.00000       16491.00       128.4173    
   59.00000       14032.00       118.4567    
   60.00000       18306.00       135.2997    
   61.00000       19371.00       139.1797    
   62.00000       19652.00       140.1856    
   63.00000       19602.00       140.0071    
   64.00000       19606.00       140.0214    
   65.00000       19926.00       141.1595    
   66.00000       19411.00       139.3234    
   67.00000       19367.00       139.1654    
   68.00000       18921.00       137.5536    
   69.00000       20898.00       144.5614    
   70.00000       18578.00       136.3011    
   71.00000       18468.00       135.8970    
   72.00000       18906.00       137.4991    
   73.00000       19449.00       139.4597    
   74.00000       21148.00       145.4235    
   75.00000       18957.00       137.6844    
   76.00000       18299.00       135.2738    
