sample v-GeO2 1100K tst                                      23-11-07   215.611K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1220.000       34.92850    
   1.000000       160.0000       12.64911    
   2.000000       168.0000       12.96148    
   3.000000       207.0000       14.38750    
   4.000000       280.0000       16.73320    
   5.000000       428.0000       20.68816    
   6.000000       461.0000       21.47091    
   7.000000       599.0000       24.47448    
   8.000000       575.0000       23.97916    
   9.000000       670.0000       25.88436    
   10.00000       608.0000       24.65766    
   11.00000       587.0000       24.22808    
   12.00000       550.0000       23.45208    
   13.00000       452.0000       21.26029    
   14.00000       444.0000       21.07131    
   15.00000       378.0000       19.44222    
   16.00000       433.0000       20.80865    
   17.00000       514.0000       22.67157    
   18.00000       552.0000       23.49468    
   19.00000       1329.000       36.45545    
   20.00000       666.0000       25.80698    
   21.00000       716.0000       26.75818    
   22.00000       741.0000       27.22132    
   23.00000       816.0000       28.56571    
   24.00000       2644.000       51.41984    
   25.00000       4661.000       68.27151    
   26.00000       5012.000       70.79548    
   27.00000       5513.000       74.24958    
   28.00000       5763.000       75.91443    
   29.00000       5532.000       74.37742    
   30.00000       4821.000       69.43342    
   31.00000       4863.000       69.73521    
   32.00000       5330.000       73.00685    
   33.00000       5721.000       75.63729    
   34.00000       5698.000       75.48510    
   35.00000       5464.000       73.91888    
   36.00000       6021.000       77.59510    
   37.00000       5855.000       76.51797    
   38.00000       5566.000       74.60563    
   39.00000       5313.000       72.89033    
   40.00000       6028.000       77.64020    
   41.00000       5650.000       75.16648    
   42.00000       5736.000       75.73638    
   43.00000       6056.000       77.82030    
   44.00000       6022.000       77.60155    
   45.00000       6271.000       79.18964    
   46.00000       5851.000       76.49183    
   47.00000       5885.000       76.71375    
   48.00000       5797.000       76.13803    
   49.00000       6217.000       78.84795    
   50.00000       5338.000       73.06161    
   51.00000       5663.000       75.25291    
   52.00000       6296.000       79.34734    
   53.00000       6073.000       77.92946    
   54.00000       6184.000       78.63841    
   55.00000       6177.000       78.59389    
   56.00000       6163.000       78.50478    
   57.00000       6236.000       78.96835    
   58.00000       5999.000       77.45321    
   59.00000       5670.000       75.29940    
   60.00000       7795.000       88.28930    
   61.00000       10260.00       101.2917    
   62.00000       9942.000       99.70958    
   63.00000       7521.000       86.72370    
   64.00000       7022.000       83.79737    
   65.00000       6986.000       83.58230    
   66.00000       6914.000       83.15047    
   67.00000       6954.000       83.39065    
   68.00000       6751.000       82.16447    
   69.00000       7498.000       86.59100    
   70.00000       6817.000       82.56512    
   71.00000       7510.000       86.66026    
   72.00000       10506.00       102.4988    
   73.00000       18933.00       137.5972    
   74.00000       27293.00       165.2059    
   75.00000       18162.00       134.7665    
   76.00000       9773.000       98.85848    
