Cd 11mm Room Temperature                                     29-11-07  1417.397K
   185.0000       3408.000       58.37808    
   186.0000       3522.000       59.34644    
   187.0000       3331.000       57.71482    
   188.0000       3436.000       58.61740    
   189.0000       3285.000       57.31492    
   190.0000       3610.000       60.08327    
   191.0000       3537.000       59.47268    
   192.0000       3397.000       58.28379    
   193.0000       3515.000       59.28743    
   194.0000       3404.000       58.34381    
   195.0000       3364.000       58.00000    
   196.0000       3575.000       59.79131    
   197.0000       3477.000       58.96609    
   198.0000       3402.000       58.32667    
   199.0000       3423.000       58.50641    
   200.0000       3658.000       60.48140    
   201.0000       3290.000       57.35852    
   202.0000       3244.000       56.95612    
   203.0000       3492.000       59.09315    
   204.0000       3491.000       59.08469    
   205.0000       3454.000       58.77074    
   206.0000       3548.000       59.56509    
   207.0000       3584.000       59.86652    
   208.0000       3655.000       60.45660    
   209.0000       3381.000       58.14637    
   210.0000       3565.000       59.70762    
   211.0000       3227.000       56.80669    
   212.0000       3523.000       59.35487    
   213.0000       3732.000       61.09010    
   214.0000       3556.000       59.63221    
   215.0000       3444.000       58.68560    
   216.0000       3499.000       59.15235    
   217.0000       3500.000       59.16080    
   218.0000       3478.000       58.97457    
   219.0000       3307.000       57.50652    
   220.0000       3237.000       56.89464    
   221.0000       3597.000       59.97499    
   222.0000       3401.000       58.31809    
   223.0000       3426.000       58.53204    
   224.0000       3485.000       59.03389    
   225.0000       3543.000       59.52311    
   226.0000       3304.000       57.48043    
   227.0000       3510.000       59.24525    
   228.0000       3630.000       60.24948    
   229.0000       3448.000       58.71967    
   230.0000       3639.000       60.32412    
   231.0000       3340.000       57.79273    
   232.0000       3387.000       58.19794    
   233.0000       3494.000       59.11007    
   234.0000       3443.000       58.67708    
   235.0000       3372.000       58.06892    
   236.0000       3414.000       58.42944    
   237.0000       3558.000       59.64897    
   238.0000       3421.000       58.48932    
   239.0000       3373.000       58.07753    
   240.0000       3100.000       55.67764    
   241.0000       3518.000       59.31273    
   242.0000       3430.000       58.56620    
   243.0000       3591.000       59.92495    
   244.0000       3621.000       60.17474    
   245.0000       3387.000       58.19794    
   246.0000       3526.000       59.38013    
   247.0000       3330.000       57.70615    
   248.0000       3523.000       59.35487    
   249.0000       3341.000       57.80138    
   250.0000       3633.000       60.27437    
   251.0000       3309.000       57.52391    
   252.0000       3425.000       58.52350    
   253.0000       3490.000       59.07622    
   254.0000       3425.000       58.52350    
   255.0000       3536.000       59.46428    
   256.0000       3389.000       58.21512    
   257.0000       3401.000       58.31809    
   258.0000       3205.000       56.61272    
   259.0000       3102.000       55.69560    
   260.0000       2909.000       53.93515    
   261.0000       3305.000       57.48913    
   262.0000       3446.000       58.70264    
   263.0000       3457.000       58.79626    
   264.0000       3297.000       57.41951    
   265.0000       3319.000       57.61076    
   266.0000       3443.000       58.67708    
   267.0000       3380.000       58.13777    
   268.0000       3618.000       60.14981    
   269.0000       3293.000       57.38467    
   270.0000       3507.000       59.21993    
   271.0000       3336.000       57.75812    
   272.0000       3298.000       57.42822    
   273.0000       3483.000       59.01694    
   274.0000       3346.000       57.84462    
   275.0000       3349.000       57.87054    
   276.0000       3305.000       57.48913    
   277.0000       3468.000       58.88973    
   278.0000       3230.000       56.83309    
   279.0000       3118.000       55.83905    
   280.0000       2853.000       53.41348    
   281.0000       3333.000       57.73214    
   282.0000       3305.000       57.48913    
   283.0000       3371.000       58.06031    
   284.0000       3479.000       58.98305    
   285.0000       3546.000       59.54830    
   286.0000       3436.000       58.61740    
   287.0000       3358.000       57.94825    
   288.0000       3561.000       59.67411    
   289.0000       3307.000       57.50652    
   290.0000       3438.000       58.63446    
   291.0000       3275.000       57.22762    
   292.0000       3256.000       57.06137    
   293.0000       3393.000       58.24946    
   294.0000       3295.000       57.40209    
   295.0000       3256.000       57.06137    
   296.0000       3188.000       56.46238    
   297.0000       3322.000       57.63680    
   298.0000       3203.000       56.59505    
   299.0000       3085.000       55.54278    
   300.0000       3176.000       56.35601    
   301.0000       3466.000       58.87275    
   302.0000       3233.000       56.85947    
   303.0000       3272.000       57.20140    
   304.0000       3241.000       56.92978    
   305.0000       3321.000       57.62812    
   306.0000       3340.000       57.79273    
   307.0000       3343.000       57.81868    
   308.0000       3309.000       57.52391    
   309.0000       3175.000       56.34714    
   310.0000       3444.000       58.68560    
   311.0000       3325.000       57.66281    
   312.0000       3294.000       57.39338    
   313.0000       3327.000       57.68015    
   314.0000       3218.000       56.72742    
   315.0000       3255.000       57.05261    
   316.0000       3256.000       57.06137    
   317.0000       3202.000       56.58622    
   318.0000       3426.000       58.53204    
   319.0000       3338.000       57.77543    
   320.0000       2898.000       53.83308    
   321.0000       3077.000       55.47071    
   322.0000       3252.000       57.02631    
   323.0000       3320.000       57.61944    
   324.0000       3327.000       57.68015    
   325.0000       3372.000       58.06892    
   326.0000       3314.000       57.56735    
   327.0000       3294.000       57.39338    
   328.0000       3283.000       57.29747    
   329.0000       3191.000       56.48894    
   330.0000       3433.000       58.59181    
   331.0000       3208.000       56.63921    
   332.0000       3092.000       55.60575    
   333.0000       3268.000       57.16642    
   334.0000       3089.000       55.57877    
