empty can 300K                                               17-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       49686.00       222.9036    
   185.0000       50169.00       223.9844    
   186.0000       49804.00       223.1681    
   187.0000       49099.00       221.5829    
   188.0000       48099.00       219.3148    
   189.0000       50134.00       223.9062    
   190.0000       46989.00       216.7695    
   191.0000       46943.00       216.6633    
   192.0000       47843.00       218.7304    
   193.0000       46790.00       216.3100    
   194.0000       46937.00       216.6495    
   195.0000       47211.00       217.2809    
   196.0000       46948.00       216.6749    
   197.0000       46593.00       215.8541    
   198.0000       47500.00       217.9449    
   199.0000       48313.00       219.8022    
   200.0000       44642.00       211.2865    
   201.0000       44812.00       211.6884    
   202.0000       47414.00       217.7476    
   203.0000       47923.00       218.9132    
   204.0000       46790.00       216.3100    
   205.0000       46981.00       216.7510    
   206.0000       46699.00       216.0995    
   207.0000       48331.00       219.8431    
   208.0000       46093.00       214.6928    
   209.0000       48589.00       220.4291    
   210.0000       44438.00       210.8032    
   211.0000       46021.00       214.5251    
   212.0000       48816.00       220.9434    
   213.0000       46788.00       216.3053    
   214.0000       46953.00       216.6864    
   215.0000       45023.00       212.1862    
   216.0000       47635.00       218.2544    
   217.0000       47589.00       218.1490    
   218.0000       44925.00       211.9552    
   219.0000       44178.00       210.1856    
   220.0000       48740.00       220.7714    
   221.0000       45559.00       213.4455    
   222.0000       45722.00       213.8270    
   223.0000       46816.00       216.3701    
   224.0000       46629.00       215.9375    
   225.0000       45798.00       214.0047    
   226.0000       46144.00       214.8115    
   227.0000       47253.00       217.3775    
   228.0000       46445.00       215.5110    
   229.0000       48522.00       220.2771    
   230.0000       44650.00       211.3055    
   231.0000       45041.00       212.2287    
   232.0000       46999.00       216.7925    
   233.0000       45933.00       214.3199    
   234.0000       46239.00       215.0326    
   235.0000       45872.00       214.1775    
   236.0000       47147.00       217.1336    
   237.0000       45622.00       213.5931    
   238.0000       45336.00       212.9225    
   239.0000       41876.00       204.6363    
   240.0000       47973.00       219.0274    
   241.0000       46224.00       214.9977    
   242.0000       48052.00       219.2077    
   243.0000       46378.00       215.3555    
   244.0000       46324.00       215.2301    
   245.0000       48010.00       219.1118    
   246.0000       46273.00       215.1116    
   247.0000       47012.00       216.8225    
   248.0000       45201.00       212.6053    
   249.0000       48394.00       219.9864    
   250.0000       44809.00       211.6814    
   251.0000       45788.00       213.9813    
   252.0000       47267.00       217.4097    
   253.0000       45468.00       213.2323    
   254.0000       45951.00       214.3618    
   255.0000       45174.00       212.5418    
   256.0000       46463.00       215.5528    
   257.0000       45804.00       214.0187    
   258.0000       43668.00       208.9689    
   259.0000       41288.00       203.1945    
   260.0000       46403.00       215.4136    
   261.0000       46809.00       216.3539    
   262.0000       45190.00       212.5794    
   263.0000       45656.00       213.6727    
   264.0000       45916.00       214.2802    
   265.0000       45763.00       213.9229    
   266.0000       46246.00       215.0488    
   267.0000       47543.00       218.0436    
   268.0000       45673.00       213.7124    
   269.0000       48020.00       219.1347    
   270.0000       44820.00       211.7074    
   271.0000       44493.00       210.9336    
   272.0000       46286.00       215.1418    
   273.0000       45583.00       213.5018    
   274.0000       45623.00       213.5954    
   275.0000       44687.00       211.3930    
   276.0000       46152.00       214.8302    
   277.0000       44757.00       211.5585    
   278.0000       43771.00       209.2152    
   279.0000       39220.00       198.0404    
   280.0000       46424.00       215.4623    
   281.0000       45043.00       212.2334    
   282.0000       46227.00       215.0047    
   283.0000       46352.00       215.2952    
   284.0000       45310.00       212.8615    
   285.0000       46281.00       215.1302    
   286.0000       45613.00       213.5720    
   287.0000       46842.00       216.4301    
   288.0000       44779.00       211.6105    
   289.0000       47139.00       217.1152    
   290.0000       44227.00       210.3022    
   291.0000       44628.00       211.2534    
   292.0000       46066.00       214.6299    
   293.0000       44456.00       210.8459    
   294.0000       44224.00       210.2950    
   295.0000       44823.00       211.7144    
   296.0000       45650.00       213.6586    
   297.0000       43919.00       209.5686    
   298.0000       42720.00       206.6882    
   299.0000       43668.00       208.9689    
   300.0000       47149.00       217.1382    
   301.0000       44512.00       210.9787    
   302.0000       45091.00       212.3464    
   303.0000       45543.00       213.4081    
   304.0000       44485.00       210.9147    
   305.0000       45099.00       212.3652    
   306.0000       45269.00       212.7651    
   307.0000       44395.00       210.7012    
   308.0000       44167.00       210.1595    
   309.0000       46962.00       216.7072    
   310.0000       43038.00       207.4560    
   311.0000       45066.00       212.2875    
   312.0000       46279.00       215.1255    
   313.0000       43877.00       209.4684    
   314.0000       44505.00       210.9621    
   315.0000       43657.00       208.9426    
   316.0000       44867.00       211.8183    
   317.0000       45757.00       213.9089    
   318.0000       43873.00       209.4588    
   319.0000       42024.00       204.9976    
   320.0000       41386.00       203.4355    
   321.0000       43383.00       208.2859    
   322.0000       45292.00       212.8192    
