sample v-GeO2 850K babana displaced by -0.8°                 21-11-07    42.925K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   365.0000       19.10497    
   1.000000       63.00000       7.937254    
   2.000000       78.00000       8.831760    
   3.000000       56.00000       7.483315    
   4.000000       106.0000       10.29563    
   5.000000       100.0000       10.00000    
   6.000000       151.0000       12.28821    
   7.000000       138.0000       11.74734    
   8.000000       235.0000       15.32971    
   9.000000       205.0000       14.31782    
   10.00000       300.0000       17.32051    
   11.00000       191.0000       13.82028    
   12.00000       198.0000       14.07125    
   13.00000       188.0000       13.71131    
   14.00000       156.0000       12.49000    
   15.00000       180.0000       13.41641    
   16.00000       184.0000       13.56466    
   17.00000       205.0000       14.31782    
   18.00000       309.0000       17.57840    
   19.00000       358.0000       18.92089    
   20.00000       124.0000       11.13553    
   21.00000       143.0000       11.95826    
   22.00000       187.0000       13.67479    
   23.00000       205.0000       14.31782    
   24.00000       554.0000       23.53720    
   25.00000       994.0000       31.52777    
   26.00000       1084.000       32.92416    
   27.00000       1120.000       33.46640    
   28.00000       1179.000       34.33657    
   29.00000       1188.000       34.46738    
   30.00000       994.0000       31.52777    
   31.00000       1012.000       31.81195    
   32.00000       1133.000       33.66006    
   33.00000       1234.000       35.12834    
   34.00000       1153.000       33.95585    
   35.00000       1186.000       34.43835    
   36.00000       1197.000       34.59769    
   37.00000       1227.000       35.02856    
   38.00000       1180.000       34.35113    
   39.00000       1126.000       33.55592    
   40.00000       1323.000       36.37307    
   41.00000       1247.000       35.31289    
   42.00000       1226.000       35.01428    
   43.00000       1300.000       36.05551    
   44.00000       1357.000       36.83748    
   45.00000       1331.000       36.48287    
   46.00000       1340.000       36.60601    
   47.00000       1353.000       36.78315    
   48.00000       1301.000       36.06938    
   49.00000       1446.000       38.02631    
   50.00000       1280.000       35.77709    
   51.00000       1400.000       37.41657    
   52.00000       1545.000       39.30649    
   53.00000       1528.000       39.08964    
   54.00000       1527.000       39.07685    
   55.00000       1650.000       40.62019    
   56.00000       1625.000       40.31129    
   57.00000       1695.000       41.17038    
   58.00000       1591.000       39.88734    
   59.00000       1440.000       37.94733    
   60.00000       1804.000       42.47352    
   61.00000       1944.000       44.09082    
   62.00000       1989.000       44.59821    
   63.00000       2058.000       45.36518    
   64.00000       2046.000       45.23273    
   65.00000       2118.000       46.02173    
   66.00000       2067.000       45.46427    
   67.00000       2006.000       44.78839    
   68.00000       1893.000       43.50862    
   69.00000       2185.000       46.74398    
   70.00000       1893.000       43.50862    
   71.00000       1952.000       44.18144    
   72.00000       1917.000       43.78356    
   73.00000       1750.000       41.83300    
   74.00000       1819.000       42.64973    
   75.00000       1732.000       41.61731    
   76.00000       1846.000       42.96510    
