sample v-GeO2 1450K tst                                      23-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1059.000       32.54228    
   1.000000       134.0000       11.57584    
   2.000000       127.0000       11.26943    
   3.000000       183.0000       13.52775    
   4.000000       279.0000       16.70329    
   5.000000       403.0000       20.07486    
   6.000000       426.0000       20.63977    
   7.000000       539.0000       23.21637    
   8.000000       563.0000       23.72762    
   9.000000       624.0000       24.97999    
   10.00000       489.0000       22.11334    
   11.00000       522.0000       22.84732    
   12.00000       499.0000       22.33831    
   13.00000       414.0000       20.34699    
   14.00000       386.0000       19.64688    
   15.00000       393.0000       19.82423    
   16.00000       402.0000       20.04994    
   17.00000       448.0000       21.16601    
   18.00000       459.0000       21.42429    
   19.00000       1161.000       34.07345    
   20.00000       577.0000       24.02082    
   21.00000       626.0000       25.01999    
   22.00000       655.0000       25.59297    
   23.00000       761.0000       27.58623    
   24.00000       2494.000       49.93996    
   25.00000       4474.000       66.88796    
   26.00000       4852.000       69.65630    
   27.00000       5286.000       72.70488    
   28.00000       5370.000       73.28028    
   29.00000       5407.000       73.53230    
   30.00000       4528.000       67.29041    
   31.00000       4939.000       70.27802    
   32.00000       5329.000       73.00000    
   33.00000       5582.000       74.71278    
   34.00000       5522.000       74.31016    
   35.00000       5339.000       73.06846    
   36.00000       5915.000       76.90903    
   37.00000       6078.000       77.96153    
   38.00000       5660.000       75.23297    
   39.00000       5357.000       73.19153    
   40.00000       6272.000       79.19596    
   41.00000       6034.000       77.67883    
   42.00000       6014.000       77.54998    
   43.00000       6266.000       79.15807    
   44.00000       6260.000       79.12016    
   45.00000       6489.000       80.55433    
   46.00000       6235.000       78.96201    
   47.00000       6469.000       80.43009    
   48.00000       6186.000       78.65113    
   49.00000       6758.000       82.20705    
   50.00000       5934.000       77.03246    
   51.00000       6436.000       80.22469    
   52.00000       7099.000       84.25556    
   53.00000       7034.000       83.86894    
   54.00000       7018.000       83.77351    
   55.00000       7341.000       85.67963    
   56.00000       7398.000       86.01163    
   57.00000       7198.000       84.84103    
   58.00000       7112.000       84.33267    
   59.00000       6383.000       79.89368    
   60.00000       7633.000       87.36704    
   61.00000       7749.000       88.02840    
   62.00000       8362.000       91.44397    
   63.00000       8353.000       91.39474    
   64.00000       8268.000       90.92854    
   65.00000       8580.000       92.62829    
   66.00000       8264.000       90.90655    
   67.00000       8310.000       91.15920    
   68.00000       8075.000       89.86100    
   69.00000       8833.000       93.98404    
   70.00000       7884.000       88.79189    
   71.00000       7824.000       88.45338    
   72.00000       7823.000       88.44772    
   73.00000       7806.000       88.35157    
   74.00000       8058.000       89.76637    
   75.00000       7622.000       87.30407    
   76.00000       7638.000       87.39565    
