sample v-GeO2 1100K                                          23-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   11731.00       108.3097    
   1.000000       1375.000       37.08099    
   2.000000       1619.000       40.23680    
   3.000000       1964.000       44.31704    
   4.000000       2817.000       53.07542    
   5.000000       3820.000       61.80615    
   6.000000       4475.000       66.89544    
   7.000000       5450.000       73.82411    
   8.000000       5624.000       74.99333    
   9.000000       6001.000       77.46612    
   10.00000       5669.000       75.29276    
   11.00000       5397.000       73.46428    
   12.00000       4848.000       69.62758    
   13.00000       4362.000       66.04544    
   14.00000       4139.000       64.33506    
   15.00000       3933.000       62.71363    
   16.00000       4295.000       65.53625    
   17.00000       4327.000       65.77994    
   18.00000       4897.000       69.97857    
   19.00000       12679.00       112.6011    
   20.00000       5952.000       77.14921    
   21.00000       6802.000       82.47424    
   22.00000       6885.000       82.97590    
   23.00000       8192.000       90.50967    
   24.00000       24911.00       157.8322    
   25.00000       44153.00       210.1262    
   26.00000       48246.00       219.6497    
   27.00000       52595.00       229.3360    
   28.00000       53318.00       230.9069    
   29.00000       52873.00       229.9413    
   30.00000       45308.00       212.8568    
   31.00000       46704.00       216.1111    
   32.00000       51457.00       226.8414    
   33.00000       55271.00       235.0979    
   34.00000       53142.00       230.5255    
   35.00000       52577.00       229.2968    
   36.00000       57834.00       240.4870    
   37.00000       56905.00       238.5477    
   38.00000       53553.00       231.4152    
   39.00000       51296.00       226.4862    
   40.00000       58502.00       241.8719    
   41.00000       56611.00       237.9307    
   42.00000       56532.00       237.7646    
   43.00000       58860.00       242.6108    
   44.00000       59724.00       244.3849    
   45.00000       60457.00       245.8801    
   46.00000       58315.00       241.4850    
   47.00000       59110.00       243.1255    
   48.00000       57604.00       240.0083    
   49.00000       61420.00       247.8306    
   50.00000       54079.00       232.5489    
   51.00000       58891.00       242.6747    
   52.00000       64474.00       253.9173    
   53.00000       62138.00       249.2749    
   54.00000       62801.00       250.6013    
   55.00000       65028.00       255.0059    
   56.00000       64982.00       254.9157    
   57.00000       65612.00       256.1484    
   58.00000       64270.00       253.5153    
   59.00000       57611.00       240.0229    
   60.00000       76912.00       277.3301    
   61.00000       92751.00       304.5505    
   62.00000       93114.00       305.1459    
   63.00000       80026.00       282.8887    
   64.00000       75897.00       275.4941    
   65.00000       76341.00       276.2987    
   66.00000       75292.00       274.3939    
   67.00000       74400.00       272.7636    
   68.00000       72892.00       269.9852    
   69.00000       80168.00       283.1395    
   70.00000       72607.00       269.4568    
   71.00000       75529.00       274.8254    
   72.00000       91697.00       302.8151    
   73.00000       138023.0       371.5145    
   74.00000       183356.0       428.2009    
   75.00000       133071.0       364.7890    
   76.00000       86749.00       294.5318    
