sample v-GeO2 900K                  21-11-07   663.899K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   4069.000       63.78872    
   1.000000       466.0000       21.58703    
   2.000000       491.0000       22.15852    
   3.000000       619.0000       24.87971    
   4.000000       980.0000       31.30495    
   5.000000       1361.000       36.89174    
   6.000000       1517.000       38.94868    
   7.000000       1761.000       41.96427    
   8.000000       1919.000       43.80639    
   9.000000       2013.000       44.86647    
   10.00000       1783.000       42.22559    
   11.00000       1813.000       42.57934    
   12.00000       1660.000       40.74310    
   13.00000       1452.000       38.10512    
   14.00000       1397.000       37.37646    
   15.00000       1320.000       36.33180    
   16.00000       1341.000       36.61967    
   17.00000       1533.000       39.15355    
   18.00000       1701.000       41.24318    
   19.00000       3938.000       62.75349    
   20.00000       2031.000       45.06662    
   21.00000       2144.000       46.30335    
   22.00000       2335.000       48.32184    
   23.00000       2703.000       51.99038    
   24.00000       8268.000       90.92854    
   25.00000       15008.00       122.5071    
   26.00000       16643.00       129.0078    
   27.00000       17886.00       133.7386    
   28.00000       17932.00       133.9104    
   29.00000       17796.00       133.4016    
   30.00000       15541.00       124.6635    
   31.00000       16124.00       126.9803    
   32.00000       17614.00       132.7177    
   33.00000       18819.00       137.1824    
   34.00000       18296.00       135.2627    
   35.00000       18105.00       134.5548    
   36.00000       19860.00       140.9255    
   37.00000       19630.00       140.1071    
   38.00000       18676.00       136.6602    
   39.00000       17874.00       133.6937    
   40.00000       20550.00       143.3527    
   41.00000       19651.00       140.1820    
   42.00000       19792.00       140.6840    
   43.00000       20654.00       143.7150    
   44.00000       21094.00       145.2377    
   45.00000       21329.00       146.0445    
   46.00000       20761.00       144.0868    
   47.00000       20829.00       144.3226    
   48.00000       20678.00       143.7985    
   49.00000       22350.00       149.4992    
   50.00000       20030.00       141.5274    
   51.00000       21732.00       147.4178    
   52.00000       23833.00       154.3794    
   53.00000       23500.00       153.2971    
   54.00000       23854.00       154.4474    
   55.00000       24642.00       156.9777    
   56.00000       25158.00       158.6127    
   57.00000       25473.00       159.6026    
   58.00000       25309.00       159.0880    
   59.00000       23085.00       151.9375    
   60.00000       28135.00       167.7349    
   61.00000       28441.00       168.6446    
   62.00000       31109.00       176.3774    
   63.00000       31575.00       177.6936    
   64.00000       31699.00       178.0421    
   65.00000       31953.00       178.7540    
   66.00000       31494.00       177.4655    
   67.00000       31045.00       176.1959    
   68.00000       30131.00       173.5828    
   69.00000       32832.00       181.1960    
   70.00000       28969.00       170.2028    
   71.00000       28912.00       170.0353    
   72.00000       28804.00       169.7174    
   73.00000       27725.00       166.5083    
   74.00000       28485.00       168.7750    
   75.00000       27417.00       165.5808    
   76.00000       27077.00       164.5509    
   77.00000       26584.00       163.0460    
