   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    0   3.115908    19.130867    -0.000000      19.1309   13.45239   65.52176    4
   1    0    1   2.400106     8.364674    -0.000000      8.36467   17.49216   14.93537    8
   2    0    0   2.203280    -1.320266    -0.000000      1.32027   19.06876    0.15713    4
   1    1    1   2.107740   -20.451133     0.000000      20.4511   19.94174   69.09651    8
   2    1    0   1.970674    14.106323     0.000000      14.1063   21.34448   28.80131    8
   2    1    1   1.623085    22.470997    -0.000000       22.471   25.98808  100.00000   16
   2    2    0   1.557954    29.852057    -0.000000      29.8521   27.09478   40.74367    4
   0    0    2   1.430930    39.582000    -0.000000       39.582   29.55238   30.37770    2
   3    1    0   1.393477     9.400924    -0.000000      9.40092   30.36553    6.51250    8
   2    2    1   1.368336    -9.729943     0.000000      9.72994   30.93727    6.73608    8
   3    0    1   1.306783    36.577321    -0.000000      36.5773   32.43372   87.14470    8
   1    1    2   1.300364    19.130867    -0.000000      19.1309   32.59826   23.61521    8
   3    1    1   1.252853    10.721190    -0.000000      10.7212   33.87103   13.81491   16
   3    2    0   1.222160    -7.395021     0.000000      7.39502   34.74835    3.13468    8
   2    0    2   1.200053    -1.320266     0.000000      1.32027   35.40944    0.09651    8
   2    1    2   1.157884    14.106323     0.000000      14.1063   36.74422   20.59137   16
   3    2    1   1.123960     0.969653    -0.000000     0.969653   37.89482    0.09199   16
   4    0    0   1.101640    20.122114    -0.000000      20.1221   38.69283    9.53711    4
   4    1    0   1.068748   -21.501344     0.000000      21.5013   39.93346   20.57698    8
   2    2    2   1.053870    29.852057    -0.000000      29.8521   40.52174   38.64018    8
   3    3    0   1.038636    33.961582    -0.000000      33.9616   41.14279   24.33690    4
   4    1    1   1.001211    15.075976    -0.000000       15.076   42.75470   17.92199   16
