Vanadium rnace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   7809.000       88.36855    
   1.000000       1148.000       33.88215    
   2.000000       1314.000       36.24914    
   3.000000       1575.000       39.68627    
   4.000000       2352.000       48.49742    
   5.000000       3396.000       58.27521    
   6.000000       3750.000       61.23724    
   7.000000       4383.000       66.20423    
   8.000000       4363.000       66.05301    
   9.000000       4473.000       66.88049    
   10.00000       4088.000       63.93747    
   11.00000       4012.000       63.34035    
   12.00000       3818.000       61.78997    
   13.00000       3535.000       59.45587    
   14.00000       3319.000       57.61076    
   15.00000       3269.000       57.17517    
   16.00000       3596.000       59.96666    
   17.00000       3599.000       59.99166    
   18.00000       4149.000       64.41273    
   19.00000       8716.000       93.35952    
   20.00000       5140.000       71.69379    
   21.00000       5552.000       74.51174    
   22.00000       5749.000       75.82216    
   23.00000       6820.000       82.58329    
   24.00000       19811.00       140.7516    
   25.00000       48291.00       219.7521    
   26.00000       53186.00       230.6209    
   27.00000       53554.00       231.4174    
   28.00000       51991.00       228.0154    
   29.00000       50845.00       225.4884    
   30.00000       43768.00       209.2080    
   31.00000       44995.00       212.1203    
   32.00000       49446.00       222.3646    
   33.00000       53400.00       231.0844    
   34.00000       50965.00       225.7543    
   35.00000       50447.00       224.6041    
   36.00000       54711.00       233.9038    
   37.00000       53927.00       232.2219    
   38.00000       50460.00       224.6330    
   39.00000       48205.00       219.5564    
   40.00000       54561.00       233.5830    
   41.00000       52392.00       228.8930    
   42.00000       52009.00       228.0548    
   43.00000       54277.00       232.9742    
   44.00000       54229.00       232.8712    
   45.00000       55369.00       235.3062    
   46.00000       52680.00       229.5212    
   47.00000       52689.00       229.5408    
   48.00000       51578.00       227.1079    
   49.00000       54271.00       232.9614    
   50.00000       47311.00       217.5109    
   51.00000       50617.00       224.9822    
   52.00000       55143.00       234.8255    
   53.00000       52113.00       228.2827    
   54.00000       52336.00       228.7706    
   55.00000       53266.00       230.7943    
   56.00000       52904.00       230.0087    
   57.00000       51846.00       227.6972    
   58.00000       49643.00       222.8071    
   59.00000       43249.00       207.9639    
   60.00000       51635.00       227.2334    
   61.00000       52647.00       229.4493    
   62.00000       55539.00       235.6671    
   63.00000       55537.00       235.6629    
   64.00000       55520.00       235.6268    
   65.00000       56229.00       237.1265    
   66.00000       55567.00       235.7265    
   67.00000       55067.00       234.6636    
   68.00000       53642.00       231.6074    
   69.00000       58857.00       242.6046    
   70.00000       53458.00       231.2099    
   71.00000       54087.00       232.5661    
   72.00000       54672.00       233.8204    
   73.00000       53581.00       231.4757    
   74.00000       55606.00       235.8092    
   75.00000       54674.00       233.8247    
   76.00000       55113.00       234.7616    
