sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10441.00       102.1812    
   1.000000       1300.000       36.05551    
   2.000000       1528.000       39.08964    
   3.000000       1912.000       43.72642    
   4.000000       2696.000       51.92302    
   5.000000       3738.000       61.13919    
   6.000000       4137.000       64.31951    
   7.000000       5200.000       72.11102    
   8.000000       5401.000       73.49149    
   9.000000       5559.000       74.55870    
   10.00000       5115.000       71.51923    
   11.00000       5034.000       70.95068    
   12.00000       4675.000       68.37397    
   13.00000       4080.000       63.87488    
   14.00000       3963.000       62.95236    
   15.00000       3733.000       61.09828    
   16.00000       4013.000       63.34824    
   17.00000       4291.000       65.50572    
   18.00000       4840.000       69.57011    
   19.00000       10881.00       104.3120    
   20.00000       5802.000       76.17086    
   21.00000       6287.000       79.29060    
   22.00000       6512.000       80.69696    
   23.00000       7964.000       89.24125    
   24.00000       24763.00       157.3626    
   25.00000       43841.00       209.3824    
   26.00000       48263.00       219.6884    
   27.00000       52113.00       228.2827    
   28.00000       53606.00       231.5297    
   29.00000       53210.00       230.6729    
   30.00000       44790.00       211.6365    
   31.00000       47039.00       216.8848    
   32.00000       51907.00       227.8311    
   33.00000       55910.00       236.4530    
   34.00000       54093.00       232.5790    
   35.00000       53749.00       231.8383    
   36.00000       58189.00       241.2240    
   37.00000       58208.00       241.2633    
   38.00000       54832.00       234.1623    
   39.00000       50357.00       224.4037    
   40.00000       60007.00       244.9633    
   41.00000       58319.00       241.4933    
   42.00000       58834.00       242.5572    
   43.00000       61157.00       247.2994    
   44.00000       61656.00       248.3063    
   45.00000       63001.00       251.0000    
   46.00000       61085.00       247.1538    
   47.00000       61272.00       247.5318    
   48.00000       59952.00       244.8510    
   49.00000       64676.00       254.3148    
   50.00000       56131.00       236.9198    
   51.00000       60748.00       246.4711    
   52.00000       67377.00       259.5708    
   53.00000       65758.00       256.4332    
   54.00000       66981.00       258.8069    
   55.00000       68679.00       262.0668    
   56.00000       68101.00       260.9617    
   57.00000       68514.00       261.7518    
   58.00000       66770.00       258.3989    
   59.00000       56548.00       237.7982    
   60.00000       72270.00       268.8308    
   61.00000       73002.00       270.1888    
   62.00000       78234.00       279.7034    
   63.00000       79188.00       281.4036    
   64.00000       78638.00       280.4247    
   65.00000       80155.00       283.1166    
   66.00000       78785.00       280.6866    
   67.00000       78138.00       279.5317    
   68.00000       76301.00       276.2263    
   69.00000       83956.00       289.7516    
   70.00000       74325.00       272.6261    
   71.00000       74330.00       272.6353    
   72.00000       75169.00       274.1696    
   73.00000       74358.00       272.6866    
   74.00000       76466.00       276.5249    
   75.00000       73989.00       272.0092    
   76.00000       73862.00       271.7756    
