sample v-GeO2 350K                                           17-11-07   745.664K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   4592.000       67.76430    
   1.000000       542.0000       23.28089    
   2.000000       587.0000       24.22808    
   3.000000       760.0000       27.56810    
   4.000000       1046.000       32.34192    
   5.000000       1435.000       37.88139    
   6.000000       1641.000       40.50926    
   7.000000       2036.000       45.12206    
   8.000000       2105.000       45.88028    
   9.000000       2163.000       46.50806    
   10.00000       2046.000       45.23273    
   11.00000       1994.000       44.65423    
   12.00000       1863.000       43.16248    
   13.00000       1668.000       40.84116    
   14.00000       1542.000       39.26831    
   15.00000       1535.000       39.17908    
   16.00000       1598.000       39.97499    
   17.00000       1621.000       40.26164    
   18.00000       1949.000       44.14748    
   19.00000       4567.000       67.57958    
   20.00000       2310.000       48.06246    
   21.00000       2409.000       49.08157    
   22.00000       2571.000       50.70503    
   23.00000       2988.000       54.66260    
   24.00000       9149.000       95.65041    
   25.00000       16694.00       129.2053    
   26.00000       18708.00       136.7772    
   27.00000       19690.00       140.3211    
   28.00000       20446.00       142.9895    
   29.00000       20092.00       141.7462    
   30.00000       17817.00       133.4803    
   31.00000       17960.00       134.0149    
   32.00000       20101.00       141.7780    
   33.00000       21471.00       146.5299    
   34.00000       20971.00       144.8137    
   35.00000       20649.00       143.6976    
   36.00000       22636.00       150.4527    
   37.00000       21924.00       148.0676    
   38.00000       21455.00       146.4753    
   39.00000       20343.00       142.6289    
   40.00000       22923.00       151.4034    
   41.00000       22275.00       149.2481    
   42.00000       22786.00       150.9503    
   43.00000       23204.00       152.3286    
   44.00000       23570.00       153.5252    
   45.00000       24149.00       155.3995    
   46.00000       23706.00       153.9675    
   47.00000       23387.00       152.9281    
   48.00000       23161.00       152.1874    
   49.00000       24729.00       157.2546    
   50.00000       22408.00       149.6930    
   51.00000       24058.00       155.1064    
   52.00000       26758.00       163.5787    
   53.00000       25975.00       161.1676    
   54.00000       26756.00       163.5726    
   55.00000       27282.00       165.1726    
   56.00000       28081.00       167.5739    
   57.00000       28414.00       168.5645    
   58.00000       28571.00       169.0296    
   59.00000       26089.00       161.5209    
   60.00000       31044.00       176.1931    
   61.00000       31936.00       178.7065    
   62.00000       34701.00       186.2820    
   63.00000       34497.00       185.7337    
   64.00000       35237.00       187.7152    
   65.00000       36131.00       190.0816    
   66.00000       35065.00       187.2565    
   67.00000       34585.00       185.9704    
   68.00000       33587.00       183.2676    
   69.00000       36659.00       191.4654    
   70.00000       33323.00       182.5459    
   71.00000       32213.00       179.4798    
   72.00000       32740.00       180.9420    
   73.00000       31713.00       178.0814    
   74.00000       32442.00       180.1166    
   75.00000       30711.00       175.2455    
   76.00000       30787.00       175.4622    
