sample v-GeO2 700K                                           19-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12347.00       111.1171    
   1.000000       1324.000       36.38681    
   2.000000       1641.000       40.50926    
   3.000000       1963.000       44.30576    
   4.000000       2832.000       53.21654    
   5.000000       3805.000       61.68468    
   6.000000       4595.000       67.78643    
   7.000000       5399.000       73.47789    
   8.000000       5722.000       75.64391    
   9.000000       5971.000       77.27225    
   10.00000       5647.000       75.14652    
   11.00000       5445.000       73.79025    
   12.00000       4919.000       70.13558    
   13.00000       4361.000       66.03786    
   14.00000       4076.000       63.84356    
   15.00000       3919.000       62.60192    
   16.00000       4218.000       64.94613    
   17.00000       4538.000       67.36468    
   18.00000       5157.000       71.81226    
   19.00000       12372.00       111.2295    
   20.00000       5962.000       77.21399    
   21.00000       6647.000       81.52914    
   22.00000       7013.000       83.74366    
   23.00000       8062.000       89.78864    
   24.00000       24601.00       156.8471    
   25.00000       45316.00       212.8755    
   26.00000       49741.00       223.0269    
   27.00000       52997.00       230.2108    
   28.00000       54411.00       233.2617    
   29.00000       53355.00       230.9870    
   30.00000       47472.00       217.8807    
   31.00000       48183.00       219.5063    
   32.00000       53309.00       230.8874    
   33.00000       57301.00       239.3763    
   34.00000       55550.00       235.6905    
   35.00000       54584.00       233.6322    
   36.00000       60227.00       245.4119    
   37.00000       59916.00       244.7775    
   38.00000       56639.00       237.9895    
   39.00000       53250.00       230.7596    
   40.00000       61498.00       247.9879    
   41.00000       59001.00       242.9012    
   42.00000       60395.00       245.7539    
   43.00000       62080.00       249.1586    
   44.00000       63176.00       251.3484    
   45.00000       64859.00       254.6743    
   46.00000       63075.00       251.1474    
   47.00000       63018.00       251.0339    
   48.00000       61943.00       248.8835    
   49.00000       66772.00       258.4028    
   50.00000       60639.00       246.2499    
   51.00000       64534.00       254.0354    
   52.00000       72184.00       268.6708    
   53.00000       70140.00       264.8396    
   54.00000       72647.00       269.5311    
   55.00000       73978.00       271.9890    
   56.00000       75413.00       274.6143    
   57.00000       76481.00       276.5520    
   58.00000       77917.00       279.1362    
   59.00000       69939.00       264.4598    
   60.00000       84346.00       290.4238    
   61.00000       86680.00       294.4147    
   62.00000       93694.00       306.0948    
   63.00000       93269.00       305.3997    
   64.00000       94580.00       307.5386    
   65.00000       96508.00       310.6574    
   66.00000       95317.00       308.7345    
   67.00000       92518.00       304.1677    
   68.00000       90400.00       300.6659    
   69.00000       98395.00       313.6798    
   70.00000       89304.00       298.8377    
   71.00000       86443.00       294.0119    
   72.00000       86772.00       294.5709    
   73.00000       83268.00       288.5620    
   74.00000       87256.00       295.3913    
   75.00000       81258.00       285.0579    
   76.00000       82374.00       287.0087    
