sample v-GeO2 1325K x4                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2648.000       51.45872    
   1.000000       312.0000       17.66352    
   2.000000       385.0000       19.62142    
   3.000000       481.0000       21.93171    
   4.000000       667.0000       25.82634    
   5.000000       912.0000       30.19934    
   6.000000       1097.000       33.12099    
   7.000000       1297.000       36.01389    
   8.000000       1317.000       36.29049    
   9.000000       1491.000       38.61347    
   10.00000       1279.000       35.76311    
   11.00000       1294.000       35.97221    
   12.00000       1209.000       34.77068    
   13.00000       1030.000       32.09361    
   14.00000       987.0000       31.41656    
   15.00000       928.0000       30.46309    
   16.00000       1041.000       32.26453    
   17.00000       1039.000       32.23352    
   18.00000       1124.000       33.52611    
   19.00000       2785.000       52.77310    
   20.00000       1478.000       38.44477    
   21.00000       1580.000       39.74921    
   22.00000       1676.000       40.93898    
   23.00000       2014.000       44.87761    
   24.00000       6054.000       77.80746    
   25.00000       10893.00       104.3695    
   26.00000       12083.00       109.9227    
   27.00000       13038.00       114.1841    
   28.00000       13542.00       116.3701    
   29.00000       13428.00       115.8792    
   30.00000       11215.00       105.9009    
   31.00000       11686.00       108.1018    
   32.00000       12993.00       113.9868    
   33.00000       14171.00       119.0420    
   34.00000       13722.00       117.1409    
   35.00000       13540.00       116.3615    
   36.00000       14645.00       121.0165    
   37.00000       14489.00       120.3703    
   38.00000       13685.00       116.9829    
   39.00000       12600.00       112.2497    
   40.00000       15173.00       123.1787    
   41.00000       14437.00       120.1541    
   42.00000       14554.00       120.6400    
   43.00000       15365.00       123.9556    
   44.00000       15463.00       124.3503    
   45.00000       15890.00       126.0555    
   46.00000       15266.00       123.5557    
   47.00000       15324.00       123.7901    
   48.00000       14986.00       122.4173    
   49.00000       16168.00       127.1535    
   50.00000       14175.00       119.0588    
   51.00000       15194.00       123.2639    
   52.00000       16958.00       130.2229    
   53.00000       16451.00       128.2615    
   54.00000       16655.00       129.0542    
   55.00000       16923.00       130.0884    
   56.00000       17086.00       130.7134    
   57.00000       17082.00       130.6981    
   58.00000       16767.00       129.4875    
   59.00000       14341.00       119.7539    
   60.00000       18224.00       134.9963    
   61.00000       19244.00       138.7227    
   62.00000       20014.00       141.4708    
   63.00000       19542.00       139.7927    
   64.00000       19734.00       140.4778    
   65.00000       20452.00       143.0105    
   66.00000       19585.00       139.9464    
   67.00000       19778.00       140.6343    
   68.00000       19066.00       138.0797    
   69.00000       21174.00       145.5129    
   70.00000       18784.00       137.0547    
   71.00000       18631.00       136.4954    
   72.00000       18860.00       137.3317    
   73.00000       19103.00       138.2136    
   74.00000       19853.00       140.9007    
   75.00000       18689.00       136.7077    
   76.00000       18914.00       137.5282    
