sample v-GeO2 600K                                           18-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12341.00       111.0901    
   1.000000       1425.000       37.74917    
   2.000000       1588.000       39.84972    
   3.000000       2017.000       44.91102    
   4.000000       2897.000       53.82379    
   5.000000       4004.000       63.27717    
   6.000000       4525.000       67.26812    
   7.000000       5406.000       73.52551    
   8.000000       5720.000       75.63068    
   9.000000       6034.000       77.67883    
   10.00000       5655.000       75.19974    
   11.00000       5383.000       73.36893    
   12.00000       4988.000       70.62577    
   13.00000       4340.000       65.87868    
   14.00000       4108.000       64.09368    
   15.00000       3876.000       62.25753    
   16.00000       4273.000       65.36819    
   17.00000       4423.000       66.50564    
   18.00000       5127.000       71.60307    
   19.00000       12432.00       111.4989    
   20.00000       6113.000       78.18568    
   21.00000       6517.000       80.72794    
   22.00000       6980.000       83.54639    
   23.00000       8183.000       90.45994    
   24.00000       24341.00       156.0160    
   25.00000       44955.00       212.0259    
   26.00000       50449.00       224.6086    
   27.00000       53307.00       230.8831    
   28.00000       54774.00       234.0385    
   29.00000       53801.00       231.9504    
   30.00000       47476.00       217.8899    
   31.00000       47738.00       218.4903    
   32.00000       53257.00       230.7748    
   33.00000       56663.00       238.0399    
   34.00000       55823.00       236.2689    
   35.00000       54939.00       234.3907    
   36.00000       59975.00       244.8979    
   37.00000       59264.00       243.4420    
   38.00000       56832.00       238.3946    
   39.00000       54133.00       232.6650    
   40.00000       62369.00       249.7379    
   41.00000       59446.00       243.8155    
   42.00000       60609.00       246.1889    
   43.00000       61749.00       248.4935    
   44.00000       63570.00       252.1309    
   45.00000       64014.00       253.0099    
   46.00000       63068.00       251.1334    
   47.00000       62495.00       249.9900    
   48.00000       62708.00       250.4156    
   49.00000       66486.00       257.8488    
   50.00000       60543.00       246.0549    
   51.00000       64236.00       253.4482    
   52.00000       71823.00       267.9981    
   53.00000       70352.00       265.2395    
   54.00000       72902.00       270.0037    
   55.00000       73759.00       271.5861    
   56.00000       75156.00       274.1459    
   57.00000       77111.00       277.6887    
   58.00000       77629.00       278.6198    
   59.00000       69875.00       264.3388    
   60.00000       84030.00       289.8793    
   61.00000       85819.00       292.9488    
   62.00000       93514.00       305.8006    
   63.00000       93856.00       306.3593    
   64.00000       94948.00       308.1363    
   65.00000       96624.00       310.8440    
   66.00000       95634.00       309.2475    
   67.00000       92445.00       304.0477    
   68.00000       90480.00       300.7990    
   69.00000       98258.00       313.4613    
   70.00000       89007.00       298.3404    
   71.00000       86434.00       293.9966    
   72.00000       86930.00       294.8389    
   73.00000       84753.00       291.1237    
   74.00000       87172.00       295.2491    
   75.00000       82422.00       287.0923    
   76.00000       82422.00       287.0923    
