sample v-GeO2 600K                                           18-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12107.00       110.0318    
   1.000000       1375.000       37.08099    
   2.000000       1684.000       41.03657    
   3.000000       1939.000       44.03408    
   4.000000       2830.000       53.19774    
   5.000000       3832.000       61.90315    
   6.000000       4601.000       67.83067    
   7.000000       5443.000       73.77669    
   8.000000       5793.000       76.11176    
   9.000000       5839.000       76.41335    
   10.00000       5682.000       75.37904    
   11.00000       5321.000       72.94518    
   12.00000       4975.000       70.53368    
   13.00000       4369.000       66.09841    
   14.00000       4205.000       64.84597    
   15.00000       3822.000       61.82233    
   16.00000       4330.000       65.80273    
   17.00000       4342.000       65.89385    
   18.00000       5080.000       71.27412    
   19.00000       12211.00       110.5034    
   20.00000       6054.000       77.80746    
   21.00000       6658.000       81.59657    
   22.00000       7017.000       83.76753    
   23.00000       8024.000       89.57678    
   24.00000       24429.00       156.2978    
   25.00000       45274.00       212.7769    
   26.00000       50388.00       224.4727    
   27.00000       52821.00       229.8282    
   28.00000       54648.00       233.7691    
   29.00000       53607.00       231.5319    
   30.00000       47524.00       218.0000    
   31.00000       47528.00       218.0092    
   32.00000       53531.00       231.3677    
   33.00000       57322.00       239.4201    
   34.00000       55803.00       236.2266    
   35.00000       54298.00       233.0193    
   36.00000       60294.00       245.5484    
   37.00000       59369.00       243.6575    
   38.00000       56985.00       238.7153    
   39.00000       54062.00       232.5124    
   40.00000       61854.00       248.7047    
   41.00000       59577.00       244.0840    
   42.00000       60380.00       245.7234    
   43.00000       61778.00       248.5518    
   44.00000       63126.00       251.2489    
   45.00000       64113.00       253.2054    
   46.00000       63491.00       251.9742    
   47.00000       62985.00       250.9681    
   48.00000       62312.00       249.6237    
   49.00000       66458.00       257.7945    
   50.00000       60918.00       246.8157    
   51.00000       64355.00       253.6829    
   52.00000       72261.00       268.8141    
   53.00000       69949.00       264.4787    
   54.00000       72339.00       268.9591    
   55.00000       73787.00       271.6376    
   56.00000       75094.00       274.0328    
   57.00000       77152.00       277.7625    
   58.00000       77226.00       277.8957    
   59.00000       69626.00       263.8674    
   60.00000       84905.00       291.3846    
   61.00000       86541.00       294.1785    
   62.00000       93526.00       305.8202    
   63.00000       92911.00       304.8130    
   64.00000       94801.00       307.8977    
   65.00000       95942.00       309.7451    
   66.00000       95623.00       309.2297    
   67.00000       92215.00       303.6692    
   68.00000       90857.00       301.4250    
   69.00000       98155.00       313.2970    
   70.00000       88713.00       297.8473    
   71.00000       85621.00       292.6107    
   72.00000       86884.00       294.7609    
   73.00000       84182.00       290.1414    
   74.00000       86937.00       294.8508    
   75.00000       82271.00       286.8292    
   76.00000       82401.00       287.0558    
