sample v-GeO2 1100K                                          23-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12024.00       109.6540    
   1.000000       1408.000       37.52333    
   2.000000       1634.000       40.42277    
   3.000000       2124.000       46.08688    
   4.000000       2872.000       53.59105    
   5.000000       3956.000       62.89674    
   6.000000       4478.000       66.91786    
   7.000000       5480.000       74.02702    
   8.000000       5747.000       75.80897    
   9.000000       6045.000       77.74960    
   10.00000       5582.000       74.71278    
   11.00000       5418.000       73.60706    
   12.00000       5032.000       70.93659    
   13.00000       4567.000       67.57958    
   14.00000       4074.000       63.82789    
   15.00000       3991.000       63.17436    
   16.00000       4341.000       65.88627    
   17.00000       4473.000       66.88049    
   18.00000       4916.000       70.11419    
   19.00000       12522.00       111.9017    
   20.00000       6075.000       77.94228    
   21.00000       6529.000       80.80223    
   22.00000       6929.000       83.24062    
   23.00000       8126.000       90.14433    
   24.00000       25425.00       159.4522    
   25.00000       45385.00       213.0376    
   26.00000       49567.00       222.6365    
   27.00000       53598.00       231.5124    
   28.00000       55020.00       234.5634    
   29.00000       53738.00       231.8146    
   30.00000       46286.00       215.1418    
   31.00000       47596.00       218.1651    
   32.00000       52490.00       229.1070    
   33.00000       56522.00       237.7436    
   34.00000       54921.00       234.3523    
   35.00000       54726.00       233.9359    
   36.00000       59466.00       243.8565    
   37.00000       59058.00       243.0185    
   38.00000       55743.00       236.0995    
   39.00000       52910.00       230.0217    
   40.00000       61115.00       247.2145    
   41.00000       59085.00       243.0741    
   42.00000       59125.00       243.1563    
   43.00000       61552.00       248.0968    
   44.00000       62242.00       249.4835    
   45.00000       63514.00       252.0198    
   46.00000       61264.00       247.5157    
   47.00000       61862.00       248.7207    
   48.00000       61436.00       247.8629    
   49.00000       65780.00       256.4761    
   50.00000       57845.00       240.5099    
   51.00000       63270.00       251.5353    
   52.00000       69482.00       263.5944    
   53.00000       67725.00       260.2403    
   54.00000       68302.00       261.3465    
   55.00000       71407.00       267.2209    
   56.00000       71879.00       268.1026    
   57.00000       72929.00       270.0537    
   58.00000       71308.00       267.0356    
   59.00000       63809.00       252.6044    
   60.00000       81220.00       284.9912    
   61.00000       89530.00       299.2156    
   62.00000       93051.00       305.0426    
   63.00000       87307.00       295.4776    
   64.00000       85710.00       292.7627    
   65.00000       86585.00       294.2533    
   66.00000       85014.00       291.5716    
   67.00000       83873.00       289.6084    
   68.00000       81757.00       285.9318    
   69.00000       90062.00       300.1033    
   70.00000       80155.00       283.1166    
   71.00000       80995.00       284.5962    
   72.00000       87876.00       296.4389    
   73.00000       107277.0       327.5317    
   74.00000       129068.0       359.2603    
   75.00000       105523.0       324.8430    
   76.00000       84395.00       290.5082    
