sample v-GeO2 1400K                                          24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10468.00       102.3132    
   1.000000       1414.000       37.60319    
   2.000000       1628.000       40.34848    
   3.000000       1836.000       42.84857    
   4.000000       2806.000       52.97169    
   5.000000       3746.000       61.20457    
   6.000000       4253.000       65.21503    
   7.000000       5062.000       71.14774    
   8.000000       5462.000       73.90534    
   9.000000       5680.000       75.36578    
   10.00000       5029.000       70.91544    
   11.00000       4924.000       70.17122    
   12.00000       4648.000       68.17624    
   13.00000       4108.000       64.09368    
   14.00000       3838.000       61.95160    
   15.00000       3771.000       61.40847    
   16.00000       3940.000       62.76942    
   17.00000       4284.000       65.45227    
   18.00000       4779.000       69.13031    
   19.00000       10708.00       103.4795    
   20.00000       5730.000       75.69676    
   21.00000       6351.000       79.69316    
   22.00000       6813.000       82.54090    
   23.00000       8024.000       89.57678    
   24.00000       24914.00       157.8417    
   25.00000       43754.00       209.1746    
   26.00000       48133.00       219.3923    
   27.00000       52110.00       228.2762    
   28.00000       53503.00       231.3072    
   29.00000       52670.00       229.4995    
   30.00000       45008.00       212.1509    
   31.00000       47006.00       216.8087    
   32.00000       51898.00       227.8113    
   33.00000       55773.00       236.1631    
   34.00000       53797.00       231.9418    
   35.00000       53597.00       231.5103    
   36.00000       57908.00       240.6408    
   37.00000       58574.00       242.0207    
   38.00000       54486.00       233.4224    
   39.00000       50638.00       225.0289    
   40.00000       60359.00       245.6807    
   41.00000       58163.00       241.1701    
   42.00000       58995.00       242.8889    
   43.00000       61099.00       247.1821    
   44.00000       62044.00       249.0863    
   45.00000       62818.00       250.6352    
   46.00000       60385.00       245.7336    
   47.00000       61098.00       247.1801    
   48.00000       60401.00       245.7661    
   49.00000       64869.00       254.6939    
   50.00000       56280.00       237.2341    
   51.00000       61409.00       247.8084    
   52.00000       67702.00       260.1961    
   53.00000       66164.00       257.2236    
   54.00000       66855.00       258.5633    
   55.00000       69329.00       263.3040    
   56.00000       68744.00       262.1908    
   57.00000       69199.00       263.0570    
   58.00000       66776.00       258.4105    
   59.00000       57005.00       238.7572    
   60.00000       73457.00       271.0295    
   61.00000       74517.00       272.9780    
   62.00000       79361.00       281.7108    
   63.00000       79898.00       282.6624    
   64.00000       79874.00       282.6199    
   65.00000       80999.00       284.6032    
   66.00000       79162.00       281.3574    
   67.00000       79372.00       281.7304    
   68.00000       76573.00       276.7183    
   69.00000       84483.00       290.6596    
   70.00000       74336.00       272.6463    
   71.00000       74961.00       273.7901    
   72.00000       75252.00       274.3210    
   73.00000       73838.00       271.7315    
   74.00000       76775.00       277.0830    
   75.00000       74316.00       272.6096    
   76.00000       73615.00       271.3208    
