Empty fournace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1227.000       35.02856    
   1.000000       483.0000       21.97726    
   2.000000       546.0000       23.36664    
   3.000000       656.0000       25.61250    
   4.000000       1242.000       35.24202    
   5.000000       1903.000       43.62339    
   6.000000       2095.000       45.77117    
   7.000000       2077.000       45.57412    
   8.000000       1764.000       42.00000    
   9.000000       1383.000       37.18871    
   10.00000       1270.000       35.63706    
   11.00000       1271.000       35.65109    
   12.00000       1262.000       35.52464    
   13.00000       1313.000       36.23534    
   14.00000       1336.000       36.55133    
   15.00000       1328.000       36.44173    
   16.00000       1507.000       38.82010    
   17.00000       1541.000       39.25557    
   18.00000       2007.000       44.79955    
   19.00000       2671.000       51.68172    
   20.00000       2425.000       49.24429    
   21.00000       2629.000       51.27377    
   22.00000       2427.000       49.26459    
   23.00000       3006.000       54.82700    
   24.00000       5304.000       72.82857    
   25.00000       7000.000       83.66600    
   26.00000       6999.000       83.66003    
   27.00000       7094.000       84.22588    
   28.00000       6851.000       82.77077    
   29.00000       7063.000       84.04166    
   30.00000       6221.000       78.87331    
   31.00000       6238.000       78.98101    
   32.00000       6398.000       79.98750    
   33.00000       7108.000       84.30895    
   34.00000       6776.000       82.31646    
   35.00000       6641.000       81.49233    
   36.00000       7130.000       84.43933    
   37.00000       7037.000       83.88683    
   38.00000       6628.000       81.41253    
   39.00000       5963.000       77.22047    
   40.00000       6933.000       83.26464    
   41.00000       6724.000       82.00000    
   42.00000       6763.000       82.23746    
   43.00000       6816.000       82.55907    
   44.00000       7014.000       83.74963    
   45.00000       6981.000       83.55238    
   46.00000       6580.000       81.11720    
   47.00000       6461.000       80.38035    
   48.00000       6439.000       80.24338    
   49.00000       7007.000       83.70782    
   50.00000       6065.000       77.87811    
   51.00000       6346.000       79.66178    
   52.00000       6950.000       83.36666    
   53.00000       6622.000       81.37567    
   54.00000       6783.000       82.35897    
   55.00000       6816.000       82.55907    
   56.00000       6668.000       81.65782    
   57.00000       6758.000       82.20705    
   58.00000       6425.000       80.15610    
   59.00000       5491.000       74.10128    
   60.00000       6693.000       81.81076    
   61.00000       6752.000       82.17056    
   62.00000       7174.000       84.69947    
   63.00000       7259.000       85.19977    
   64.00000       7113.000       84.33860    
   65.00000       7297.000       85.42248    
   66.00000       7185.000       84.76438    
   67.00000       7044.000       83.92854    
   68.00000       6939.000       83.30066    
   69.00000       7713.000       87.82368    
   70.00000       6902.000       83.07828    
   71.00000       6958.000       83.41463    
   72.00000       6906.000       83.10235    
   73.00000       6822.000       82.59540    
   74.00000       7251.000       85.15280    
   75.00000       6922.000       83.19855    
   76.00000       7126.000       84.41564    
