sample v-GeO2 1400K                                          25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   184.0000       8599.000       92.73080    
   185.0000       8500.000       92.19544    
   186.0000       8137.000       90.20532    
   187.0000       8142.000       90.23303    
   188.0000       7932.000       89.06178    
   189.0000       8297.000       91.08787    
   190.0000       7591.000       87.12634    
   191.0000       7391.000       85.97092    
   192.0000       7759.000       88.08519    
   193.0000       7534.000       86.79861    
   194.0000       7481.000       86.49277    
   195.0000       7529.000       86.76981    
   196.0000       7333.000       85.63293    
   197.0000       7288.000       85.36978    
   198.0000       7284.000       85.34635    
   199.0000       7511.000       86.66602    
   200.0000       6808.000       82.51060    
   201.0000       6778.000       82.32861    
   202.0000       7072.000       84.09518    
   203.0000       7198.000       84.84103    
   204.0000       6963.000       83.44460    
   205.0000       7019.000       83.77947    
   206.0000       6848.000       82.75264    
   207.0000       7300.000       85.44004    
   208.0000       6903.000       83.08430    
   209.0000       7398.000       86.01163    
   210.0000       6677.000       81.71291    
   211.0000       6937.000       83.28866    
   212.0000       7327.000       85.59790    
   213.0000       7151.000       84.56358    
   214.0000       7012.000       83.73769    
   215.0000       6798.000       82.44998    
   216.0000       7063.000       84.04166    
   217.0000       7074.000       84.10707    
   218.0000       6552.000       80.94443    
   219.0000       6407.000       80.04374    
   220.0000       7489.000       86.53901    
   221.0000       6899.000       83.06022    
   222.0000       7038.000       83.89279    
   223.0000       7075.000       84.11302    
   224.0000       6944.000       83.33067    
   225.0000       6956.000       83.40264    
   226.0000       7036.000       83.88087    
   227.0000       7256.000       85.18216    
   228.0000       7107.000       84.30302    
   229.0000       7444.000       86.27862    
   230.0000       6550.000       80.93207    
   231.0000       6817.000       82.56512    
   232.0000       7058.000       84.01190    
   233.0000       6846.000       82.74055    
   234.0000       7084.000       84.16650    
   235.0000       7068.000       84.07140    
   236.0000       7307.000       85.48100    
   237.0000       6952.000       83.37865    
   238.0000       7036.000       83.88087    
   239.0000       6467.000       80.41766    
   240.0000       7585.000       87.09190    
   241.0000       7171.000       84.68176    
   242.0000       7563.000       86.96551    
   243.0000       7283.000       85.34049    
   244.0000       7245.000       85.11757    
   245.0000       7556.000       86.92525    
   246.0000       7376.000       85.88364    
   247.0000       7427.000       86.18005    
   248.0000       7194.000       84.81745    
   249.0000       7789.000       88.25531    
   250.0000       7098.000       84.24963    
   251.0000       7244.000       85.11169    
   252.0000       7588.000       87.10912    
   253.0000       7306.000       85.47514    
   254.0000       7328.000       85.60374    
   255.0000       7295.000       85.41077    
   256.0000       7582.000       87.07468    
   257.0000       7469.000       86.42338    
   258.0000       6846.000       82.74055    
   259.0000       6297.000       79.35364    
   260.0000       7562.000       86.95976    
   261.0000       7707.000       87.78952    
   262.0000       7591.000       87.12634    
   263.0000       7569.000       87.00000    
   264.0000       7533.000       86.79285    
   265.0000       7610.000       87.23531    
   266.0000       7767.000       88.13058    
   267.0000       7996.000       89.42036    
