Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
193314.365      226489      266979
193326.365      485545      579189
193338.365      742062      891970
193350.365      998436     1204417
193402.365     1252454     1516612
193414.365     1507871     1828767
193426.365     1762378     2141032
193438.368     2011240     2445605
193450.365     2256742     2745574
193502.366     2489730     3029938
193514.365     2737088     3332710
193526.366     2982344     3633056
193538.365     3232497     3939495
193550.365     3481794     4245915
193602.365     3725029     4545956
193614.365     3967713     4845170
193626.365     4212700     5147458
193638.365     4459493     5451725
193650.365     4707669     5755538
193702.365     4953312     6057200
193714.365     5201600     6363134
193726.365     5443386     6660138
193738.365     5688206     6960213
193750.365     5936185     7265050
193802.365     6188759     7573988
