Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
144950.153     1644515     1826401
145002.154     3341877     3709891
145014.154     5059637     5612961
145026.152     6843364     7586698
145038.152     8658577     9597995
145050.153    10477657    11616444
145102.152    12133627    13452614
145114.152    13650477    15135051
145126.152    15251671    16907092
145138.152    17039464    18893300
145150.154    18819875    20867275
145202.152    20636041    22880482
145214.152    22304166    24729475
145226.154    23991751    26601501
145238.152    25636517    28427818
145250.152    27294674    30265620
145302.152    29144165    32315134
145314.152    30835686    34190845
145326.152    32576436    36121872
145338.153    34484948    38238141
145350.152    36464595    40432120
145402.154    38283465    42450995
145414.152    40254802    44635507
145426.152    41974433    46540976
145438.152    43773932    48534610
145450.152    45550336    50502757
145502.152    47209043    52345816
145514.152    48847161    54164300
145526.154    50551551    56053550
145538.154    52396516    58097648
145550.152    54077071    59961916
145602.152    55930696    62019758
145614.152    57652436    63931711
145626.152    59422907    65895404
145638.152    61183200    67850771
145650.152    62808761    69653232
145702.152    64544768    71581019
145714.152    66307052    73530796
145726.152    68042186    75453868
145738.152    69773157    77373046
145750.152    71444444    79227819
145802.154    73379892    81370337
145814.152    75176040    83360026
145826.155    76606762    84947818
145838.154    78236124    86757390
145850.152    79895905    88597583
145902.152    81561418    90444886
145914.152    83424029    92507866
145926.152    85345632    94636953
145938.152    87231688    96728055
145950.152    89098416    98799042
150002.152    90886855   100783991
150014.152    92546685   102623118
150026.152    94309510   104580003
150038.152    95981713   106433592
150050.152    97795129   108444608
150102.152    99666048   110518595
150114.152   101630834   112695590
150126.152   103718055   115005958
150138.152   105621720   117115618
150150.154   106388735   117967833
150202.153   106881323   118514735
150214.152   107545718   119253155
150226.158   108047767   119809575
150238.156   108605882   120429034
150250.165   109110760   120989160
150302.153   109729765   121678158
150314.153   110343141   122359208
150326.160   110894344   122969088
150338.154   111516242   123656806
150350.152   112500010   124747924
150402.154   113019136   125323201
150414.157   113692547   126068833
150426.153   114382948   126834756
150438.156   115159999   127696776
150450.153   115913574   128532572
150502.152   116636675   129336308
150514.164   117249837   130015208
150526.158   117901070   130737204
150538.160   118522162   131425773
150550.163   119325973   132316729
150602.161   119766282   132804946
150614.152   120331406   133434925
150626.168   120899526   134065057
150638.154   121579785   134820443
150650.167   122427939   135760188
150702.154   123091323   136496702
150714.154   123842161   137331083
150726.153   124719596   138305307
150738.153   125647511   139334000
150750.153   126321775   140081923
150802.153   127054907   140892100
150814.153   127577439   141474239
150826.152   128344725   142325641
150838.155   129179044   143251393
150850.166   129791737   143932216
150902.152   130462023   144676514
150914.161   131198318   145491792
150926.152   131933468   146309787
150938.152   132617069   147065993
150950.159   133401646   147935596
151002.152   133951973   148545500
151014.154   134658912   149329302
151026.160   135404828   150155927
151038.159   136171975   151004757
151050.153   137102850   152036301
151102.163   137748034   152753109
151114.153   138388309   153464763
151126.169   138991580   154132804
151138.164   139535781   154737731
151150.154   140054185   155310649
