Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
152959.340       13278      380073  0.109E-01
153011.339       25164      729997  0.961E-02
153023.339       37370     1078452  0.940E-02
153035.339       49124     1429423  0.853E-02
153047.339       59924     1781595  0.813E-02
153059.339       67855     2148148  0.779E-02
153111.339       79529     2506883  0.814E-02
153123.339       91396     2875466  0.831E-02
153135.339      104160     3241998  0.811E-02
153147.339      114358     3605297  0.848E-02
153159.339      124187     3967591  0.820E-02
153211.339      132274     4332403  0.801E-02
153223.339      142836     4706221  0.851E-02
153235.339      153184     5070825  0.889E-02
153247.339      162571     5429329  0.924E-02
153259.339      172957     5799593  0.886E-02
153311.339      178306     6176011  0.871E-02
153323.339      188313     6532048  0.948E-02
153335.338      196988     6893802  0.102E-01
153347.339      210161     7353564  0.965E-02
153359.339      219646     7816538  0.995E-02
153411.340      225879     8166901  0.110E-01
153423.339      237005     8533134  0.107E-01
153435.339      249026     8901657  0.109E-01
153447.339      255895     9265633  0.107E-01
153459.345      258617     9619205  0.107E-01
153511.339      264831     9989044  0.109E-01
153523.339      277906    10359726  0.116E-01
153535.339      291700    10710057  0.115E-01
153547.339      300432    11068961  0.114E-01
153559.339      305001    11409160  0.113E-01
153611.339      319893    11765562  0.115E-01
153623.339      327969    12126490  0.115E-01
153635.339      333096    12498741  0.112E-01
153647.339      337626    12868113  0.113E-01
153659.339      352005    13238603  0.118E-01
153711.339      362566    13597290  0.130E-01
153723.339      370473    13954052  0.119E-01
153735.339      385796    14298103  0.122E-01
153747.339      391495    14666233  0.119E-01
153759.339      405459    15027747  0.119E-01
153811.339      417654    15394063  0.124E-01
153823.339      431397    15751506  0.126E-01
153835.339      444212    16122022  0.125E-01
153847.339      447984    16483664  0.122E-01
153859.340      457006    16836000  0.542E-02
153911.339      471392    17168654  0.124E-01
153923.339      480726    17536462  0.125E-01
153935.339      491888    17904986  0.123E-01
153947.339      504692    18271353  0.123E-01
