 Results from RMCA version 3.14                
 TITLE
 SiO2 network (Fit to neutron G(r))                                             
  
           1  experiments;           3  partials
 Partial g(r)'s
  r, g(r)
 PLOTS
         405 ,           3
   0.2855993E-01   0.000000       0.000000       0.000000    
   0.5711986E-01   0.000000       0.000000       0.000000    
   0.8567979E-01   0.000000       0.000000       0.000000    
   0.1142397       0.000000       0.000000       0.000000    
   0.1427996       0.000000       0.000000       0.000000    
   0.1713596       0.000000       0.000000       0.000000    
   0.1999195       0.000000       0.000000       0.000000    
   0.2284794       0.000000       0.000000       0.000000    
   0.2570394       0.000000       0.000000       0.000000    
   0.2855993       0.000000       0.000000       0.000000    
   0.3141592       0.000000       0.000000       0.000000    
   0.3427192       0.000000       0.000000       0.000000    
   0.3712791       0.000000       0.000000       0.000000    
   0.3998390       0.000000       0.000000       0.000000    
   0.4283990       0.000000       0.000000       0.000000    
   0.4569589       0.000000       0.000000       0.000000    
   0.4855188       0.000000       0.000000       0.000000    
   0.5140787       0.000000       0.000000       0.000000    
   0.5426387       0.000000       0.000000       0.000000    
   0.5711986       0.000000       0.000000       0.000000    
   0.5997586       0.000000       0.000000       0.000000    
   0.6283185       0.000000       0.000000       0.000000    
   0.6568784       0.000000       0.000000       0.000000    
   0.6854383       0.000000       0.000000       0.000000    
   0.7139983       0.000000       0.000000       0.000000    
   0.7425582       0.000000       0.000000       0.000000    
   0.7711181       0.000000       0.000000       0.000000    
   0.7996781       0.000000       0.000000       0.000000    
   0.8282380       0.000000       0.000000       0.000000    
   0.8567979       0.000000       0.000000       0.000000    
   0.8853579       0.000000       0.000000       0.000000    
   0.9139178       0.000000       0.000000       0.000000    
   0.9424777       0.000000       0.000000       0.000000    
   0.9710376       0.000000       0.000000       0.000000    
   0.9995975       0.000000       0.000000       0.000000    
    1.028157       0.000000       0.000000       0.000000    
    1.056717       0.000000       0.000000       0.000000    
    1.085277       0.000000       0.000000       0.000000    
    1.113837       0.000000       0.000000       0.000000    
    1.142397       0.000000       0.000000       0.000000    
    1.170957       0.000000       0.000000       0.000000    
    1.199517       0.000000       0.000000       0.000000    
    1.228077       0.000000       0.000000       0.000000    
    1.256637       0.000000       0.000000       0.000000    
    1.285197       0.000000       0.000000       0.000000    
    1.313757       0.000000       0.000000       0.000000    
    1.342317       0.000000       0.000000       0.000000    
    1.370877       0.000000       0.000000       0.000000    
    1.399437       0.000000      0.6858630      0.2668727    
    1.427997       0.000000      0.6587037      0.6407623    
    1.456556       0.000000      0.4220842      0.8622342    
    1.485116       0.000000       1.725529      0.3554533    
    1.513676       0.000000       4.006015      0.3421670    
    1.542236       0.000000       10.91821      0.8789648    
    1.570796       0.000000       21.59399       1.800500    
    1.599356       0.000000       19.86697       2.758402    
    1.627916       0.000000       9.630244       4.634666    
    1.656476       0.000000       1.223821       1.142868    
    1.685036       0.000000      0.9461504       1.748721    
    1.713596       0.000000      0.4574378       1.067948    
    1.742156       0.000000      0.9588866      0.5166106    
    1.770716       0.000000       1.713609      0.4167338    
    1.799276       0.000000       2.489463      0.8072188E-01
    1.827836       0.000000      0.4690537      0.6257526    
    1.856395       0.000000      0.5196944      0.4549854    
    1.884955       0.000000      0.1890246      0.6619540    
    1.913515       0.000000      0.6114144E-01  0.7850846    
    1.942075       0.000000      0.4748513      0.4157259    
    1.970635       0.000000      0.3458906      0.5383512    
    1.999195       0.000000       0.000000      0.6538498    
    2.027755       0.000000      0.2722322      0.5720053    
    2.056315       0.000000      0.5294456E-01  0.7416359    
    2.084875       0.000000      0.1545119      0.6012138    
    2.113435       0.000000      0.1002428      0.7605972    
    2.141995       0.000000      0.9758754E-01  0.6265348    
    2.170555       0.000000       0.000000      0.7210931    
    2.199115       0.000000      0.2777519      0.5403733    
    2.227674       0.000000      0.2255632      0.8952312    
    2.256234       0.000000      0.4397779      0.6673672    
    2.284794       0.000000      0.3001966      0.8009692    
    2.313354       0.000000      0.8366576E-01  0.8789788    
    2.341914       0.000000       0.000000       1.238858    
    2.370474       0.000000       0.000000       1.116172    
    2.399034       0.000000       0.000000      0.8173165    
    2.427594       0.000000      0.1519534       1.685086    
    2.456154       0.000000      0.1855502       2.945700    
    2.484714       0.000000      0.2175712       1.862477    
    2.513274       0.000000      0.4607514       2.234113    
    2.541834       0.000000       1.074164       4.611070    
    2.570394       0.000000       1.185965       6.091338    
    2.598954       0.000000       1.557773       4.526684    
    2.627514       0.000000       1.491665       3.520339    
    2.656074       0.000000       1.935767       3.407997    
    2.684633       0.000000       1.956925       2.646943    
    2.713193       0.000000      0.4561770      0.5680025    
    2.741753       0.000000      0.5062859      0.2433510    
    2.770313       0.000000      0.6417542      0.6810267    
    2.798873       0.000000      0.5715674       1.100879    
    2.827433       0.000000      0.8121145       1.046062    
    2.855993       0.000000      0.4940401      0.9291286    
    2.884553       0.000000      0.5112115      0.4397068    
    2.913113       5.875905      0.2110472      0.3387430    
    2.941673       3.191463      0.1810979      0.5435958    
    2.970233       2.782564      0.3298881      0.7701668    
    2.998793       1.791441      0.4978992      0.7555669    
    3.027353       2.343734      0.3419845      0.7128637    
    3.055912       3.696639      0.5753523       1.371219    
    3.084472       4.192933      0.9177139       1.291007    
    3.113032       4.512155      0.6468377      0.7820300    
    3.141592       2.565020      0.4990312      0.7943545    
    3.170152       3.206015      0.6460147       1.040142    
    3.198712       2.249300      0.6564107      0.6640731    
    3.227272      0.6629000      0.4513910      0.6523716    
    3.255832      0.6513212      0.6335809      0.5423650    
    3.284392       1.066739      0.7056248      0.5329736    
    3.312952      0.8387408      0.8362930      0.8809769    
    3.341512      0.8931701       1.203013       1.146841    
    3.370072       2.093921       1.025015       1.196515    
    3.398632       1.261892      0.9690961      0.7918684    
    3.427192       1.110322      0.9148914      0.8677229    
    3.455752      0.8993319       1.293508       1.159803    
    3.484312      0.8214600       1.198628      0.9901869    
    3.512872       1.181153      0.9615161      0.7412025    
    3.541431      0.5505059       1.160275      0.7918069    
    3.569991      0.7825034      0.8958621       1.045753    
    3.598551       1.066337       1.642380       1.271390    
    3.627111      0.5248051      0.9869875       1.092533    
    3.655671      0.9184659       1.155900      0.7626476    
    3.684231      0.5651758      0.9236337      0.8856410    
    3.712791      0.8904229       1.039404      0.6256141    
    3.741351       1.315321       1.343470      0.9894927    
    3.769911       1.511379       2.095053       1.526194    
    3.798471       1.222891       1.365434      0.9599575    
    3.827031      0.7856784      0.5961373      0.4817632    
    3.855591      0.9805037       1.054197      0.8438265    
    3.884151       1.372932       1.662002       1.091295    
    3.912710      0.8017558       1.725569       1.041282    
    3.941270      0.9877229       1.383581       1.009422    
    3.969830      0.9248841       1.122248       1.160775    
    3.998390      0.8637335       1.428353      0.9971337    
    4.026950      0.8988324       1.145859       1.111963    
    4.055510      0.9328605       1.361178       1.207582    
    4.084070       1.241810       1.463006       1.143748    
    4.112630       1.269979       1.350103      0.9425070    
    4.141190      0.8051930       1.240164      0.8990747    
    4.169750      0.5735894       1.339119       1.067167    
    4.198310      0.7399080       1.308260       1.171311    
    4.226870      0.8587567       1.040031       1.448077    
    4.255430      0.7625416       1.137384      0.8370190    
    4.283989       1.254014       1.195461       1.409719    
    4.312550      0.7424756      0.8907782      0.9133544    
    4.341109      0.6106154      0.5939838      0.5824277    
    4.369669      0.9642553      0.9262667       1.081245    
    4.398229       1.269031       1.330909       1.202343    
    4.426789       1.135268       1.565125       1.907008    
    4.455349      0.8115846      0.9812098       1.053224    
    4.483909      0.3434052      0.7349139      0.3769456    
    4.512469      0.5274455      0.4617713      0.5133644    
    4.541029       1.116068       1.150810       1.191279    
    4.569589       1.028684       1.479555       1.839744    
    4.598149       1.161080       1.365935       1.458513    
    4.626709      0.6092320      0.9098738       1.049901    
    4.655269      0.4601845       1.022709      0.8441175    
    4.683829      0.7693055      0.7653596      0.9768014    
    4.712389       1.140013      0.8065181      0.8355464    
    4.740949      0.6143562      0.7271076      0.8022562    
    4.769508       1.146595       1.053035       1.056903    
    4.798069       1.066339       1.254478       1.884385    
    4.826628       1.811145       1.489534       1.592924    
    4.855188      0.6508727      0.8547453       1.152964    
    4.883748       1.093580      0.9104825      0.8765526    
    4.912308       1.271648       1.252475       1.765269    
    4.940868       1.288415       1.439791       1.937611    
    4.969428      0.9319374      0.9337505       1.142893    
    4.997988      0.7370537      0.5825449      0.6590900    
    5.026548      0.7894271      0.8949282      0.7447104    
    5.055108       1.320901       1.261561       1.810119    
    5.083668       1.395153       1.212775       1.921294    
    5.112227      0.9099545      0.6338958      0.8099520    
    5.140788      0.3773657      0.4743897      0.5438737    
    5.169347      0.7751231      0.6032087      0.5867789    
    5.197907       1.192533       1.276057       1.683010    
    5.226467       1.488462       1.286737       2.066483    
    5.255027      0.9445118      0.9890459       1.088285    
    5.283587      0.9892890      0.8099723      0.6084856    
    5.312147      0.8699379      0.8092200      0.8612664    
    5.340707      0.9413453      0.9575664       1.090295    
    5.369267      0.8249168       1.032829       1.278156    
    5.397827       1.079504       1.068030       1.022496    
    5.426387      0.8597475      0.9959933      0.9762610    
    5.454947       1.031235       1.030733       1.053889    
    5.483507       1.097060      0.8115521       1.155925    
    5.512067      0.6059836      0.7589532      0.6537015    
    5.540627      0.9745977      0.7803199      0.6980570    
    5.569187      0.7172871      0.7506829      0.9605415    
    5.597746       1.199632       1.493229       1.259347    
    5.626307       1.187484       1.103277       1.378683    
    5.654866      0.9356178      0.8261217      0.7600341    
    5.683426      0.8787389      0.7623931      0.7200529    
    5.711986       1.034563       1.159629       1.121369    
    5.740546       1.070853       1.324753       1.252984    
    5.769106      0.9219801       1.015703       1.036458    
    5.797666      0.8216270       1.045683      0.9407492    
    5.826226      0.9717901       1.081623       1.131716    
    5.854786       1.320409      0.8882264       1.158821    
    5.883346       1.108153       1.002512       1.011698    
    5.911906       1.097473       1.101743       1.031856    
    5.940465       1.021729       1.122895       1.177473    
    5.969026       1.399539      0.9488049      0.9608583    
    5.997585      0.8530722       1.008252      0.9953197    
    6.026145       1.457634       1.048037      0.9643185    
    6.054705       1.046316      0.9648902       1.076430    
    6.083265       1.140165      0.7925098      0.7203136    
    6.111825      0.9857756      0.7431674      0.6926093    
    6.140385      0.9562806       1.181595       1.032738    
    6.168945       1.229665       1.447172       1.284147    
    6.197505       1.218358       1.218202       1.299555    
    6.226065       1.048884       1.160849       1.098893    
    6.254625      0.9412770       1.253281       1.102241    
    6.283185       1.107628       1.083130       1.052525    
    6.311745       1.020600       1.005915      0.8987041    
    6.340304      0.8015078      0.8520755      0.9166296    
    6.368865      0.8888994       1.059703      0.9599692    
    6.397425       1.124656       1.154195       1.353694    
    6.425984       1.356196       1.225282       1.170813    
    6.454545      0.8286290      0.8383017      0.7339216    
    6.483104      0.7300839      0.7829936      0.7523404    
    6.511664       1.121725       1.008454       1.109388    
    6.540224       1.255427       1.093876       1.283007    
    6.568784      0.9245112      0.9027889       1.065952    
    6.597344       1.075153       1.028724      0.9306546    
    6.625904      0.9960093       1.126961      0.9405067    
