Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
152338.076     1701433     2018664
152350.082     3145293     3740996
152402.078     4591412     5468138
152414.078     6041167     7192116
152426.078     7493038     8915482
152438.082     8923865    10618582
152450.082    10311473    12270952
152502.078    11689294    13913000
152514.078    13075508    15558787
152526.078    14492113    17241970
152538.078    15852978    18857956
152550.081    17145311    20397381
152602.097    17824062    21208501
152614.086    18393681    21884973
152626.084    18938753    22538631
152638.100    19445528    23141714
152650.084    20004104    23803703
152702.084    20559714    24462700
152714.099    21037476    25032203
152726.080    21609903    25710200
152738.080    22057229    26241632
152750.079    22566861    26847595
152802.079    23124408    27510210
152814.078    23530104    27992451
152826.078    23988822    28541315
152838.080    24587563    29256060
152850.084    25077793    29839412
152902.080    25663148    30536445
152914.092    26337525    31341565
152926.078    26832740    31928124
152938.081    27500613    32719176
152950.079    28109243    33443325
153002.078    28836695    34305662
153014.086    29606491    35219401
153026.080    30169340    35888236
153038.080    30710299    36533062
153050.084    31251872    37177304
153102.078    31837207    37878000
153114.084    32421047    38570008
153126.079    33087021    39367465
153138.078    33635671    40017874
153150.078    34133092    40606435
153202.078    34586183    41143224
153214.100    35139636    41801145
153226.079    35662320    42421403
153238.080    36225696    43090300
153250.084    36814908    43790211
153302.084    37196928    44244686
153314.088    37645137    44779913
153326.080    38051799    45266278
153338.106    38448834    45739517
153350.077    38720884    46065102
153402.090    39018135    46419601
153414.080    39415228    46890831
153426.086    39796128    47347432
153438.076    40179064    47806949
153450.084    40542998    48239801
153502.082    41158717    48970201
153514.084    41721970    49637063
153526.091    42268553    50286661
153538.084    42799115    50915989
153550.084    43311936    51526534
153602.080    43925397    52255169
153614.083    44507680    52946606
153626.084    45109967    53665197
153638.094    45649912    54307933
153650.080    46274028    55053059
153702.109    46788360    55664786
153714.084    47330927    56312716
153726.083    47913441    57003074
153738.088    48475675    57671604
153750.102    49025951    58325321
153802.078    49614253    59025696
153814.081    50351252    59899508
153826.078    50945774    60605389
153838.082    51530468    61301101
153850.089    52096633    61979498
153902.079    52656349    62645202
153914.088    53356446    63481596
153926.087    53894299    64121712
153938.102    54458355    64795422
153950.084    55042042    65487785
154002.078    55635119    66191500
154014.080    56124568    66772916
154026.084    56691958    67446780
154038.084    57341937    68217518
154050.078    57875215    68851468
154102.080    58484967    69576435
154114.102    59000718    70193805
154126.090    59402928    70673606
154138.084    60020672    71412882
154150.078    60574884    72070268
154202.097    61216830    72837839
154214.084    61735105    73454101
154226.080    62406062    74250702
154238.082    63127136    75107375
154250.104    63615757    75687826
154302.085    64221438    76406006
154314.078    64795134    77089585
154326.083    65523415    77955662
154338.084    65986415    78509341
154350.084    66575095    79210900
154402.084    67232853    79997991
154414.079    67797009    80669311
154426.081    68288031    81259094
154438.087    68740866    81798381
154450.078    69407313    82587391
154502.078    70081853    83387161
154514.079    70689185    84110127
154526.080    71359483    84903716
154538.081    71993529    85657722
154550.084    72470062    86225697
154602.083    73060353    86930685
154614.083    73513253    87470011
154626.086    74070210    88136908
154638.083    74580452    88743001
154650.078    75145829    89419334
154702.082    75720896    90105198
154714.083    76176610    90643301
154726.079    76611575    91159215
154738.084    77150091    91797638
154750.078    77668640    92415009
154802.079    78204496    93050801
154814.078    78779539    93732119
154826.084    79211714    94246601
154838.090    79758303    94896422
154850.084    80520551    95805785
154902.084    81184388    96598994
154914.086    81845208    97384701
154926.091    82424964    98079300
154938.079    82972649    98731401
154950.084    83519962    99380038
155002.085    84217545   100206536
155014.088    84720183   100804877
155026.078    85156283   101321376
155038.084    85715181   101985619
155050.078    86408037   102809289
155102.084    86988663   103501600
155114.078    87563857   104187643
155126.089    88084362   104812657
155138.084    88690132   105535764
155150.087    89267599   106226306
155202.080    89842843   106911442
155214.092    90470242   107655900
155226.078    90980563   108261306
155238.084    91552032   108941801
155250.092    92079168   109565024
155302.078    92698047   110301206
155314.087    93195464   110890918
155326.084    93786131   111593316
