   r (Ang),     Ge-Ge
   9.16313 ,         1.073628813680725 , 
   9.22858 ,         1.017665890501087 , 
   9.29403 ,         0.974561805221244 , 
   9.35948 ,         1.026410472891559 , 
   9.42493 ,         0.999820630423826 , 
   9.49039 ,         0.969364429583645 , 
   9.55584 ,         1.049334743025785 , 
   9.62129 ,         0.998831052326980 , 
   9.68674 ,         1.016846944607211 , 
   9.75219 ,         0.968544270499774 , 
   9.81764 ,         0.954472091583326 , 
   9.88309 ,         0.967952769112066 , 
   9.94854 ,         1.004981068787983 , 
  10.01399 ,         1.025950680412058 , 
  10.07944 ,         0.939155926333609 , 
  10.14489 ,         1.029460412610922 , 
  10.21035 ,         1.053513513568261 , 
  10.27580 ,         1.040135745101677 , 
  10.34125 ,         0.972872476973715 , 
  10.40670 ,         0.968157989715652 , 
  10.47215 ,         1.000968516181088 , 
  10.53760 ,         1.009428746485914 , 
  10.60305 ,         0.950141803213241 , 
  10.66850 ,         0.951745167240155 , 
  10.73395 ,         0.974343811479005 , 
  10.79940 ,         1.015686956634225 , 
  10.86486 ,         1.048609227618922 , 
  10.93031 ,         1.013312165164272 , 
  10.99576 ,         1.011340808655030 , 
  11.06121 ,         1.022594739347248 , 
  11.12666 ,         1.009664324104122 , 
  11.19211 ,         0.974317743780667 , 
  11.25756 ,         0.977183513355902 , 
  11.32301 ,         1.005657889967410 , 
  11.38846 ,         0.971811873225662 , 
  11.45391 ,         0.991187773981677 , 
  11.51936 ,         1.009625507814664 , 
  11.58482 ,         0.988758862182310 , 
  11.65027 ,         0.988344501818506 , 
  11.71572 ,         0.989564894495820 , 
  11.78117 ,         0.984857334490865 , 
  11.84662 ,         0.988443894066517 , 
  11.91207 ,         1.022493749373510 , 
  11.97752 ,         1.006910230674323 , 
  12.04297 ,         0.986015409041517 , 
  12.10842 ,         1.016453444732297 , 
  12.17387 ,         1.033680608208069 , 
  12.23932 ,         1.010287079649727 , 
  12.30478 ,         1.009510099352329 , 
  12.37023 ,         0.986370041890764 , 
  12.43568 ,         0.999226246512988 , 
  12.50113 ,         0.990642920094067 , 
  12.56658 ,         1.007480741032515 , 
  12.63203 ,         1.000695935728053 , 
  12.69748 ,         1.025957292093258 , 
  12.76293 ,         1.016527945381567 , 
  12.82838 ,         0.987535670331835 , 
  12.89383 ,         0.977535395006933 , 
  12.95928 ,         1.006297178544381 , 
  13.02474 ,         0.970612743567663 , 
  13.09019 ,         1.020735672924501 , 
  13.15564 ,         1.039039132747623 , 
  13.22109 ,         1.012878421430800 , 
  13.28654 ,         1.005875628334308 , 
  13.35199 ,         1.011626762853252 , 
  13.41744 ,         0.990203755920316 , 
  13.48289 ,         1.012780404915326 , 
  13.54834 ,         0.987248007074393 , 
  13.61379 ,         0.988086917499269 , 
  13.67925 ,         0.962565017479802 , 
  13.74470 ,         1.016551826669494 , 
  13.81015 ,         1.004510561619786 , 
  13.87560 ,         0.997762823793744 , 
  13.94105 ,         1.029227806165604 , 
  14.00650 ,         0.996907290299318 , 
  14.07195 ,         1.000812359613313 , 
  14.13740 ,         1.008947712788202 , 
  14.20285 ,         1.004549337986931 , 
  14.26830 ,         1.011848887918012 , 
  14.33375 ,         1.001220393268862 , 
  14.39921 ,         0.972871543902994 , 
  14.46466 ,         0.978199853548168 , 
  14.53011 ,         1.007799465953822 , 
