Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
021149.323       24213       80116  0.226E-01
021201.324       37539      166513  0.139E-01
021213.320       47611      254866  0.112E-01
021225.330       54952      322786  0.962E-02
021237.323       62428      391623  0.826E-02
021249.320       72414      482044  0.665E-02
021301.323       81121      558854  0.539E-02
021313.324       88696      627912  0.448E-02
021325.324       95871      691431  0.373E-02
021337.325      103672      760592  0.305E-02
021349.324      111470      830042  0.250E-02
021401.325      120721      917551  0.199E-02
021413.321      128460     1002169  0.169E-02
021425.320      135380     1090247  0.150E-02
021437.324      141418     1178621  0.138E-02
021449.325      147087     1266988  0.128E-02
021501.324      151503     1345714  0.124E-02
021513.328      155631     1418458  0.120E-02
021525.324      159541     1488495  0.116E-02
021537.320      164059     1574065  0.113E-02
021549.324      168644     1662065  0.110E-02
021601.321      173083     1748194  0.108E-02
021613.321      177605     1833014  0.106E-02
021625.324      182063     1919386  0.104E-02
021637.324      186270     2001273  0.102E-02
021649.342      188837     2054903  0.101E-02
021701.324      189805     2074683  0.101E-02
021713.336      192654     2093712  0.102E-02
021725.330      193618     2107773  0.101E-02
021737.339      194552     2123338  0.998E-03
021749.328      195268     2136593  0.991E-03
021801.353      196504     2159122  0.986E-03
021813.345      197427     2177913  0.981E-03
021825.330      197777     2184515  0.980E-03
021837.358      198240     2194576  0.979E-03
021849.328      199252     2214437  0.975E-03
021901.346      200350     2236357  0.968E-03
021913.350      201187     2253078  0.965E-03
021925.342      201986     2269365  0.963E-03
021937.326      203207     2293719  0.960E-03
021949.329      204729     2322372  0.954E-03
022001.326      206162     2349566  0.947E-03
022013.325      208188     2388437  0.944E-03
022025.326      210305     2430827  0.940E-03
022037.331      212249     2472003  0.935E-03
022049.332      213497     2497281  0.933E-03
022101.335      214583     2518455  0.931E-03
022113.328      216567     2560135  0.928E-03
022125.320      220852     2648586  0.914E-03
022137.319      225509     2744376  0.907E-03
