Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
002132.752      171299      200272
002144.752      354712      415335
002156.751      544863      638144
002208.753      704844      826276
002220.753      868795     1019358
002232.751     1033953     1213425
002244.751     1225138     1437049
002256.751     1424278     1669998
002308.753     1594928     1869914
002320.753     1742900     2043500
002332.751     1918724     2249330
002344.751     2115707     2479739
002356.751     2306196     2703947
002408.752     2492054     2922654
002420.752     2667841     3128888
002432.752     2834604     3323957
002444.752     2994450     3511424
002456.754     3156836     3702119
002508.753     3323167     3896979
002520.753     3471989     4070499
002532.753     3624556     4248358
002544.751     3781319     4431344
002556.751     3966146     4648196
002608.753     4133322     4844061
002620.752     4291663     5029714
002632.752     4449316     5214417
002644.753     4614415     5407165
002656.752     4769676     5589041
002708.753     4932462     5779261
002720.752     5090534     5964077
002732.756     5253005     6154591
002744.753     5411575     6339287
002756.752     5583287     6539920
002808.753     5742339     6726048
002820.753     5900629     6910823
002832.753     6052214     7087825
002844.753     6215896     7279261
002856.751     6381969     7473139
002908.751     6577326     7700933
002920.753     6731121     7880343
002932.752     6903195     8081812
002944.751     7087245     8296918
002956.751     7268874     8508693
003008.754     7427772     8694601
003020.753     7592122     8886801
003032.752     7739108     9058344
003044.753     7899738     9246446
003056.752     8047466     9418701
003108.751     8215340     9614877
003120.760     8385321     9812521
003132.753     8539525     9991692
003144.751     8696086    10174564
003156.753     8870570    10378454
003208.755     9014704    10547046
003220.753     9171350    10729772
003232.752     9338312    10924835
003244.753     9489503    11101468
003256.752     9654302    11293561
003308.751     9824344    11492133
003320.751    10013873    11713086
003332.751    10200296    11932144
003344.751    10393569    12157917
003356.751    10572876    12367651
003408.751    10777385    12605327
003420.751    10981159    12842724
003432.751    11184252    13080250
003444.757    11387008    13318206
003456.751    11589207    13555052
003508.751    11786613    13785546
003520.754    11970931    14000874
003532.751    12157633    14218942
003544.751    12359588    14455231
003556.751    12558182    14686524
003608.753    12721252    14876770
003620.752    12895723    15080616
