Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
113346.239     5225817     6191729
113358.203     5226628     6192688
113410.225     5228156     6194508
113422.193     5228782     6195245
113434.233     5229365     6195938
113446.216     5230675     6197490
113458.203     5231691     6198703
113510.227     5232371     6199521
113522.206     5234156     6201623
113534.203     5235628     6203354
113546.201     5236006     6203782
113558.211     5236898     6204840
113610.193     5238076     6206203
113622.214     5243708     6212854
113634.215     5254751     6225974
113646.198     5264764     6237871
113658.209     5278761     6254561
113710.222     5290847     6269080
113722.209     5299549     6279434
113734.213     5311691     6293964
113746.211     5322170     6306556
113758.194     5335634     6322712
113810.194     5344155     6332875
113822.188     5356175     6347066
113834.203     5364303     6356693
113846.199     5376093     6370786
113858.187     5399101     6398139
113910.190     5408620     6409442
113922.207     5418544     6421104
113934.198     5429454     6434031
113946.217     5447670     6455547
113958.194     5457132     6466782
114010.210     5476552     6489780
114022.214     5491256     6507264
114034.199     5503512     6521667
114046.216     5514449     6534578
114058.210     5526246     6548588
114110.208     5538615     6563402
114122.192     5550089     6577058
114134.227     5559715     6588626
114146.206     5568184     6598851
114158.190     5580504     6613502
114210.206     5592969     6628303
114222.221     5602185     6639337
114234.202     5612773     6652024
