Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
003733.823      184242      215597
003745.821      375766      441859
003757.821      568575      668754
003809.829      709586      835458
003821.826      816255      961200
003833.825      930828     1095599
003845.822     1085497     1278046
003857.823     1251496     1473895
003909.821     1431850     1687255
003921.822     1612815     1901719
003933.821     1737692     2050164
003945.822     1886213     2225446
003957.823     2044207     2411794
004009.822     2204617     2601498
004021.823     2359071     2784521
004033.823     2507385     2960201
004045.823     2673245     3156470
004057.823     2831200     3343376
004109.824     2984772     3525340
004121.822     3147956     3718084
004133.829     3284442     3879021
004145.825     3425007     4045864
004157.822     3569711     4217308
004209.826     3752220     4432463
004221.823     3929103     4641402
004233.822     4109082     4854464
004245.822     4298619     5078291
004257.821     4508230     5324982
004309.823     4694885     5546040
004321.823     4846529     5725130
004333.821     5004056     5911460
004345.821     5194443     6136416
004357.821     5385405     6361845
004409.821     5580619     6593213
004421.821     5771519     6820127
004433.822     5972427     7058631
004445.821     6175241     7299629
004457.823     6340009     7494415
004509.823     6509564     7695558
004521.822     6675502     7892295
004533.821     6847955     8096905
004545.821     7038799     8322971
004557.822     7228653     8546880
004609.821     7410864     8762273
004621.821     7599620     8985839
004633.821     7800400     9223465
004645.821     7982542     9438769
004657.821     8181759     9674385
004709.822     8371608     9898238
004721.823     8540134    10097104
004733.823     8712485    10301543
004745.823     8884041    10503883
004757.823     9050933    10701443
004809.823     9218802    10900437
004821.823     9388357    11100633
004833.823     9560885    11304764
004845.823     9730318    11505127
004857.823     9903846    11709813
004909.823    10076299    11914088
004921.823    10249392    12118639
004933.823    10421866    12322370
004945.823    10591061    12522633
004957.823    10756941    12718402
005009.822    10926816    12919254
005021.823    11094305    13117579
005033.823    11260554    13315042
005045.823    11429051    13513154
005057.823    11597639    13711479
005109.823    11766083    13910600
005121.823    11936288    14111890
005133.823    12106033    14312856
005145.823    12276156    14514298
005157.823    12446364    14715785
005209.823    12619515    14920743
005221.823    12792480    15125100
