 Q (1/Ang),Si-Si,Si-O ,O-O  
   0.20000 ,    -0.114264411673036E+02 ,     0.181314280753466E+00 ,    -0.564251889581824E+01 , 
   0.40000 ,    -0.462124066529879E+01 ,     0.130821102613151E-01 ,    -0.238537173901553E+01 , 
   0.60000 ,    -0.290212787874299E+00 ,    -0.335605161048589E-01 ,    -0.298153514531250E+00 , 
   0.80000 ,    -0.116464609770907E+01 ,     0.255931621575477E-01 ,    -0.640982260004815E+00 , 
   1.00000 ,    -0.435277898579032E+01 ,     0.218188537846740E-01 ,    -0.204958777648124E+01 , 
   1.20000 ,    -0.505689065739731E+01 ,    -0.173809800117252E-01 ,    -0.240285042731094E+01 , 
   1.40000 ,    -0.192518499248073E+01 ,     0.260871946435211E+00 ,    -0.125838444109458E+01 , 
   1.60000 ,     0.186978660879716E+01 ,     0.112693329996077E+01 ,    -0.768374085269419E-01 , 
   1.80000 ,     0.258568626516505E+01 ,     0.221753172789788E+01 ,    -0.222711716594482E+00 , 
   2.00000 ,     0.865448108218508E-01 ,     0.257598847271261E+01 ,    -0.128433642642356E+01 , 
   2.20000 ,    -0.234376449464891E+01 ,     0.146093344488313E+01 ,    -0.165327922730370E+01 , 
   2.40000 ,    -0.188267830581393E+01 ,    -0.806662559917068E+00 ,    -0.502812950335399E+00 , 
   2.60000 ,     0.881276167131149E+00 ,    -0.288992947049439E+01 ,     0.124800412913886E+01 , 
   2.80000 ,     0.298282417678784E+01 ,    -0.347378668360863E+01 ,     0.201522337723066E+01 , 
   3.00000 ,     0.244601579507841E+01 ,    -0.236255181235914E+01 ,     0.127619400555467E+01 , 
   3.20000 ,     0.839040017221468E-01 ,    -0.593707020228849E+00 ,    -0.287001383207834E-01 , 
   3.40000 ,    -0.184387782998958E+01 ,     0.522875843642804E+00 ,    -0.669616662734915E+00 , 
   3.60000 ,    -0.207665197571800E+01 ,     0.498841882841908E+00 ,    -0.374328881879731E+00 , 
