 Q (1/Ang),Si-Si,Si-O ,O-O  
   0.20000 ,    -0.222076739552798E+01 ,     0.210531985978603E+01 ,     0.392672721885510E+01 , 
   0.40000 ,    -0.237543686656554E+01 ,     0.163924523141746E+01 ,     0.446945668201277E+01 , 
   0.60000 ,    -0.209709887857925E+01 ,     0.103327761293890E+01 ,     0.791325858598477E+00 , 
   0.80000 ,    -0.219788128245197E+01 ,     0.623183184151317E+00 ,    -0.131891379691982E+00 , 
   1.00000 ,    -0.192737222342055E+01 ,     0.709320008772771E+00 ,    -0.121452650018054E+00 , 
   1.20000 ,    -0.131079287723663E+01 ,     0.102960074938028E+01 ,     0.966953481605081E-01 , 
   1.40000 ,    -0.721773782708560E+00 ,     0.119935923324819E+01 ,     0.138305320340967E+00 , 
   1.60000 ,    -0.854494774997886E+00 ,     0.924210498851514E+00 ,    -0.426802344521642E+00 , 
   1.80000 ,    -0.448370030066751E+00 ,     0.851152439493737E+00 ,    -0.523037597605629E+00 , 
   2.00000 ,     0.890060813240624E+00 ,     0.598866599068892E+00 ,    -0.717362366490588E+00 , 
   2.20000 ,     0.138249308307648E+01 ,    -0.279652804864353E-01 ,    -0.761309104908782E+00 , 
   2.40000 ,     0.979428691071185E+00 ,    -0.585005078084088E+00 ,    -0.678882399255207E+00 , 
   2.60000 ,     0.442130663768682E+00 ,    -0.104673227337928E+01 ,    -0.244694247310171E+00 , 
   2.80000 ,     0.454427447629926E+00 ,    -0.131011774093525E+01 ,     0.382482087015552E+00 , 
   3.00000 ,    -0.111194928353912E+00 ,    -0.941948283516982E+00 ,     0.405190703391722E+00 , 
   3.20000 ,    -0.840764353764792E+00 ,    -0.635051000664792E+00 ,     0.341355048132441E-01 , 
   3.40000 ,    -0.998249944090871E+00 ,    -0.317244733203964E+00 ,    -0.742328093966439E-01 , 
   3.60000 ,    -0.595240549455910E+00 ,    -0.311215058969006E+00 ,    -0.189839426060418E-01 , 
   3.80000 ,    -0.437235044140824E+00 ,    -0.146376713888053E+00 ,    -0.195183752678627E+00 , 
   4.00000 ,    -0.588092298773719E+00 ,    -0.641336512200365E-01 ,    -0.361195364435302E+00 , 
   4.20000 ,     0.296553789708112E+00 ,     0.100244061658421E+00 ,    -0.370985240888151E+00 , 
   4.40000 ,     0.566482869745053E+00 ,     0.395641118482035E+00 ,    -0.106869738825009E+00 , 
   4.60000 ,     0.368067011623040E+00 ,     0.306238351365187E+00 ,    -0.266817936279757E+00 , 
   4.80000 ,    -0.294955235073613E-01 ,     0.577106452571046E+00 ,    -0.725078241373266E-01 , 
   5.00000 ,     0.139705252575946E+00 ,     0.542229692760002E+00 ,     0.203885510218056E+00 , 
   5.20000 ,     0.151587491322186E+00 ,     0.575168949166336E+00 ,     0.383618463497800E+00 , 
   5.40000 ,    -0.208099528514087E+00 ,     0.510972379775182E+00 ,     0.396304235856271E+00 , 
   5.60000 ,    -0.332790526691119E+00 ,     0.444870120638121E+00 ,     0.417335010320241E+00 , 
   5.80000 ,    -0.103769305243333E+00 ,     0.826696418253520E-01 ,     0.421624377784124E+00 , 
   6.00000 ,    -0.969181983989182E-01 ,    -0.459627355921938E-01 ,     0.137238910829747E+00 , 
   6.20000 ,     0.528182454111414E-01 ,    -0.287352905909145E+00 ,    -0.786852762515120E-01 , 
   6.40000 ,     0.210153874749166E+00 ,    -0.331808804683729E+00 ,    -0.114751852601040E+00 , 
   6.60000 ,     0.489793414232325E+00 ,    -0.428399436554152E+00 ,    -0.146456426084624E+00 , 
   6.80000 ,     0.380326508230284E+00 ,    -0.452645656649650E+00 ,    -0.212579025263306E+00 , 
   7.00000 ,     0.133858954140449E-01 ,    -0.397937770297212E+00 ,    -0.276681431666912E+00 , 
   7.20000 ,    -0.719324679862344E-01 ,    -0.332215327337196E+00 ,    -0.143767624980453E+00 , 
   7.40000 ,    -0.188579950756065E+00 ,    -0.190381913136945E+00 ,     0.153146525764379E-01 , 
   7.60000 ,    -0.293646191913571E+00 ,    -0.121165952423463E+00 ,     0.624196637431074E-01 , 
   7.80000 ,    -0.427763682433304E+00 ,    -0.180465329342859E-01 ,     0.101141818418062E+00 , 
   8.00000 ,    -0.170110504089868E+00 ,     0.101218014391900E+00 ,     0.136698828976120E+00 , 
   8.20000 ,    -0.644936964153277E-01 ,     0.239494466911556E+00 ,     0.154574355858812E+00 , 
   8.40000 ,    -0.355084029889841E-02 ,     0.202423952313465E+00 ,    -0.932394037102312E-01 , 
   8.60000 ,     0.666246266339780E-02 ,     0.120509985916110E+00 ,    -0.839086635103317E-01 , 
   8.80000 ,     0.180176010707217E+00 ,     0.211716704030812E+00 ,    -0.115075823529957E+00 , 
   9.00000 ,     0.131077241053123E+00 ,     0.182898852558700E+00 ,    -0.833288367749837E-01 , 
   9.20000 ,    -0.294813407608022E-01 ,     0.141652085182733E+00 ,    -0.146740986044826E+00 , 
   9.40000 ,    -0.739794116610289E-01 ,     0.176210143603132E+00 ,    -0.123325408013975E+00 , 
   9.60000 ,    -0.455123019575529E-01 ,     0.164398447460170E+00 ,    -0.425959054568959E-01 , 
   9.80000 ,    -0.127121089328270E+00 ,     0.627276418033203E-01 ,     0.276323086146617E-01 , 
  10.00000 ,    -0.112382365998637E+00 ,     0.197059941452428E-01 ,     0.602154898395358E-01 , 
  10.20000 ,    -0.998455197736024E-02 ,    -0.317635757657585E-01 ,     0.122582545994979E+00 , 
  10.40000 ,     0.126106703489787E+00 ,    -0.129261860959413E+00 ,     0.182981666677963E+00 , 
  10.60000 ,     0.203021572192058E+00 ,    -0.186054007281033E+00 ,     0.900201614220327E-01 , 
  10.80000 ,     0.142132552529712E+00 ,    -0.276315847161271E+00 ,     0.165487553281887E-01 , 
  11.00000 ,     0.202163162388455E+00 ,    -0.215310675954613E+00 ,     0.221538996940414E-01 , 
  11.20000 ,     0.120606433247624E+00 ,    -0.208661283085031E+00 ,     0.101234119515387E-01 , 
  11.40000 ,     0.512812309923386E-01 ,    -0.191114913472691E+00 ,    -0.632819194150582E-01 , 
  11.60000 ,    -0.416045545940873E-01 ,    -0.106177766026650E+00 ,    -0.117492563487712E+00 , 
  11.80000 ,    -0.348403327559345E-01 ,    -0.262926142464335E-01 ,    -0.503885717955625E-01 , 
  12.00000 ,    -0.227826883298014E-01 ,     0.663580065755751E-01 ,     0.230638946335798E-01 , 
  12.20000 ,    -0.129877427595784E+00 ,     0.797947789536956E-01 ,     0.166060141626282E-01 , 
  12.40000 ,    -0.115564726483679E+00 ,     0.157885896176582E+00 ,     0.487209374747878E-01 , 
  12.60000 ,     0.414086594419876E-02 ,     0.155632867980404E+00 ,     0.602423075447370E-01 , 
  12.80000 ,     0.105406898509526E+00 ,     0.187121784097865E+00 ,     0.102518736198695E+00 , 
  13.00000 ,    -0.763342263408561E-01 ,     0.141268433234983E+00 ,     0.819467388150148E-02 , 
  13.20000 ,     0.130881254378221E-01 ,     0.158817709476290E+00 ,     0.235062395319472E-01 , 
  13.40000 ,     0.753804992987952E-01 ,     0.108866955356911E+00 ,     0.152187488242183E-01 , 
  13.60000 ,    -0.773110978357046E-02 ,     0.388720181348761E-01 ,    -0.113825080953259E+00 , 
  13.80000 ,    -0.136722551996877E+00 ,    -0.163921957943385E-01 ,    -0.133899489218072E+00 , 
  14.00000 ,    -0.121164205025293E+00 ,    -0.413799483579730E-01 ,    -0.129795407935234E+00 , 
  14.20000 ,    -0.205047034442136E-01 ,    -0.854303066818313E-01 ,    -0.308427013404518E-01 , 
  14.40000 ,    -0.453251531414492E-02 ,    -0.439497625875826E-01 ,    -0.383442436264691E-01 , 
  14.60000 ,    -0.526749638147046E-01 ,    -0.107128402385482E+00 ,    -0.511332091822574E-01 , 
  14.80000 ,     0.402455275667622E-01 ,    -0.102310355926055E+00 ,     0.359875036405818E-01 , 
  15.00000 ,     0.127392058369714E+00 ,    -0.130426093543998E+00 ,     0.961664773935325E-01 , 
  15.20000 ,     0.624580449095991E-01 ,    -0.826417700180555E-01 ,     0.654532289770684E-01 , 
  15.40000 ,    -0.116039536960699E-02 ,    -0.744998661323678E-01 ,     0.562731696610782E-01 , 
  15.60000 ,     0.970189952608737E-01 ,    -0.481205954546592E-01 ,     0.846394949689013E-01 , 
  15.80000 ,     0.430942709058316E-01 ,    -0.307185457921673E-01 ,     0.725207985856981E-01 , 
  16.00000 ,    -0.256963527961327E-01 ,    -0.197032488857898E-01 ,    -0.341813323722858E-02 , 
  16.20000 ,    -0.179326682596050E-01 ,    -0.254701948415547E-02 ,    -0.290563104869062E-01 , 
  16.40000 ,     0.613165849061117E-01 ,     0.531977344034014E-01 ,    -0.158559126475186E-01 , 
  16.60000 ,     0.409834307952623E-02 ,     0.105634098025681E+00 ,    -0.117879244366414E-01 , 
  16.80000 ,    -0.289361932129565E-01 ,     0.114660555913208E+00 ,    -0.130895043001853E-02 , 
  17.00000 ,    -0.102821110823601E-01 ,     0.133209486002528E+00 ,    -0.948241381984020E-02 , 
  17.20000 ,     0.857659708135190E-02 ,     0.106605649357391E+00 ,     0.492645513466002E-01 , 
  17.40000 ,    -0.430685093296357E-01 ,     0.709227857329210E-01 ,    -0.631614711515442E-02 , 
  17.60000 ,    -0.102072066900716E+00 ,     0.521382642355668E-01 ,    -0.178074435661329E-02 , 
  17.80000 ,    -0.120364749194004E+00 ,     0.568855370532322E-02 ,    -0.211762373289386E-01 , 
  18.00000 ,    -0.454856503947222E-01 ,    -0.466836110561184E-01 ,    -0.304952902157430E-01 , 
  18.20000 ,    -0.526579481978032E-01 ,    -0.565688316204128E-01 ,    -0.189821060068572E-01 , 
  18.40000 ,    -0.918233047261773E-01 ,    -0.793896664516108E-01 ,    -0.481161004797922E-01 , 
  18.60000 ,     0.954005154542997E-03 ,    -0.868645527583108E-01 ,    -0.477302854309290E-01 , 
  18.80000 ,     0.526208846830256E-01 ,    -0.974067917108217E-01 ,    -0.437682480162060E-01 , 
  19.00000 ,    -0.188616379789154E-01 ,    -0.121705290728039E+00 ,    -0.559011067441167E-01 , 
  19.20000 ,    -0.174464315150112E-01 ,    -0.730099546349113E-01 ,    -0.491690475018381E-01 , 
  19.40000 ,     0.283959503185014E-02 ,    -0.461058577563921E-01 ,     0.286325463930307E-01 , 
  19.60000 ,     0.639700081767659E-01 ,    -0.316474653050500E-01 ,     0.670596528852054E-01 , 
  19.80000 ,     0.741267433662213E-02 ,    -0.382165284176857E-01 ,     0.399372573890784E-01 , 
  20.00000 ,     0.426369830687309E-02 ,     0.351219396984438E-01 ,     0.711413749836988E-01 , 
  20.20000 ,     0.911405099576086E-01 ,     0.325698034764567E-01 ,     0.518694658099298E-01 , 
  20.40000 ,     0.963716405940312E-01 ,     0.630030095878928E-01 ,     0.781402413457649E-01 , 
  20.60000 ,     0.257882042205073E-01 ,     0.996975532763401E-01 ,     0.344169698894978E-01 , 
  20.80000 ,     0.364252299830819E-01 ,     0.718177955162618E-01 ,    -0.542872124203702E-02 , 
  21.00000 ,     0.634000559853999E-01 ,     0.896825074654356E-01 ,     0.214391257111640E-01 , 
  21.20000 ,     0.236354967617716E-01 ,     0.660852537205001E-01 ,    -0.681166478568121E-02 , 
  21.40000 ,    -0.507921486033648E-01 ,     0.800075092963041E-01 ,    -0.585867355583335E-01 , 
  21.60000 ,    -0.483400710176409E-01 ,     0.420901737899305E-01 ,    -0.235741725882673E-01 , 
  21.80000 ,     0.145341464565179E-01 ,    -0.103734775236255E-03 ,    -0.424297678280804E-01 , 
  22.00000 ,    -0.637092040202948E-02 ,    -0.292526029096325E-01 ,    -0.307502750696490E-01 , 
  22.20000 ,    -0.697178788611583E-01 ,    -0.348153407349043E-01 ,    -0.309156025698038E-01 , 
  22.40000 ,    -0.334050052653096E-01 ,    -0.369985185672717E-01 ,     0.143571806393223E-01 , 
  22.60000 ,     0.266265762590932E-01 ,    -0.395937314155406E-01 ,     0.504739477155868E-01 , 
  22.80000 ,    -0.265412104090861E-01 ,    -0.639614288589111E-01 ,    -0.196392489747504E-01 , 
  23.00000 ,    -0.810440923365392E-01 ,    -0.906443612452472E-01 ,    -0.692579284381546E-01 , 
  23.20000 ,    -0.157004532305473E-01 ,    -0.594790636426486E-01 ,     0.599677100179985E-02 , 
  23.40000 ,     0.624120886228408E-01 ,    -0.318837670281869E-01 ,     0.389576950258111E-01 , 
  23.60000 ,    -0.388270407383131E-01 ,    -0.552606393658136E-01 ,    -0.372502342897316E-01 , 
  23.80000 ,    -0.596096452737627E-01 ,    -0.274251384065638E-01 ,    -0.588631609496714E-01 , 
  24.00000 ,     0.807759629789905E-01 ,     0.931354045204272E-02 ,     0.620530469628672E-02 , 
  24.20000 ,     0.783739243674556E-01 ,     0.548323576688197E-01 ,     0.233561116676899E-01 , 
  24.40000 ,    -0.374561611444492E-02 ,     0.493388757604767E-01 ,    -0.408173599258989E-02 , 
  24.60000 ,     0.408513272819566E-01 ,     0.698082452085756E-01 ,     0.540924286369988E-01 , 
  24.80000 ,     0.905284846997977E-01 ,     0.100836384262658E+00 ,     0.836534620253291E-01 , 
  25.00000 ,     0.441708051801691E-01 ,     0.845914692848715E-01 ,     0.482047573541881E-01 , 
  25.20000 ,     0.230504647249506E-02 ,     0.566406898280698E-01 ,     0.185739422766653E-01 , 
  25.40000 ,    -0.133606061160415E-01 ,     0.609870691487284E-01 ,     0.269906142767145E-01 , 
  25.60000 ,     0.219852039759551E-01 ,     0.132146950516923E-01 ,     0.656628472766849E-02 , 
