 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   2.26455 ,    -0.706495836436517E+00 ,    -0.470580986729431E+00 ,    -0.631968784074100E+00 , 
   2.29433 ,    -0.587159697890888E+00 ,    -0.652719092747210E+00 ,    -0.413325351840000E+00 , 
   2.32410 ,    -0.439340746571490E+00 ,    -0.829960011336482E+00 ,    -0.184274660384920E+00 , 
   2.35387 ,    -0.267151450933127E+00 ,    -0.100001801636213E+01 ,     0.508041205626496E-01 , 
   2.38363 ,    -0.754154317323371E-01 ,    -0.116072764614591E+01 ,     0.287340124430651E+00 , 
   2.41339 ,     0.130488070210938E+00 ,    -0.131008224021627E+01 ,     0.520690331062491E+00 , 
   2.44313 ,     0.344792877681426E+00 ,    -0.144626919213813E+01 ,     0.746260620224932E+00 , 
   2.47287 ,     0.561522339304827E+00 ,    -0.156770120530382E+01 ,     0.959624856848342E+00 , 
   2.50260 ,     0.774668089598675E+00 ,    -0.167304292642101E+01 ,     0.115663862024484E+01 , 
   2.53233 ,     0.978365689909430E+00 ,    -0.176123243287229E+01 ,     0.133354438100596E+01 , 
   2.56205 ,     0.116706196274215E+01 ,    -0.183149716285926E+01 ,     0.148706521434929E+01 , 
   2.59175 ,     0.133566921584617E+01 ,    -0.188336399873709E+01 ,     0.161448450748427E+01 , 
   2.62145 ,     0.147970207490497E+01 ,    -0.191666334143956E+01 ,     0.171370955876897E+01 , 
   2.65115 ,     0.159539328500070E+01 ,    -0.193152714449407E+01 ,     0.178331746367099E+01 , 
   2.68083 ,     0.167978557812405E+01 ,    -0.192838100686048E+01 ,     0.182258222091470E+01 , 
   2.71051 ,     0.173079751136122E+01 ,    -0.190793055172151E+01 ,     0.183148255474958E+01 , 
   2.74018 ,     0.174726203091315E+01 ,    -0.187114244049347E+01 ,     0.181069051857947E+01 , 
   2.76984 ,     0.172893738300913E+01 ,    -0.181922048493988E+01 ,     0.176154150388414E+01 , 
   2.79949 ,     0.167649084651478E+01 ,    -0.175357742278038E+01 ,     0.168598680967979E+01 , 
   2.82913 ,     0.159145657715083E+01 ,    -0.167580301128151E+01 ,     0.158653041605686E+01 , 
   2.85876 ,     0.147616960519835E+01 ,    -0.158762916700140E+01 ,     0.146615203653964E+01 , 
   2.88839 ,     0.133367869548900E+01 ,    -0.149089293651069E+01 ,     0.132821888606284E+01 , 
   2.91801 ,     0.116764134177073E+01 ,    -0.138749812130842E+01 ,     0.117638888452018E+01 , 
   2.94761 ,     0.982204612403950E+00 ,    -0.127937639951138E+01 ,     0.101450821296943E+01 , 
   2.97721 ,     0.781875880153016E+00 ,    -0.116844878689193E+01 ,     0.846506246304102E+00 , 
   3.00680 ,     0.571387649371145E+00 ,    -0.105658826060793E+01 ,     0.676290901005733E+00 , 
   3.03638 ,     0.355560737390495E+00 ,    -0.945584331106210E+00 ,     0.507647360800514E+00 , 
   3.06596 ,     0.139169976103258E+00 ,    -0.837110292226320E+00 ,     0.344142980735340E+00 , 
   3.09552 ,    -0.731836185570435E-01 ,    -0.732693807942852E+00 ,     0.189040928009465E+00 , 
   3.12507 ,    -0.277190596486345E+00 ,    -0.633691408300380E+00 ,     0.452248048066184E-01 , 
   3.15461 ,    -0.468937567346861E+00 ,    -0.541267369087611E+00 ,    -0.848638746851623E-01 , 
   3.18415 ,    -0.644995786191381E+00 ,    -0.456377342118820E+00 ,    -0.199273901349214E+00 , 
   3.21367 ,    -0.802491767459823E+00 ,    -0.379756988310046E+00 ,    -0.296577284740758E+00 , 
   3.24318 ,    -0.939158498410440E+00 ,    -0.311915746873856E+00 ,    -0.375886338992090E+00 , 
   3.27269 ,    -0.105336648106614E+01 ,    -0.253135753807048E+00 ,    -0.436854894616608E+00 , 
   3.30218 ,    -0.114413449163262E+01 ,    -0.203475804313904E+00 ,    -0.479664057536230E+00 , 
   3.33167 ,    -0.121112058689974E+01 ,    -0.162780139728595E+00 ,    -0.504993380394898E+00 , 
   3.36114 ,    -0.125459448845830E+01 ,    -0.130691732571982E+00 ,    -0.513978718113187E+00 , 
   3.39060 ,    -0.127539301962096E+01 ,    -0.106669646091757E+00 ,    -0.508158398261360E+00 , 
   3.42006 ,    -0.127486074110392E+01 ,    -0.900099592155795E-01 ,    -0.489409637505587E+00 , 
   3.44950 ,    -0.125477831702943E+01 ,    -0.798696761981127E-01 ,    -0.459877370446903E+00 , 
   3.47893 ,    -0.121728143304721E+01 ,    -0.752929839011085E-01 ,    -0.421897821154494E+00 , 
   3.50835 ,    -0.116477327714035E+01 ,    -0.752391797447330E-01 ,    -0.377919237436330E+00 , 
   3.53777 ,    -0.109983367826739E+01 ,    -0.786115706141375E-01 ,    -0.330422222587479E+00 , 
   3.56717 ,    -0.102512797916450E+01 ,    -0.842866376622290E-01 ,    -0.281842040526337E+00 , 
   3.59656 ,    -0.943318601504973E+00 ,    -0.911427738386547E-01 ,    -0.234495141602881E+00 , 
   3.62593 ,    -0.856982051412762E+00 ,    -0.980879294832837E-01 ,    -0.190511963715709E+00 , 
   3.65530 ,    -0.768533821059100E+00 ,    -0.104085545424373E+00 ,    -0.151777814291754E+00 , 
   3.68466 ,    -0.680163280105999E+00 ,    -0.108178211310530E+00 ,    -0.119883342279783E+00 , 
   3.71400 ,    -0.593780233358753E+00 ,    -0.109508557635638E+00 ,    -0.960857759079106E-01 , 
   3.74334 ,    -0.510974363770199E+00 ,    -0.107336971051882E+00 ,    -0.812817427331398E-01 , 
   3.77266 ,    -0.432988299329314E+00 ,    -0.101055811840896E+00 ,    -0.759921151297483E-01 , 
   3.80197 ,    -0.360704555030668E+00 ,    -0.901999073907747E-01 ,    -0.803589485959102E-01 , 
   3.83127 ,    -0.294646123409171E+00 ,    -0.744531936688812E-01 ,    -0.941542136206924E-01 , 
   3.86056 ,    -0.234990034539079E+00 ,    -0.536514754148529E-01 ,    -0.116799675255310E+00 , 
   3.88983 ,    -0.181592793109699E+00 ,    -0.277813725677736E-01 ,    -0.147396957954574E+00 , 
   3.91910 ,    -0.134026238615472E+00 ,     0.302438714970593E-02 ,    -0.184766555466776E+00 , 
   3.94835 ,    -0.916220751352228E-01 ,     0.384950838102361E-01 ,    -0.227494313874051E+00 , 
   3.97759 ,    -0.535230875336301E-01 ,     0.782332062865059E-01 ,    -0.273983736008261E+00 , 
   4.00682 ,    -0.187389065306904E-01 ,     0.121728349363217E+00 ,    -0.322512331314491E+00 , 
   4.03603 ,     0.137958913887850E-01 ,     0.168373362991096E+00 ,    -0.371290168897454E+00 , 
   4.06524 ,     0.451635618339619E-01 ,     0.217482268116842E+00 ,    -0.418518783214785E+00 , 
   4.09443 ,     0.764069840450391E-01 ,     0.268309425705387E+00 ,    -0.462448630128112E+00 , 
   4.12361 ,     0.108477455085018E+00 ,     0.320069431890573E+00 ,    -0.501433392547934E+00 , 
   4.15277 ,     0.142188265721696E+00 ,     0.371957212613507E+00 ,    -0.533979584929348E+00 , 
   4.18193 ,     0.178175573192724E+00 ,     0.423167805223924E+00 ,    -0.558790098265195E+00 , 
   4.21107 ,     0.216867778923738E+00 ,     0.472915341559441E+00 ,    -0.574800554739815E+00 , 
   4.24019 ,     0.258464280604273E+00 ,     0.520450785881584E+00 ,    -0.581207595754905E+00 , 
   4.26931 ,     0.302924110246819E+00 ,     0.565078030345236E+00 ,    -0.577488499948098E+00 , 
   4.29841 ,     0.349964605644864E+00 ,     0.606168008771249E+00 ,    -0.563411810136057E+00 , 
   4.32750 ,     0.399069904514735E+00 ,     0.643170554545980E+00 ,    -0.539038930868239E+00 , 
   4.35658 ,     0.449508710475628E+00 ,     0.675623798511178E+00 ,    -0.504716932794655E+00 , 
   4.38564 ,     0.500360468847629E+00 ,     0.703160975674713E+00 ,    -0.461063058190111E+00 , 
   4.41469 ,     0.550548817681910E+00 ,     0.725514583385886E+00 ,    -0.408941656372831E+00 , 
   4.44372 ,     0.598880953548439E+00 ,     0.742517906232621E+00 ,    -0.349434482020151E+00 , 
   4.47275 ,     0.644091378656081E+00 ,     0.754103992377449E+00 ,    -0.283805458276931E+00 , 
   4.50175 ,     0.684888380168723E+00 ,     0.760302230545786E+00 ,    -0.213461136101727E+00 , 
   4.53075 ,     0.720001536364567E+00 ,     0.761232734795638E+00 ,    -0.139908168882277E+00 , 
   4.55973 ,     0.748228547759994E+00 ,     0.757098794148058E+00 ,    -0.647091657426861E-01 , 
   4.58870 ,     0.768479752676504E+00 ,     0.748177685023254E+00 ,     0.105617116946851E-01 , 
   4.61765 ,     0.779818802276176E+00 ,     0.734810175380220E+00 ,     0.843620845659086E-01 , 
   4.64659 ,     0.781498134430108E+00 ,     0.717389069976502E+00 ,     0.155222378620418E+00 , 
   4.67551 ,     0.772988092042147E+00 ,     0.696347156040815E+00 ,     0.221783401414835E+00 , 
   4.70442 ,     0.753998771551110E+00 ,     0.672144907987324E+00 ,     0.282829488036164E+00 , 
   4.73332 ,     0.724493952304635E+00 ,     0.645258298997619E+00 ,     0.337316397751441E+00 , 
   4.76220 ,     0.684696737789228E+00 ,     0.616167047035914E+00 ,     0.384393331841591E+00 , 
   4.79107 ,     0.635086825527367E+00 ,     0.585343594076841E+00 ,     0.423418642934676E+00 , 
   4.81992 ,     0.576389604120368E+00 ,     0.553243081163427E+00 ,     0.453969011805330E+00 , 
   4.84876 ,     0.509557544144051E+00 ,     0.520294539702767E+00 ,     0.475842072320560E+00 , 
   4.87758 ,     0.435744595820239E+00 ,     0.486893472609742E+00 ,     0.489052662723904E+00 , 
   4.90639 ,     0.356274522990758E+00 ,     0.453395949073087E+00 ,     0.493823065953282E+00 , 
   4.93519 ,     0.272604283506272E+00 ,     0.420114285429763E+00 ,     0.490567767996756E+00 , 
   4.96396 ,     0.186283705679396E+00 ,     0.387314333471087E+00 ,     0.479873406978429E+00 , 
   4.99273 ,     0.989128054069960E-01 ,     0.355214347988734E+00 ,     0.462474703178575E+00 , 
   5.02147 ,     0.120981369823854E-01 ,     0.323985358923487E+00 ,     0.439227248920820E+00 , 
   5.05021 ,    -0.725904278729163E-01 ,     0.293752931387720E+00 ,     0.411078095593504E+00 , 
   5.07893 ,    -0.153661142435197E+00 ,     0.264600160204409E+00 ,     0.379035102408524E+00 , 
   5.10763 ,    -0.229738785797235E+00 ,     0.236571715349624E+00 ,     0.344136008223967E+00 , 
   5.13631 ,    -0.299598885315949E+00 ,     0.209678731487631E+00 ,     0.307418155190288E+00 , 
   5.16498 ,    -0.362196784090370E+00 ,     0.183904319096393E+00 ,     0.269889733308372E+00 , 
   5.19364 ,    -0.416690764753451E+00 ,     0.159209466701132E+00 ,     0.232503331155495E+00 , 
   5.22228 ,    -0.462458649576214E+00 ,     0.135539103426215E+00 ,     0.196132473623189E+00 , 
   5.25090 ,    -0.499107519056803E+00 ,     0.112828098168100E+00 ,     0.161551706600513E+00 , 
   5.27951 ,    -0.526476419192986E+00 ,     0.910069856916753E-01 ,     0.129420655560394E+00 , 
   5.30810 ,    -0.544632153930673E+00 ,     0.700072301681049E-01 ,     0.100272344597199E+00 , 
   5.33668 ,    -0.553858476529398E+00 ,     0.497658622423014E-01 ,     0.745059192975780E-01 , 
   5.36523 ,    -0.554639194977779E+00 ,     0.302293556400101E-01 ,     0.523837754763378E-01 , 
   5.39378 ,    -0.547635886027038E+00 ,     0.113566424911331E-01 ,     0.340329606033818E-01 , 
   5.42230 ,    -0.533661064677034E+00 ,    -0.687879821777561E-02 ,     0.194505896445876E-01 , 
   5.45081 ,    -0.513647776868622E+00 ,    -0.244878085478836E-01 ,     0.851290551571923E-02 , 
   5.47930 ,    -0.488616669668823E+00 ,    -0.414653695856907E-01 ,     0.987519310381740E-03 , 
   5.50778 ,    -0.459641643546313E+00 ,    -0.577913289229277E-01 ,    -0.345171082341197E-02 , 
   5.53624 ,    -0.427815204817837E+00 ,    -0.734319653333715E-01 ,    -0.520775923720876E-02 , 
   5.56468 ,    -0.394214613607199E+00 ,    -0.883422901191999E-01 ,    -0.474210259342060E-02 , 
   5.59311 ,    -0.359869865459308E+00 ,    -0.102468960711037E+00 ,    -0.255562513483178E-02 , 
   5.62152 ,    -0.325734455919938E+00 ,    -0.115753663211359E+00 ,     0.830602871584620E-03 , 
   5.64991 ,    -0.292659760694762E+00 ,    -0.128136807154527E+00 ,     0.489406299133385E-02 , 
   5.67828 ,    -0.261373723998565E+00 ,    -0.139561368114174E+00 ,     0.912847742414848E-02 , 
   5.70664 ,    -0.232464389575210E+00 ,    -0.149976712024158E+00 ,     0.130599443205498E-01 , 
   5.73498 ,    -0.206368638222453E+00 ,    -0.159342239105958E+00 ,     0.162610892353886E-01 , 
   5.76330 ,    -0.183366318342741E+00 ,    -0.167630694843030E+00 ,     0.183628865877361E-01 , 
   5.79161 ,    -0.163579777953151E+00 ,    -0.174831010070791E+00 ,     0.190638963079923E-01 , 
   5.81989 ,    -0.146978633466363E+00 ,    -0.180950551366173E+00 ,     0.181367560081566E-01 , 
   5.84816 ,    -0.133389447810924E+00 ,    -0.186016685799579E+00 ,     0.154318648055660E-01 , 
   5.87641 ,    -0.122509843008456E+00 ,    -0.190077589926000E+00 ,     0.108782882777497E-01 , 
   5.90465 ,    -0.113926444444593E+00 ,    -0.193202260736453E+00 ,     0.448200205155308E-02 , 
   5.93286 ,    -0.107135949278421E+00 ,    -0.195479715214549E+00 ,    -0.367832834685273E-02 , 
   5.96106 ,    -0.101568532403928E+00 ,    -0.197017394179595E+00 ,    -0.134577637486884E-01 , 
   5.98924 ,    -0.966127518704402E-01 ,    -0.197938814295838E+00 ,    -0.246533779808751E-01 , 
   6.01740 ,    -0.916410925152067E-01 ,    -0.198380538580721E+00 ,    -0.370140443166537E-01 , 
   6.04554 ,    -0.860352916532433E-01 ,    -0.198488559618997E+00 ,    -0.502513204257655E-01 , 
   6.07367 ,    -0.792106229990275E-01 ,    -0.198414210246461E+00 ,    -0.640510142305677E-01 , 
   6.10177 ,    -0.706383727108628E-01 ,    -0.198309733087277E+00 ,    -0.780850111370541E-01 , 
   6.12986 ,    -0.598658219452115E-01 ,    -0.198323652527342E+00 ,    -0.920229549394725E-01 , 
   6.15793 ,    -0.465331503286439E-01 ,    -0.198596100145375E+00 ,    -0.105543399299023E+00 , 
   6.18598 ,    -0.303867905185502E-01 ,    -0.199254247120868E+00 ,    -0.118344082705989E+00 , 
   6.21401 ,    -0.112888913620442E-01 ,    -0.200407994668953E+00 ,    -0.130151025576171E+00 , 
   6.24202 ,     0.107773183346569E-01 ,    -0.202146066247496E+00 ,    -0.140726201689120E+00 , 
   6.27001 ,     0.357063362500062E-01 ,    -0.204532633420899E+00 ,    -0.149873595458913E+00 , 
   6.29799 ,     0.632732986522041E-01 ,    -0.207604591265220E+00 ,    -0.157443519353495E+00 , 
   6.32594 ,     0.931408042826534E-01 ,    -0.211369579599398E+00 ,    -0.163335129939274E+00 , 
   6.35388 ,     0.124869336779825E+00 ,    -0.215804823770125E+00 ,    -0.167497144367519E+00 , 
   6.38179 ,     0.157930866519653E+00 ,    -0.220856843927787E+00 ,    -0.169926819599847E+00 , 
   6.40969 ,     0.191725123287101E+00 ,    -0.226442055490540E+00 ,    -0.170667312431957E+00 , 
   6.43757 ,     0.225597960499621E+00 ,    -0.232448256619566E+00 ,    -0.169803587789826E+00 , 
   6.46542 ,     0.258861181448267E+00 ,    -0.238736971845015E+00 ,    -0.167457084486936E+00 , 
   6.49326 ,     0.290813169179213E+00 ,    -0.245146595296798E+00 ,    -0.163779380598028E+00 , 
   6.52108 ,     0.320759654467808E+00 ,    -0.251496253073318E+00 ,    -0.158945124105663E+00 , 
   6.54888 ,     0.348033970405318E+00 ,    -0.257590282827383E+00 ,    -0.153144508129475E+00 , 
   6.57666 ,     0.372016176330738E+00 ,    -0.263223210280971E+00 ,    -0.146575573809865E+00 , 
   6.60441 ,     0.392150486497817E+00 ,    -0.268185087617912E+00 ,    -0.139436618067373E+00 , 
