15.15	-7.41756E-4
15.2	-6.98119E-4
15.25	-6.54478E-4
15.3	-6.10838E-4
15.35	-5.67197E-4
15.4	-0.00149
15.45	-0.00477
15.5	-0.00804
15.55	-0.00852
15.6	-0.00348
15.65	-0.00155
15.7	-0.00483
15.75	-0.0081
15.8	-0.00831
15.85	-0.00426
15.9	-2.23225E-4
15.95	-4.36315E-5
