 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   2.24032 ,     0.325874608935198E+00 ,    -0.497840047922830E+00 ,    -0.384990983296493E+00 , 
   2.27036 ,     0.430788290548724E+00 ,    -0.577304939603858E+00 ,    -0.292234227131387E+00 , 
   2.30039 ,     0.534436132572023E+00 ,    -0.653792346417967E+00 ,    -0.197045525297258E+00 , 
   2.33043 ,     0.634736360925601E+00 ,    -0.726420324565976E+00 ,    -0.100929948554813E+00 , 
   2.36046 ,     0.729615087042712E+00 ,    -0.794328540689825E+00 ,    -0.541422750828042E-02 , 
   2.39050 ,     0.817063211703296E+00 ,    -0.856713470745103E+00 ,     0.879904755314481E-01 , 
   2.42054 ,     0.895192444728962E+00 ,    -0.912861311597694E+00 ,     0.177825211287002E+00 , 
   2.45057 ,     0.962288693996264E+00 ,    -0.962176762667653E+00 ,     0.262718246800242E+00 , 
   2.48061 ,     0.101686108366454E+01 ,    -0.100420611558852E+01 ,     0.341417413480269E+00 , 
   2.51064 ,     0.105768493565540E+01 ,    -0.103865345536635E+01 ,     0.412818863710126E+00 , 
   2.54068 ,     0.108383719311989E+01 ,    -0.106538920321267E+01 ,     0.475991409054829E+00 , 
   2.57071 ,     0.109472297908656E+01 ,    -0.108445069241622E+01 ,     0.530195751129207E+00 , 
   2.60075 ,     0.109009226298866E+01 ,    -0.109603493627933E+01 ,     0.574898078854695E+00 , 
   2.63078 ,     0.107004594368469E+01 ,    -0.110048419355221E+01 ,     0.609777687929877E+00 , 
   2.66082 ,     0.103503103759596E+01 ,    -0.109826533613814E+01 ,     0.634728473678242E+00 , 
   2.69085 ,     0.985825069173155E+00 ,    -0.108994435367612E+01 ,     0.649854350102164E+00 , 
   2.72089 ,     0.923510180085184E+00 ,    -0.107615757210242E+01 ,     0.655458848581079E+00 , 
   2.75092 ,     0.849437883739781E+00 ,    -0.105758130616822E+01 ,     0.652029341654736E+00 , 
   2.78096 ,     0.765185772923888E+00 ,    -0.103490170301473E+01 ,     0.640216513338821E+00 , 
