Q (Ang^-1), RMC, Data
  0.46824702735654544       ,  -0.99446813230626840       ,  -0.88098211472729060     
  0.49828222786331428       ,   -1.0472151218030323       ,  -0.83537990327143941     
  0.52831742837008311       ,   -1.0861361015627580       ,  -0.79088168273562665     
  0.55835262887685189       ,   -1.1117258828848107       ,  -0.75025894637017432     
  0.58838782938362078       ,   -1.1251091181906567       ,  -0.71562753764154585     
  0.61842302989038966       ,   -1.1279403612020202       ,  -0.68829541709085762     
  0.64845823039715844       ,   -1.1222631484186634       ,  -0.66870155822345678     
  0.67849343090392722       ,   -1.1103377573345181       ,  -0.65644584449218424     
  0.70852863141069611       ,   -1.0944506441257777       ,  -0.65039994715808358     
  0.73856383191746500       ,   -1.0767208583568058       ,  -0.64888095614594665     
  0.76859903242423377       ,   -1.0589196924242765       ,  -0.64986388699194175     
  0.79863423293100255       ,   -1.0423192945639337       ,  -0.65120663453913519     
  0.82866943343777144       ,   -1.0275839496991377       ,  -0.65086163619251569     
  0.85870463394454033       ,   -1.0147143580669724       ,  -0.64705219705725203     
  0.88873983445130911       ,   -1.0030508040042614       ,  -0.63839751638092468     
  0.91877503495807789       ,  -0.99133600696729829       ,  -0.62397807165296360     
  0.94881023546484677       ,  -0.97783315881546307       ,  -0.60334114287226437     
  0.97884543597161555       ,  -0.96048967759325798       ,  -0.57645385229621049     
   1.0088806364783844       ,  -0.93713302657783937       ,  -0.54361722006585622     
   1.0389158369851534       ,  -0.90568196367392029       ,  -0.50535868072507972     
   1.0689510374919222       ,  -0.86435509175408931       ,  -0.46232186162021977     
   1.0989862379986910       ,  -0.81185872292797001       ,  -0.41517113056071053     
   1.1290214385054598       ,  -0.74753783798278550       ,  -0.36452476132912520     
   1.1590566390122286       ,  -0.67147714811380133       ,  -0.31092512580265069     
   1.1890918395189973       ,  -0.58454364151681182       ,  -0.25484790194018841     
   1.2191270400257661       ,  -0.48836710623115603       ,  -0.19674579774458262     
   1.2491622405325351       ,  -0.38526048071542851       ,  -0.13711663097701626     
   1.2791974410393041       ,  -0.27808699553382277       ,   -7.6581543084069156E-002
   1.3092326415460729       ,  -0.17008546590400364       ,   -1.5957207185492220E-002
   1.3392678420528417       ,   -6.4668385982388416E-002  ,    4.3693636443268125E-002
   1.3693030425596104       ,    3.4790613755269317E-002  ,   0.10104619177706818     
   1.3993382430663792       ,   0.12516299151906046       ,   0.15454031257911291     
   1.4293734435731480       ,   0.20374935939912214       ,   0.20245202804514667     
   1.4594086440799168       ,   0.26842800945533102       ,   0.24300551167626450     
   1.4894438445866856       ,   0.31775805666276091       ,   0.27451500948084195     
   1.5194790450934548       ,   0.35103159230002384       ,   0.29554136026876615     
   1.5495142456002235       ,   0.36827375944577384       ,   0.30504475210189186     
   1.5795494461069923       ,   0.37019403055636485       ,   0.30251469230689693     
   1.6095846466137611       ,   0.35809578994950236       ,   0.28805995261279177     
   1.6396198471205299       ,   0.33375427788454631       ,   0.26244529936742661     
   1.6696550476272987       ,   0.29927481513126758       ,   0.22706765301853746     
   1.6996902481340674       ,   0.25694389277666846       ,   0.18387123146518275     
   1.7297254486408362       ,   0.20908519915415874       ,   0.13520836733219016     
   1.7597606491476054       ,   0.15793109567433686       ,    8.3659164437960370E-002
   1.7897958496543742       ,   0.10551767163247806       ,    3.1828165832537413E-002
   1.8198310501611430       ,    5.3608596189953645E-002  ,   -1.7860884280206425E-002
   1.8498662506679118       ,    3.6498672590592968E-003  ,   -6.3350661156190674E-002
   1.8799014511746805       ,   -4.3245447355473032E-002  ,  -0.10309683418062454     
   1.9099366516814493       ,   -8.6285986414985416E-002  ,  -0.13616055433435026     
   1.9399718521882181       ,  -0.12496988273545952       ,  -0.16223796714224328     
   1.9700070526949869       ,  -0.15903827593132014       ,  -0.18162504355787110     
   2.0000422532017561       ,  -0.18842167176293476       ,  -0.19512336254686602     
   2.0300774537085249       ,  -0.21318590096833864       ,  -0.20389910124711999     
   2.0601126542152937       ,  -0.23348340274058804       ,  -0.20931260268792420     
   2.0901478547220624       ,  -0.24951404722690751       ,  -0.21273889653976283     
   2.1201830552288312       ,  -0.26149792998459931       ,  -0.21540010523440853     
   2.1502182557356000       ,  -0.26966074196368633       ,  -0.21822873629494377     
   2.1802534562423688       ,  -0.27423064917191470       ,  -0.22177670467173824     
   2.2102886567491375       ,  -0.27544427801750171       ,  -0.22617907668301315     
   2.2403238572559068       ,  -0.27355851409492238       ,  -0.23117471012593005     
   2.2703590577626755       ,  -0.26886444094462802       ,  -0.23617902192043561     
   2.3003942582694443       ,  -0.26169986515440519       ,  -0.24039788833112186     
   2.3304294587762131       ,  -0.25245743201925208       ,  -0.24296691749954827     
   2.3604646592829819       ,  -0.24158622356629969       ,  -0.24309758494372494     
   2.3904998597897507       ,  -0.22958581079376239       ,  -0.24021129060514604     
   2.4205350602965194       ,  -0.21699285647174768       ,  -0.23404429382874359     
   2.4505702608032882       ,  -0.20436139325212865       ,  -0.22471043784548167     
   2.4806054613100570       ,  -0.19223871691043107       ,  -0.21271406764371426     
   2.5106406618168258       ,  -0.18113935433962608       ,  -0.19891187422881007     
   2.5406758623235950       ,  -0.17151975061140065       ,  -0.18442877265656474     
   2.5707110628303638       ,  -0.16375617267081147       ,  -0.17053855701332613     
   2.6007462633371325       ,  -0.15812789223513724       ,  -0.15852429289015318     
   2.6307814638439013       ,  -0.15480706160867780       ,  -0.14953571316648873     
   2.6608166643506701       ,  -0.15385592749746446       ,  -0.14446102627803017     
   2.6908518648574389       ,  -0.15523124035475749       ,  -0.14382854836869144     
