 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   245  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.00000
   1.63627     0.00000
   1.70172     0.00000
   1.76718     0.00000
   1.83263     0.00000
   1.89808     0.00000
   1.96353     0.00000
   2.02898     0.00000
   2.09443     0.00000
   2.15988     0.00000
   2.22533     0.00000
   2.29078     0.00000
   2.35623     0.00000
   2.42168     0.00000
   2.48714     0.00000
   2.55259     0.00000
   2.61804     0.00000
   2.68349     0.00000
   2.74894     0.00000
   2.81439     0.00000
   2.87984     0.31912
   2.94529     2.11658
   3.01074     2.20805
   3.07619     2.41225
   3.14164     2.04464
   3.20710     1.99421
   3.27255     1.89979
   3.33800     1.97448
   3.40345     1.97067
   3.46890     1.85577
   3.53435     2.11873
   3.59980     1.31479
   3.66525     0.83729
   3.73070     0.95079
   3.79615     0.86089
   3.86161     0.78759
   3.92706     0.89027
   3.99251     0.65377
   4.05796     0.85385
   4.12341     0.79777
   4.18886     0.84846
   4.25431     0.95964
   4.31976     0.85100
   4.38521     0.89460
   4.45066     0.81838
   4.51611     0.82727
   4.58157     0.79593
   4.64702     0.98815
   4.71247     0.71508
   4.77792     0.81881
   4.84337     0.76862
   4.90882     0.96793
   4.97427     0.88246
   5.03972     0.95087
   5.10517     0.92030
   5.17062     0.93427
   5.23607     0.84469
   5.30153     0.94167
   5.36698     1.03944
   5.43243     0.84639
   5.49788     0.89750
   5.56333     1.04219
   5.62878     1.05986
   5.69423     1.09176
   5.75968     1.07706
   5.82513     1.05787
   5.89058     1.01065
   5.95604     1.17975
   6.02149     1.09037
   6.08694     1.01347
   6.15239     1.02698
   6.21784     0.96697
   6.28329     1.00559
   6.34874     1.00959
   6.41419     1.07754
   6.47964     1.13862
   6.54509     1.08121
   6.61054     1.07126
   6.67600     1.07263
   6.74145     1.08466
   6.80690     0.99964
   6.87235     1.04373
   6.93780     0.98633
   7.00325     0.95112
   7.06870     1.04946
   7.13415     1.01404
   7.19960     0.91271
   7.26505     0.98409
   7.33050     1.00354
   7.39596     0.90118
   7.46141     0.95972
   7.52686     1.02486
   7.59231     1.01874
   7.65776     0.99858
   7.72321     0.91240
   7.78866     0.97621
   7.85411     1.05654
   7.91956     0.92838
   7.98501     0.96770
   8.05046     1.03371
   8.11592     0.96939
   8.18137     0.97865
   8.24682     1.02885
   8.31227     0.94807
   8.37772     1.00638
   8.44317     1.05813
   8.50862     1.01449
   8.57407     1.01932
   8.63952     1.01501
   8.70497     0.99762
   8.77043     0.98279
   8.83588     1.04880
   8.90133     1.03552
   8.96678     1.04720
   9.03223     1.02194
   9.09768     1.03527
   9.16313     0.98704
   9.22858     1.05855
   9.29403     1.05327
   9.35948     0.96117
   9.42493     0.95718
   9.49039     0.98810
   9.55584     0.96374
   9.62129     1.02930
   9.68674     0.98723
   9.75219     0.96359
   9.81764     0.97481
   9.88309     0.98396
   9.94854     0.95768
  10.01399     0.95840
  10.07944     0.93134
  10.14489     1.00615
  10.21035     0.98378
  10.27580     0.97285
  10.34125     0.97604
  10.40670     1.01726
  10.47215     1.02571
  10.53760     0.98768
  10.60305     1.02408
  10.66850     1.02609
  10.73395     1.03802
  10.79940     1.01413
  10.86486     0.92767
  10.93031     0.96229
  10.99576     1.06169
  11.06121     0.99103
  11.12666     0.94466
  11.19211     1.00892
  11.25756     1.05987
  11.32301     1.01540
  11.38846     1.00504
  11.45391     1.05411
  11.51936     0.97360
  11.58482     1.02302
  11.65027     0.99328
  11.71572     1.04488
  11.78117     1.03092
  11.84662     0.98302
  11.91207     0.99673
  11.97752     1.03545
  12.04297     1.00483
  12.10842     0.96015
  12.17387     0.99004
  12.23932     1.05898
  12.30478     0.94833
  12.37023     0.96859
  12.43568     0.98409
  12.50113     1.00980
  12.56658     0.99198
  12.63203     1.05325
  12.69748     1.00036
  12.76293     1.02262
  12.82838     0.96296
  12.89383     0.96913
  12.95928     0.98300
  13.02474     0.99558
  13.09019     0.98758
  13.15564     1.03703
  13.22109     0.98610
  13.28654     1.02326
  13.35199     1.00490
  13.41744     0.99788
  13.48289     1.00459
  13.54834     0.97779
  13.61379     0.98626
  13.67925     1.00159
  13.74470     0.98332
  13.81015     0.98356
  13.87560     0.99665
  13.94105     1.00178
  14.00650     1.01099
  14.07195     0.99409
  14.13740     1.02463
  14.20285     1.00373
  14.26830     1.00835
  14.33375     1.02332
  14.39921     1.00925
  14.46466     0.98670
  14.53011     1.03189
  14.59556     0.99393
  14.66101     0.98199
  14.72646     0.96566
  14.79191     0.99493
  14.85736     1.01466
  14.92281     0.96270
  14.98826     1.01101
  15.05371     0.99129
  15.11917     0.99575
  15.18462     0.98072
  15.25007     1.03136
  15.31552     0.99365
  15.38097     0.95654
  15.44642     1.04205
  15.51187     0.99340
  15.57732     1.03893
  15.64277     0.97617
  15.70822     0.97744
  15.77368     1.03849
  15.83913     1.03784
  15.90458     1.04631
  15.97003     0.96836
  16.03548     1.02673
