Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
223433.859      508105      601082
223445.861      935532     1107930
223457.861     1361369     1613904
223509.861     1779209     2108384
223521.861     2206387     2615845
223533.861     2606578     3089775
223545.861     3012177     3572936
223557.861     3438638     4080697
223609.859     3871429     4596934
223621.861     4283749     5087886
223633.860     4693161     5576497
223645.859     5143470     6111392
223657.860     5663168     6729162
223709.864     6159440     7319649
223721.865     6687376     7945904
223733.858     7207729     8565867
223745.860     7736703     9194369
223757.864     8270793     9823788
223809.859     8802196    10453460
223821.861     9269825    11007191
223833.865     9738948    11563404
223845.861    10204896    12117071
223857.865    10671080    12671849
223909.861    11138382    13227505
223921.865    11603516    13781115
223933.865    12072113    14336896
223945.861    12540646    14891900
223957.865    13008702    15447204
224009.865    13476234    16003295
224021.861    13943349    16558396
224033.865    14410992    17114671
224045.861    14879627    17670886
224057.871    15346785    18225437
224109.861    15815888    18780464
224121.859    16248615    19290342
224133.865    16699400    19824841
224145.861    17144596    20349087
224157.859    17587139    20875749
224209.860    18029743    21401337
224221.860    18510436    21973098
224233.860    19034680    22596332
224245.860    19557430    23217604
224257.865    20050435    23800952
224309.860    20576336    24423312
224321.860    21098441    25043200
224333.858    21605925    25647379
224345.860    22135613    26276990
224357.860    22666386    26907335
224409.860    23199450    27538057
224421.860    23730142    28167615
224433.865    24261579    28797556
224445.865    24730927    29354697
224457.860    25206328    29917943
224509.865    25687396    30486896
224521.861    26165713    31053843
224533.861    26644598    31621968
224545.861    27096247    32159685
224557.859    27563009    32713126
224609.861    28044805    33283079
224621.861    28524293    33850544
224633.865    29003899    34419977
224645.861    29482412    34989100
224657.861    29961154    35555481
224709.865    30441644    36123334
224721.861    30918053    36689781
224733.861    31396007    37258291
224745.861    31875032    37827504
224757.865    32356398    38399024
224809.865    32836971    38968756
224821.865    33315880    39536588
224833.861    33797067    40107141
224845.861    34275781    40673831
224857.865    34757222    41243723
224909.861    35234235    41809235
224921.861    35710116    42375502
224933.861    36188559    42944602
224945.865    36666363    43512039
224957.859    37101288    44027777
225009.859    37559737    44573159
225021.865    38067823    45176001
225033.861    38508475    45699646
225045.860    38971180    46246076
225057.859    39464532    46831450
225109.861    39872501    47316640
225121.865    40315124    47844526
225133.859    40784620    48403387
225145.861    41241984    48944467
225157.859    41676028    49459966
225209.861    42151750    50023493
225221.861    42616474    50576432
225233.865    43078184    51125637
225245.861    43471756    51592678
225257.861    43933319    52140839
225309.865    44374695    52664047
225321.861    44837982    53214026
225333.865    45303317    53765954
225345.861    45764445    54314862
225357.865    46233855    54871242
225409.861    46698882    55425346
225421.861    47164664    55977982
225433.865    47630475    56531160
225445.861    48084095    57068789
225457.861    48503327    57566967
225509.861    48921361    58065261
225521.865    49324608    58544526
225533.859    49715588    59010775
225545.861    50131232    59504215
225557.865    50555684    60008167
225609.861    50978085    60509746
225621.861    51398595    61007802
225633.866    51802738    61486161
225645.861    52224006    61986114
225657.859    52651084    62492465
225709.860    53095138    63017613
225721.865    53563773    63574589
225733.865    53975992    64063047
225745.866    54406125    64571735
225757.861    54858242    65107398
225809.860    55295468    65624430
225821.865    55788178    66207424
225833.861    56215111    66713393
225845.861    56666351    67247584
225857.861    57126020    67791781
225909.861    57544027    68289527
225921.860    58015343    68850884
225933.865    58526446    69457705
225945.861    58988623    70006405
225957.861    59448923    70553098
230009.865    59909272    71098801
230021.861    60359428    71634790
230033.861    60791510    72148237
230045.860    61234932    72675273
230057.865    61738004    73271739
230109.861    62157149    73768019
230121.861    62552027    74236458
230133.858    62972007    74734586
230145.860    63441213    75293705
230157.865    63896265    75836143
230209.862    64334587    76358187
230221.861    64772177    76875546
230233.860    65197301    77379282
230245.861    65631963    77894374
230257.859    66045814    78385505
230309.861    66457181    78876304
230321.862    66871083    79367078
230333.859    67287890    79864734
230345.861    67744130    80405871
230357.865    68183709    80928968
230409.861    68642527    81473163
230421.861    69092216    82006486
