Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
174700.808       12367      123666  0.378E-01  0.993E+00
174712.808       17355      231537  0.273E-01  0.994E+00
174724.808       21062      345138  0.239E-01  0.994E+00
174736.810       25583      456888  0.218E-01  0.994E+00
174748.809       28613      562101  0.202E-01  0.994E+00
174800.811       31061      670146  0.190E-01  0.994E+00
174812.816       33117      767037  0.180E-01  0.994E+00
174824.819       34999      864873  0.174E-01  0.994E+00
174836.810       37245      970486  0.166E-01  0.994E+00
174848.808       40475     1080981  0.160E-01  0.995E+00
174900.811       42568     1175068  0.153E-01  0.995E+00
174912.809       44647     1271475  0.150E-01  0.995E+00
174924.809       47045     1379905  0.144E-01  0.995E+00
