Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E+01
105228.667       64783      219238  0.114E-01  0.102E+01
105240.667      123151      417631  0.114E-01  0.102E+01
105252.666      182587      618052  0.113E-01  0.102E+01
105304.667      242914      821853  0.113E-01  0.102E+01
105316.666      302946     1023904  0.112E-01  0.102E+01
105328.667      362919     1225699  0.112E-01  0.102E+01
105340.666      423307     1428745  0.112E-01  0.102E+01
105352.667      482528     1627967  0.111E-01  0.102E+01
105404.667      542647     1831755  0.110E-01  0.102E+01
105416.667      602130     2033698  0.110E-01  0.102E+01
105428.667      662662     2236691  0.110E-01  0.102E+01
105440.667      722300     2437204  0.110E-01  0.102E+01
105452.667      781261     2635432  0.110E-01  0.102E+01
105504.667      840768     2838350  0.110E-01  0.102E+01
105516.667      900817     3042077  0.110E-01  0.102E+01
105528.667      961005     3243199  0.109E-01  0.102E+01
105540.667     1020977     3445551  0.109E-01  0.102E+01
105552.667     1081545     3649221  0.109E-01  0.102E+01
105604.666     1141751     3852041  0.109E-01  0.102E+01
105616.667     1202093     4055746  0.109E-01  0.102E+01
105628.667     1261045     4255216  0.108E-01  0.102E+01
105640.667     1320382     4455550  0.109E-01  0.102E+01
105652.667     1379144     4653979  0.108E-01  0.102E+01
105704.667     1438515     4854426  0.108E-01  0.102E+01
105716.673     1498853     5057667  0.108E-01  0.102E+01
105728.666     1558830     5261425  0.108E-01  0.102E+01
105740.666     1618540     5464138  0.108E-01  0.102E+01
105752.667     1676786     5660477  0.108E-01  0.102E+01
105804.667     1733569     5853235  0.107E-01  0.102E+01
105816.667     1792517     6053036  0.108E-01  0.102E+01
105828.667     1851886     6253132  0.108E-01  0.102E+01
105840.667     1909078     6445752  0.107E-01  0.102E+01
105852.667     1967348     6642724  0.107E-01  0.102E+01
105904.667     2025595     6839615  0.107E-01  0.102E+01
105916.667     2082323     7032723  0.107E-01  0.102E+01
105928.667     2140996     7231461  0.107E-01  0.102E+01
105940.667     2200964     7433479  0.107E-01  0.102E+01
105952.667     2259967     7630861  0.107E-01  0.102E+01
110004.667     2318951     7828523  0.107E-01  0.102E+01
110016.666     2378960     8029256  0.107E-01  0.102E+01
110028.667     2438307     8230026  0.107E-01  0.102E+01
110040.666     2497591     8429858  0.107E-01  0.102E+01
110052.667     2558400     8634467  0.108E-01  0.102E+01
110104.667     2618372     8836793  0.107E-01  0.102E+01
110116.667     2677386     9038328  0.108E-01  0.102E+01
110128.667     2737328     9241659  0.107E-01  0.102E+01
110140.666     2797704     9445885  0.107E-01  0.102E+01
110152.666     2861418     9662805  0.107E-01  0.102E+01
110204.666     2927413     9885274  0.107E-01  0.102E+01
110216.666     2993594    10109742  0.107E-01  0.102E+01
