Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
104629.900       37904     1515533  0.971E-01
104641.906       37989     1521165  0.968E-01
104653.896       38042     1525157  0.967E-01
104705.900       38158     1534307  0.963E-01
104717.902       38264     1541843  0.960E-01
104729.906       38349     1547534  0.958E-01
104741.896       38460     1555750  0.954E-01
104753.895       38573     1563323  0.951E-01
104805.917       38627     1567742  0.951E-01
104817.895       38706     1572620  0.948E-01
104829.908       38770     1577821  0.947E-01
104841.904       38857     1584119  0.945E-01
104853.901       38923     1588145  0.944E-01
104905.901       39059     1599259  0.940E-01
104917.897       39422     1608623  0.952E-01
104929.919       39599     1618076  0.945E-01
104941.930       39779     1626571  0.940E-01
104953.895       39995     1636726  0.934E-01
105005.897       40162     1646334  0.929E-01
105017.900       40324     1656204  0.923E-01
105029.938       40473     1665158  0.919E-01
105041.911       40613     1674404  0.916E-01
105053.895       40753     1683085  0.912E-01
105105.900       40899     1692114  0.909E-01
105117.894       41039     1700222  0.906E-01
105129.893       41182     1710328  0.902E-01
105141.895       41314     1719120  0.900E-01
105153.893       41454     1729526  0.897E-01
105205.900       41606     1740560  0.894E-01
105217.895       41753     1749823  0.889E-01
105229.895       41882     1758692  0.887E-01
105241.896       42026     1768983  0.884E-01
105253.895       42132     1776735  0.882E-01
105305.900       42286     1786395  0.880E-01
105317.892       42449     1797163  0.877E-01
105329.895       42573     1805394  0.876E-01
105341.903       42702     1815456  0.873E-01
105353.896       42811     1822590  0.871E-01
105405.899       42897     1828864  0.867E-01
105417.905       43011     1836353  0.866E-01
105429.892       43102     1843148  0.864E-01
105441.899       43243     1851846  0.862E-01
105453.910       43360     1860354  0.860E-01
105505.896       43456     1869065  0.857E-01
105517.893       43559     1878242  0.856E-01
105529.898       43703     1887253  0.852E-01
105541.926       43813     1894663  0.850E-01
105553.895       43919     1901927  0.848E-01
105605.900       44002     1908482  0.847E-01
105617.895       44117     1916589  0.844E-01
105629.895       44231     1924873  0.843E-01
105641.899       44362     1933525  0.842E-01
105653.912       44525     1943520  0.839E-01
105705.899       44702     1950804  0.843E-01
105717.895       44823     1958785  0.840E-01
105729.891       44947     1967550  0.838E-01
105741.905       45044     1975760  0.835E-01
105753.895       45155     1984511  0.835E-01
105805.893       45272     1993563  0.833E-01
105817.892       45706     2002717  0.840E-01
105829.895       45849     2010080  0.834E-01
111952.095       45940     2015399  0.832E-01
112004.109       46096     2023715  0.828E-01
112016.097       46253     2032861  0.824E-01
112028.107       46432     2043496  0.821E-01
112040.094       46569     2051597  0.818E-01
112052.100       46669     2058065  0.816E-01
112104.092       46773     2063956  0.814E-01
112116.092       46887     2071373  0.812E-01
112128.092       47009     2082340  0.810E-01
112140.094       47104     2088180  0.808E-01
112152.122       47314     2095638  0.819E-01
112204.135       47553     2102298  0.820E-01
112216.098       47767     2111060  0.814E-01
112228.093       47907     2118534  0.809E-01
112240.099       48047     2125671  0.806E-01
112252.094       48138     2130298  0.804E-01
112304.101       48225     2135147  0.800E-01
112316.097       48371     2144243  0.797E-01
112328.097       48509     2155226  0.795E-01
112340.093       48631     2163192  0.793E-01
112352.101       48785     2172563  0.791E-01
112404.109       48996     2182107  0.792E-01
112416.097       49156     2190839  0.789E-01
112428.094       49267     2198604  0.787E-01
112440.097       49375     2205050  0.785E-01
112452.093       49511     2212833  0.783E-01
112504.097       49587     2218157  0.782E-01
112516.103       49667     2224667  0.782E-01
112528.116       49772     2231862  0.779E-01
112540.101       49844     2237355  0.778E-01
112552.100       49973     2245942  0.776E-01
112604.099       50109     2254989  0.775E-01
112616.097       50210     2261508  0.774E-01
112628.097       50325     2269414  0.772E-01
112640.093       50472     2280211  0.770E-01
112652.095       50605     2290012  0.768E-01
112704.101       50664     2295137  0.767E-01
112716.097       50828     2306199  0.765E-01
112728.096       50932     2313374  0.763E-01
112740.097       51053     2321438  0.762E-01
112752.097       51154     2328663  0.761E-01
112804.100       51283     2337963  0.759E-01
112816.102       51389     2346000  0.758E-01
112828.100       51529     2355631  0.756E-01
112840.142       51646     2362935  0.755E-01
112852.094       51726     2369555  0.755E-01
