Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg
h/m/s/.th    WEIGHT PARAMETERS   0.100E+05  0.100E+05  0.100E+05
155400.139        1389        1492  0.730E+00  0.705E-01  0.313E-02
155412.137        3317        4018  0.264E-01  0.105E-01  0.386E-02
155424.143        4433        6189  0.996E-02  0.800E-02  0.403E-02
155436.139        5275        8227  0.774E-02  0.779E-02  0.394E-02
155448.137        6034       10220  0.682E-02  0.761E-02  0.389E-02
155500.137        6768       12161  0.631E-02  0.750E-02  0.385E-02
155512.147        7449       14085  0.611E-02  0.748E-02  0.379E-02
155524.147        8047       15707  0.572E-02  0.737E-02  0.377E-02
155536.143        8565       17289  0.549E-02  0.730E-02  0.375E-02
155548.137        9217       19233  0.532E-02  0.712E-02  0.375E-02
155600.137        9893       21184  0.528E-02  0.710E-02  0.371E-02
155612.143       10536       23086  0.509E-02  0.700E-02  0.370E-02
155624.136       11179       24977  0.489E-02  0.685E-02  0.370E-02
155636.140       11818       26875  0.485E-02  0.681E-02  0.369E-02
155648.142       12459       28760  0.483E-02  0.680E-02  0.366E-02
155700.140       13086       30636  0.475E-02  0.682E-02  0.364E-02
155712.139       13751       32672  0.478E-02  0.675E-02  0.363E-02
155724.142       14443       34736  0.457E-02  0.666E-02  0.364E-02
155736.143       15131       36672  0.445E-02  0.658E-02  0.363E-02
155748.144       15792       38587  0.445E-02  0.656E-02  0.362E-02
155800.137       16478       40507  0.451E-02  0.658E-02  0.360E-02
155812.138       17152       42513  0.449E-02  0.654E-02  0.360E-02
155824.138       17815       44424  0.451E-02  0.649E-02  0.359E-02
155836.137       18478       46332  0.430E-02  0.641E-02  0.360E-02
155848.139       19100       48239  0.431E-02  0.633E-02  0.360E-02
155900.138       19751       50113  0.430E-02  0.635E-02  0.359E-02
155912.143       20372       52003  0.428E-02  0.634E-02  0.359E-02
155924.141       21012       53923  0.437E-02  0.637E-02  0.357E-02
155936.141       21662       55833  0.429E-02  0.629E-02  0.357E-02
155948.138       22299       57743  0.436E-02  0.637E-02  0.355E-02
160000.142       22959       59663  0.432E-02  0.631E-02  0.355E-02
160012.137       23543       61545  0.433E-02  0.628E-02  0.356E-02
160024.137       24107       63400  0.421E-02  0.614E-02  0.357E-02
160036.142       24775       65403  0.431E-02  0.615E-02  0.356E-02
160048.136       25379       67291  0.431E-02  0.621E-02  0.355E-02
160100.143       26030       69204  0.422E-02  0.620E-02  0.355E-02
160112.140       26658       71095  0.425E-02  0.618E-02  0.355E-02
160124.137       27265       72985  0.423E-02  0.618E-02  0.355E-02
160136.141       27926       74982  0.420E-02  0.616E-02  0.356E-02
160148.136       28570       76892  0.426E-02  0.615E-02  0.355E-02
160200.140       29211       78788  0.410E-02  0.604E-02  0.357E-02
160212.139       29835       80674  0.416E-02  0.611E-02  0.355E-02
160224.137       30463       82572  0.414E-02  0.612E-02  0.355E-02
160236.144       31100       84483  0.421E-02  0.617E-02  0.354E-02
160248.139       31737       86383  0.419E-02  0.607E-02  0.356E-02
160300.143       32374       88279  0.425E-02  0.617E-02  0.354E-02
160312.137       33038       90194  0.420E-02  0.615E-02  0.354E-02
160324.143       33663       92091  0.421E-02  0.616E-02  0.354E-02
160336.141       34258       93974  0.416E-02  0.612E-02  0.355E-02
160348.137       34845       95845  0.414E-02  0.611E-02  0.355E-02
