 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   1.32100 ,    -0.117324724619145E+02 ,     0.751908772008380E+01 ,     0.586126798787737E+00 ,    -0.117420422816501E+02 ,    -0.367321068074622E+01 ,    -0.351464779989540E+01 , 
   1.34100 ,    -0.105917120482021E+02 ,     0.754549039084943E+01 ,     0.454405890115184E+00 ,    -0.106009721821116E+02 ,    -0.359016790911931E+01 ,    -0.322960300767174E+01 , 
   1.36100 ,    -0.885500440404417E+01 ,     0.680522280173144E+01 ,     0.257909109377442E+00 ,    -0.886269189737834E+01 ,    -0.315619220814504E+01 ,    -0.278862699705206E+01 , 
   1.38100 ,    -0.662305988691268E+01 ,     0.529318022649158E+01 ,    -0.783447527050805E-02 ,    -0.662828714650353E+01 ,    -0.239074668291887E+01 ,    -0.222779745129696E+01 , 
   1.40100 ,    -0.402974581719918E+01 ,     0.306262222154534E+01 ,    -0.344914013758376E+00 ,    -0.403208814229463E+01 ,    -0.133874571913125E+01 ,    -0.159276284787440E+01 , 
   1.42100 ,    -0.123054869658485E+01 ,     0.222320333682780E+00 ,    -0.752391530894793E+00 ,    -0.123008016001936E+01 ,    -0.668519745906986E-01 ,    -0.934495023681268E+00 , 
   1.44100 ,     0.161021389524086E+01 ,    -0.307067267921574E+01 ,    -0.122572859427794E+01 ,     0.161293801565464E+01 ,     0.134187415984626E+01 ,    -0.304660017790852E+00 , 
   1.46100 ,     0.433227645061317E+01 ,    -0.662209329296196E+01 ,    -0.175635154127346E+01 ,     0.433628731127900E+01 ,     0.279451290147870E+01 ,     0.248964608140287E+00 , 
   1.48100 ,     0.679128601358970E+01 ,    -0.102145288569973E+02 ,    -0.233142036330435E+01 ,     0.679531089356268E+01 ,     0.419546787704537E+01 ,     0.686609960947007E+00 , 
   1.50100 ,     0.886865983569656E+01 ,    -0.136233794759271E+02 ,    -0.293385838305559E+01 ,     0.887126215922809E+01 ,     0.545371237370375E+01 ,     0.979807383709127E+00 , 
   1.52100 ,     0.104786821446649E+02 ,    -0.166334736992901E+02 ,    -0.354268543724395E+01 ,     0.104784176797308E+02 ,     0.648952802160198E+01 ,     0.111356774900575E+01 , 
   1.54100 ,     0.115723657201169E+02 ,    -0.190550359160277E+02 ,    -0.413367706582436E+01 ,     0.115679397726316E+02 ,     0.724022033105463E+01 ,     0.108727195376344E+01 , 
   1.56100 ,     0.121379214026568E+02 ,    -0.207377521948027E+02 ,    -0.468034748218904E+01 ,     0.121283322525940E+02 ,     0.766439056265999E+01 ,     0.914217766073278E+00 , 
   1.58100 ,     0.121979993309609E+02 ,    -0.215818308691205E+02 ,    -0.515522666204551E+01 ,     0.121826549218251E+02 ,     0.774446921349905E+01 ,     0.619893101470871E+00 , 
   1.60100 ,     0.118041595761281E+02 ,    -0.215451924221241E+02 ,    -0.553137394807917E+01 ,     0.117829573427593E+02 ,     0.748736188466445E+01 ,     0.239162527309348E+00 , 
   1.62100 ,     0.110292700784414E+02 ,    -0.206462309234243E+02 ,    -0.578404456078249E+01 ,     0.110026334574088E+02 ,     0.692321115204152E+01 ,    -0.187348277227204E+00 , 
   1.64100 ,     0.995869516105174E+01 ,    -0.189619414825363E+02 ,    -0.589240379688094E+01 ,     0.992756439392025E+01 ,     0.610242580520336E+01 ,    -0.617315006148173E+00 , 
   1.66100 ,     0.868121466318193E+01 ,    -0.166215763554806E+02 ,    -0.584116875588557E+01 ,     0.864699357980434E+01 ,     0.509125979882801E+01 ,    -0.101083241032054E+01 , 
   1.68100 ,     0.728059681317866E+01 ,    -0.137963466343338E+02 ,    -0.562205102254197E+01 ,     0.724506099610063E+01 ,     0.396632758548460E+01 ,    -0.133419554576767E+01 , 
   1.70100 ,     0.582864123857041E+01 ,    -0.106859981945466E+02 ,    -0.523487710474046E+01 ,     0.579381600384164E+01 ,     0.280851277618475E+01 ,    -0.156298947765805E+01 , 
   1.72100 ,     0.438032434736275E+01 ,    -0.750333462809004E+01 ,    -0.468827708388172E+01 ,     0.434834309902685E+01 ,     0.169675892347019E+01 ,    -0.168420159823396E+01 , 
   1.74100 ,     0.297143725514686E+01 ,    -0.445791669883791E+01 ,    -0.399985552950972E+01 ,     0.294439184965939E+01 ,     0.702223511759426E+00 ,    -0.169716608897520E+01 , 
   1.76100 ,     0.161883125691908E+01 ,    -0.174022505751570E+01 ,    -0.319579103997867E+01 ,     0.159862602694007E+01 ,    -0.116768937724384E+00 ,    -0.161326255211968E+01 , 
   1.78100 ,     0.323105157740023E+00 ,     0.492473622882020E+00 ,    -0.230984975041334E+01 ,     0.311325272409783E+00 ,    -0.718616369156058E+00 ,    -0.145440995684381E+01 , 
   1.80100 ,    -0.926689634538667E+00 ,     0.212746294097120E+01 ,    -0.138184105488811E+01 ,    -0.928886585444438E+00 ,    -0.108091568728257E+01 ,    -0.125051173932860E+01 , 
   1.82100 ,    -0.214696116994334E+01 ,     0.310425431617720E+01 ,    -0.455587374023433E+00 ,    -0.213892385479620E+01 ,    -0.120138921277565E+01 ,    -0.103610756382906E+01 , 
   1.84100 ,    -0.335288384443334E+01 ,     0.341804502910904E+01 ,     0.423479441605663E+00 ,    -0.333451230783096E+01 ,    -0.109724855436244E+01 ,    -0.846562706185629E+00 , 
   1.86100 ,    -0.455193878125822E+01 ,     0.311873888382551E+01 ,     0.121094802371478E+01 ,    -0.452369490755250E+01 ,    -0.803103699883380E+00 ,    -0.714170315648505E+00 , 
   1.88100 ,    -0.573849991406549E+01 ,     0.230566872969426E+01 ,     0.186611166027080E+01 ,    -0.570138466059416E+01 ,    -0.367632050915489E+00 ,    -0.664550864205294E+00 , 
   1.90100 ,    -0.689016691417630E+01 ,     0.111850216328654E+01 ,     0.235452166768001E+01 ,    -0.684566784065471E+01 ,     0.150692165848683E+00 ,    -0.713706052479559E+00 , 
   1.92100 ,    -0.796636148999681E+01 ,    -0.274888980162078E+00 ,     0.265022557192709E+01 ,    -0.791637565812182E+01 ,     0.688448924157708E+00 ,    -0.866023756403540E+00 , 
   1.94100 ,    -0.890946362700009E+01 ,    -0.169258224786669E+01 ,     0.273752071418512E+01 ,    -0.885620187338294E+01 ,     0.118231620209126E+01 ,    -0.111344179402043E+01 , 
   1.96100 ,    -0.964849263418987E+01 ,    -0.295362079500521E+01 ,     0.261208273136141E+01 ,    -0.959437154133575E+01 ,     0.157392147255081E+01 ,    -0.143586946669822E+01 , 
   1.98100 ,    -0.101050611703137E+02 ,    -0.389268044615556E+01 ,     0.228136936586196E+01 ,    -0.100525888521155E+02 ,     0.181414765313496E+01 ,    -0.180284692683117E+01 , 
   2.00100 ,    -0.102010761030093E+02 ,    -0.437322371962605E+01 ,     0.176425049384192E+01 ,    -0.101527373115356E+02 ,     0.186659747810862E+01 ,    -0.217630433477910E+01 , 
   2.02100 ,    -0.986745348186574E+01 ,    -0.429811875488228E+01 ,     0.108987149280954E+01 ,    -0.982559868945948E+01 ,     0.170999700613610E+01 ,    -0.251417634735673E+01 , 
   2.04100 ,    -0.905297705797456E+01 ,    -0.361692385014798E+01 ,     0.295814829826045E+00 ,    -0.901971923782244E+01 ,     0.133940829570377E+01 ,    -0.277454257274369E+01 , 
   2.06100 ,    -0.773237523106488E+01 ,    -0.232932251139333E+01 ,    -0.574320531800473E+00 ,    -0.770949719918666E+01 ,     0.766215575984010E+00 ,    -0.291990917660770E+01 , 
   2.08100 ,    -0.591272681187907E+01 ,    -0.484515154139382E+00 ,    -0.147375514526496E+01 ,    -0.590160131675402E+01 ,     0.169409757207123E-01 ,    -0.292122615719200E+01 , 
   2.10100 ,    -0.363742981668126E+01 ,     0.182329524830860E+01 ,    -0.235557820542225E+01 ,    -0.363895413230270E+01 ,    -0.868971835073285E+00 ,    -0.276125114376686E+01 , 
   2.12100 ,    -0.987169534716048E+00 ,     0.446287278504616E+01 ,    -0.317578682169114E+01 ,    -0.100171613467708E+01 ,    -0.184220059512411E+01 ,    -0.243692281814292E+01 , 
   2.14100 ,     0.192241530883502E+01 ,     0.727665256321727E+01 ,    -0.389608887006086E+01 ,     0.189503039444114E+01 ,    -0.284716065771426E+01 ,    -0.196049088577807E+01 , 
   2.16100 ,     0.494636989488936E+01 ,     0.100932529129427E+02 ,    -0.448625714731346E+01 ,     0.490689930820446E+01 ,    -0.382591493107194E+01 ,    -0.135925774273095E+01 , 
   2.18100 ,     0.791905653549392E+01 ,     0.127407454394089E+02 ,    -0.492585413676974E+01 ,     0.786881256649650E+01 ,    -0.472209399296334E+01 ,    -0.673910172005063E+00 , 
   2.20100 ,     0.106651859298907E+02 ,     0.150595978156312E+02 ,    -0.520519352866272E+01 ,     0.106060084546192E+02 ,    -0.548455964394268E+01 ,     0.444532800951570E-01 , 
   2.22100 ,     0.130124046576511E+02 ,     0.169142601808968E+02 ,    -0.532546334683245E+01 ,     0.129466045988382E+02 ,    -0.607058002919300E+01 ,     0.738373449180801E+00 , 
   2.24100 ,     0.148044228907879E+02 ,     0.182025060376177E+02 ,    -0.529800165355545E+01 ,     0.147347004887281E+02 ,    -0.644833334596937E+01 ,     0.134883220835903E+01 , 
   2.26100 ,     0.159135791807877E+02 ,     0.188618490042418E+02 ,    -0.514278411792629E+01 ,     0.158429175170975E+02 ,    -0.659861526848324E+01 ,     0.182040162662146E+01 , 
   2.28100 ,     0.162517488339663E+02 ,     0.188726183423377E+02 ,    -0.488624767837072E+01 ,     0.161832846112123E+02 ,    -0.651568745103702E+01 ,     0.210629681589233E+01 , 
   2.30100 ,     0.157786098645800E+02 ,     0.182575655197510E+02 ,    -0.455863065465554E+01 ,     0.157154853203794E+02 ,    -0.620726582708637E+01 ,     0.217288607626988E+01 , 
   2.32100 ,     0.145064780187693E+02 ,     0.170781659861038E+02 ,    -0.419105208708681E+01 ,     0.144516798889481E+02 ,    -0.569370344843138E+01 ,     0.200324833996662E+01 , 
   2.34100 ,     0.125011938985378E+02 ,     0.154280499133121E+02 ,    -0.381257791525254E+01 ,     0.124573873333086E+02 ,    -0.500646969692928E+01 ,     0.159944062204792E+01 , 
   2.36100 ,     0.987886795050143E+01 ,     0.134242204335411E+02 ,    -0.344752632427238E+01 ,     0.984823499182544E+01 ,    -0.418606331441376E+01 ,     0.983241381928835E+00 , 
   2.38100 ,     0.679863533794728E+01 ,     0.111968797818858E+02 ,    -0.311324825974489E+01 ,     0.678272874127602E+01 ,    -0.327951947782627E+01 ,     0.195260863951559E+00 , 
   2.40100 ,     0.345191239415231E+01 ,     0.887877045541932E+01 ,    -0.281858255492369E+01 ,     0.345153600320050E+01 ,    -0.233768091244578E+01 ,    -0.707553872204424E+00 , 
   2.42100 ,     0.489496213527885E-01 ,     0.659494456965772E+01 ,    -0.256313085583052E+01 ,     0.640760124630831E-01 ,    -0.141240066657117E+01 ,    -0.165585496802356E+01 , 
   2.44100 ,    -0.319628387476303E+01 ,     0.445380171204435E+01 ,    -0.233742966089697E+01 ,    -0.316654926205940E+01 ,    -0.553831413917312E+00 ,    -0.257298176071846E+01 , 
   2.46100 ,    -0.608169464851242E+01 ,     0.254009230652999E+01 ,    -0.212402066090125E+01 ,    -0.603909618009266E+01 ,     0.192064634759878E+00 ,    -0.338080937534938E+01 , 
   2.48100 ,    -0.843189232231707E+01 ,     0.910384337112064E+00 ,    -0.189934236993571E+01 ,    -0.837895031515325E+01 ,     0.785677256347355E+00 ,    -0.400589562987028E+01 , 
   2.50100 ,    -0.101110539542809E+02 ,    -0.408744667897255E+00 ,    -0.163629232762853E+01 ,    -0.100509350449716E+02 ,     0.119550196779450E+01 ,    -0.438543078337637E+01 , 
   2.52100 ,    -0.110327802385602E+02 ,    -0.141977931874646E+01 ,    -0.130724628575172E+01 ,    -0.109691171570667E+02 ,     0.139943566078128E+01 ,    -0.447250235305714E+01 , 
   2.54100 ,    -0.111661389187876E+02 ,    -0.215083366410911E+01 ,    -0.887274396816148E+00 ,    -0.111028092811923E+02 ,     0.138559068289418E+01 ,    -0.424023553145084E+01 , 
   2.56100 ,    -0.105374006684521E+02 ,    -0.265015982433924E+01 ,    -0.357268900637896E+00 ,    -0.104782784200103E+02 ,     0.115262738845036E+01 ,    -0.368445496308793E+01 , 
   2.58100 ,    -0.922732574208609E+01 ,    -0.297920987474458E+01 ,     0.293304072214921E+00 ,    -0.917602208003143E+01 ,     0.709624331460163E+00 ,    -0.282462898009643E+01 , 
   2.60100 ,    -0.736422590103694E+01 ,    -0.320496793612998E+01 ,     0.106429333476505E+01 ,    -0.732383852473478E+01 ,     0.755198826424654E-01 ,    -0.170299348795246E+01 , 
