Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
151629.785      999020     1234506
151641.785     1917747     2370155
151653.785     2844646     3514683
151705.785     3772706     4656821
151717.785     4699177     5800681
151729.785     5605861     6920818
151741.785     6534791     8065808
151753.785     7459463     9209273
151805.785     8352503    10312391
151817.785     9245164    11414673
151829.785    10204509    12595350
151841.785    11193717    13814496
151853.785    12173290    15024346
151905.785    13139961    16218505
151917.785    13966511    17238377
151929.785    14819283    18289701
151941.785    15697286    19373685
151953.785    16536153    20411263
152005.785    17370188    21444760
152017.786    18214871    22487386
152029.785    19026645    23488363
152041.785    19875665    24537652
152053.785    20725581    25585201
152105.785    21577504    26634836
152117.785    22427683    27685566
152129.785    23288799    28747833
152141.785    24135861    29792453
152153.785    25018817    30885965
152205.785    25824401    31879856
152217.785    26673051    32931500
152229.785    27500483    33952842
152241.785    28323029    34969325
152253.785    29167398    36012946
152305.785    30040947    37089706
152317.785    30916019    38170011
152329.785    31789912    39248383
152341.785    32668214    40332512
152353.786    33469796    41321326
152405.785    34281845    42325301
152417.785    35046247    43268930
152429.785    35943074    44374300
152441.785    36922573    45584136
152453.785    37844869    46723514
152505.785    38753793    47845796
152517.785    39539346    48815280
152529.785    40302596    49756750
152541.785    41108711    50753178
152553.785    41891642    51722100
152605.785    42698947    52718628
152617.785    43537225    53751826
