Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
155615.386       27439      378249  0.125E+00  0.456E-01
155627.386       41515      701368  0.171E+00  0.452E-01
155639.387       61162     1036000  0.947E-01  0.291E-01
155651.386       79942     1370346  0.139E+00  0.375E-01
155703.386       99796     1703700  0.110E+00  0.314E-01
155715.388      114234     2038000  0.888E-01  0.253E-01
155727.386      132562     2371792  0.121E+00  0.314E-01
155739.386      151249     2705550  0.113E+00  0.296E-01
155751.386      171547     3038851  0.122E+00  0.305E-01
155803.386      187332     3372169  0.112E+00  0.281E-01
155815.386      209615     3706600  0.110E+00  0.285E-01
155827.386      227003     4041113  0.106E+00  0.272E-01
155839.386      247416     4374730  0.125E+00  0.292E-01
155851.386      265714     4707405  0.191E+00  0.338E-01
155903.386      285111     5039818  0.112E+00  0.278E-01
155915.386      305539     5372360  0.101E+00  0.261E-01
155927.388      322764     5706000  0.138E-02  0.301E-03
155939.386      339935     6037941  0.103E+00  0.244E-01
155951.386      358827     6370880  0.104E+00  0.257E-01
160003.386      377928     6703413  0.109E+00  0.267E-01
160015.386      397234     7035295  0.108E+00  0.256E-01
160027.386      415545     7367044  0.145E+00  0.287E-01
160039.386      436330     7698982  0.120E+00  0.271E-01
160051.386      453637     8031929  0.113E+00  0.248E-01
160103.386      474326     8364892  0.107E+00  0.238E-01
160115.386      489603     8697478  0.107E+00  0.246E-01
160127.386      510135     9030712  0.104E+00  0.237E-01
160139.386      528565     9362544  0.105E+00  0.238E-01
160151.386      550197     9692385  0.114E+00  0.277E-01
160203.386      576168    10015786  0.144E+00  0.312E-01
160215.386      600862    10351754  0.132E+00  0.298E-01
160227.386      624957    10687210  0.114E+00  0.273E-01
160239.386      645298    11024246  0.116E+00  0.252E-01
160251.386      666157    11360955  0.109E+00  0.235E-01
160303.386      684751    11700482  0.107E+00  0.242E-01
160315.386      707493    12036186  0.102E+00  0.242E-01
160327.386      725725    12375391  0.107E+00  0.231E-01
160339.386      744791    12713802  0.126E+00  0.276E-01
160351.386      764755    13048856  0.107E+00  0.230E-01
160403.386      781102    13384729  0.104E+00  0.228E-01
160415.386      799514    13721040  0.105E+00  0.237E-01
160427.386      820394    14047267  0.106E+00  0.240E-01
160439.386      839027    14364643  0.106E+00  0.234E-01
160451.386      861268    14759606  0.109E+00  0.228E-01
160503.385      888350    15166841  0.102E+00  0.230E-01
160515.385      912640    15582737  0.102E+00  0.232E-01
160527.386      929282    15921997  0.104E+00  0.230E-01
160539.386      951550    16261200  0.109E+00  0.237E-01
160551.386      967862    16602749  0.112E+00  0.235E-01
160603.386      988232    16941931  0.106E+00  0.229E-01
