 Q (1/Ang),Si-Si,Si-O ,O-O  
   0.20000 ,    -0.583501410298370E+01 ,     0.601901631965962E+00 ,    -0.516011752308705E+00 , 
   0.40000 ,    -0.339395511311960E+01 ,     0.351760532155039E+00 ,    -0.855857190878295E+00 , 
   0.60000 ,    -0.183664331433593E+01 ,     0.199594901918940E+00 ,    -0.114504749330592E+01 , 
   0.80000 ,    -0.211933518647189E+01 ,     0.270207976329499E+00 ,    -0.115184545210533E+01 , 
   1.00000 ,    -0.316728589095511E+01 ,     0.507310291592240E+00 ,    -0.834186266413292E+00 , 
   1.20000 ,    -0.323338564479830E+01 ,     0.785467116262145E+00 ,    -0.407521307639339E+00 , 
   1.40000 ,    -0.183644864507176E+01 ,     0.103812953329701E+01 ,    -0.207870382933762E+00 , 
   1.60000 ,    -0.135754166007740E+00 ,     0.123348653033745E+01 ,    -0.418390986403703E+00 , 
   1.80000 ,     0.516098674396334E+00 ,     0.125837315058787E+01 ,    -0.882818749583060E+00 , 
   2.00000 ,     0.707418757911701E-01 ,     0.919090277784211E+00 ,    -0.119328489358510E+01 , 
   2.20000 ,    -0.332967057312452E+00 ,     0.131499042127189E+00 ,    -0.100572419578230E+01 , 
   2.40000 ,     0.187789621778379E+00 ,    -0.891096090969954E+00 ,    -0.319645310848248E+00 , 
   2.60000 ,     0.123425299544524E+01 ,    -0.170032577597093E+01 ,     0.517231486618096E+00 , 
   2.80000 ,     0.163565589072588E+01 ,    -0.192523668950044E+01 ,     0.107235866259848E+01 , 
   3.00000 ,     0.800815153133504E+00 ,    -0.155363065708660E+01 ,     0.112583059994253E+01 , 
   3.20000 ,    -0.641194539860877E+00 ,    -0.912626003757850E+00 ,     0.769713863947626E+00 , 
   3.40000 ,    -0.152761455201677E+01 ,    -0.378234542669911E+00 ,     0.275097490920146E+00 , 
   3.60000 ,    -0.130392965126601E+01 ,    -0.102154662380530E+00 ,    -0.121591060399727E+00 , 
   3.80000 ,    -0.401632916105245E+00 ,     0.967116284570561E-02 ,    -0.341632809116792E+00 , 
   4.00000 ,     0.373120690862663E+00 ,     0.111687725677463E+00 ,    -0.440482104565112E+00 , 
   4.20000 ,     0.620681807096114E+00 ,     0.256976953047954E+00 ,    -0.499986826346541E+00 , 
   4.40000 ,     0.506254202648349E+00 ,     0.403280196621271E+00 ,    -0.535988573264810E+00 , 
   4.60000 ,     0.344496648570078E+00 ,     0.515521490203439E+00 ,    -0.486473233737110E+00 , 
