 Q (1/Ang),S-S  ,S-F  ,F-F  
   0.71000 ,    -0.496757463222822E+01 ,     0.115518855067137E+01 ,    -0.654345169837264E+00 , 
   0.73000 ,    -0.565110088154561E+01 ,     0.828828853060292E+00 ,    -0.730634016084467E+00 , 
   0.75000 ,    -0.635283502356218E+01 ,     0.496700973609524E+00 ,    -0.809536657579918E+00 , 
   0.77000 ,    -0.705657210523449E+01 ,     0.166679142553884E+00 ,    -0.889232350884054E+00 , 
   0.79000 ,    -0.774613113254728E+01 ,    -0.153552059683527E+00 ,    -0.967923555298500E+00 , 
   0.81000 ,    -0.840563662522440E+01 ,    -0.456641115502936E+00 ,    -0.104386828121763E+01 , 
   0.83000 ,    -0.901977708671674E+01 ,    -0.735697189892375E+00 ,    -0.111540911165491E+01 , 
   0.85000 ,    -0.957405452036133E+01 ,    -0.984408448918173E+00 ,    -0.118100043927754E+01 , 
   0.87000 ,    -0.100550334063810E+02 ,    -0.119715444147649E+01 ,    -0.123923496984188E+01 , 
   0.89000 ,    -0.104505443526990E+02 ,    -0.136909234170741E+01 ,    -0.128886421985682E+01 , 
   0.91000 ,    -0.107498945616103E+02 ,    -0.149624042200255E+01 ,    -0.132881923409450E+01 , 
   0.93000 ,    -0.109440392882818E+02 ,    -0.157553827999507E+01 ,    -0.135822619539554E+01 , 
   0.95000 ,    -0.110257286842178E+02 ,    -0.160489060654083E+01 ,    -0.137641866335415E+01 , 
   0.97000 ,    -0.109896260279593E+02 ,    -0.158319288220360E+01 ,    -0.138294635833906E+01 , 
   0.99000 ,    -0.108323907180242E+02 ,    -0.151033711465065E+01 ,    -0.137757916491638E+01 , 
   1.01000 ,    -0.105527278474721E+02 ,    -0.138719840881231E+01 ,    -0.136030780873569E+01 , 
   1.03000 ,    -0.101514247611890E+02 ,    -0.121561250834931E+01 ,    -0.133134164912081E+01 , 
   1.05000 ,    -0.963131039662321E+01 ,    -0.998316800229595E+00 ,    -0.129110002334994E+01 , 
   1.07000 ,    -0.899722098028344E+01 ,    -0.738892654384314E+00 ,    -0.124020240152347E+01 , 
   1.09000 ,    -0.825591462425315E+01 ,    -0.441684581007409E+00 ,    -0.117945415137288E+01 , 
   1.11000 ,    -0.741595773683816E+01 ,    -0.111707483004906E+00 ,    -0.110982941752923E+01 , 
   1.13000 ,    -0.648758192034063E+01 ,     0.245457548537357E+00 ,    -0.103245130230508E+01 , 
   1.15000 ,    -0.548251379600479E+01 ,     0.623776766403586E+00 ,    -0.948569749574664E+00 , 
   1.17000 ,    -0.441378064654169E+01 ,     0.101688433206147E+01 ,    -0.859537569669023E+00 , 
   1.19000 ,    -0.329549516863738E+01 ,     0.141820749941163E+01 ,    -0.766785070751517E+00 , 
   1.21000 ,    -0.214262297451241E+01 ,     0.182109393311859E+01 ,    -0.671793780460702E+00 , 
   1.23000 ,    -0.970736766867956E+00 ,     0.221893865653057E+01 ,    -0.576069750444667E+00 , 
   1.25000 ,     0.204238669622315E+00 ,     0.260530815376682E+01 ,    -0.481116935699277E+00 , 
   1.27000 ,     0.136628636867068E+01 ,     0.297405922961850E+01 ,    -0.388411130490205E+00 , 
   1.29000 ,     0.249950192291651E+01 ,     0.331943376177932E+01 ,    -0.299379260673551E+00 , 
   1.31000 ,     0.358857539084972E+01 ,     0.363622837479087E+01 ,    -0.215358160637920E+00 , 
   1.33000 ,     0.461869859528913E+01 ,     0.391978067143757E+01 ,    -0.137599647571340E+00 , 
   1.35000 ,     0.557603029850058E+01 ,     0.416611692001724E+01 ,    -0.672329197256590E-01 , 
   1.37000 ,     0.644785864565644E+01 ,     0.437199679155615E+01 ,    -0.525209764472744E-02 , 
   1.39000 ,     0.722280127449717E+01 ,     0.453496047016512E+01 ,     0.474980210627210E-01 , 
   1.41000 ,     0.789098228777623E+01 ,     0.465335951784745E+01 ,     0.903332434077422E-01 , 
   1.43000 ,     0.844418320546896E+01 ,     0.472637111311598E+01 ,     0.122738164984290E+00 , 
   1.45000 ,     0.887596547023409E+01 ,     0.475399562642629E+01 ,     0.144371184119732E+00 , 
   1.47000 ,     0.918176257802024E+01 ,     0.473703783695316E+01 ,     0.155066336320606E+00 , 
   1.49000 ,     0.935894043727702E+01 ,     0.467707242746548E+01 ,     0.154832000160405E+00 , 
   1.51000 ,     0.940682511559144E+01 ,     0.457639471004439E+01 ,     0.143846584407274E+00 , 
   1.53000 ,     0.932669770188678E+01 ,     0.443795782856058E+01 ,     0.122451361293775E+00 , 
   1.55000 ,     0.912175658545623E+01 ,     0.426529794811223E+01 ,     0.911406613223726E-01 , 
   1.57000 ,     0.879704801980708E+01 ,     0.406244917159949E+01 ,     0.505496899285235E-01 , 
   1.59000 ,     0.835936638938666E+01 ,     0.383385011461130E+01 ,     0.144026487221847E-02 , 
   1.61000 ,     0.781712612083034E+01 ,     0.358424421802513E+01 ,    -0.553151952666866E-01 , 
   1.63000 ,     0.718020766794410E+01 ,     0.331857598031559E+01 ,    -0.118751077155691E+00 , 
   1.65000 ,     0.645978044236074E+01 ,     0.304188534668360E+01 ,    -0.187827002923269E+00 , 
   1.67000 ,     0.566810595163671E+01 ,     0.275920249895206E+01 ,    -0.261446906048422E+00 , 
   1.69000 ,     0.481832473637911E+01 ,     0.247544524898304E+01 ,    -0.338478374404327E+00 , 
   1.71000 ,     0.392423096179552E+01 ,     0.219532115046383E+01 ,    -0.417771889685707E+00 , 
   1.73000 ,     0.300003871203455E+01 ,     0.192323631161258E+01 ,    -0.498179607636806E+00 , 
   1.75000 ,     0.206014415433702E+01 ,     0.166321271795939E+01 ,    -0.578573345596242E+00 , 
   1.77000 ,     0.111888778222898E+01 ,     0.141881566404229E+01 ,    -0.657861472221271E+00 , 
   1.79000 ,     0.190320912077302E+00 ,     0.119309265058410E+01 ,    -0.735004428057528E+00 , 
   1.81000 ,    -0.712019503934596E+00 ,     0.988524835124303E+00 ,    -0.809028643987605E+00 , 
   1.83000 ,    -0.157532387075153E+01 ,     0.806991835349157E+00 ,    -0.879038666547676E+00 , 
   1.85000 ,    -0.238770712755815E+01 ,     0.649750382074663E+00 ,    -0.944227343613160E+00 , 
   1.87000 ,    -0.313838680873698E+01 ,     0.517427009818672E+00 ,    -0.100388396995656E+01 , 
   1.89000 ,    -0.381783906907868E+01 ,     0.410024664072353E+00 ,    -0.105740033860097E+01 , 
   1.91000 ,    -0.441793018628662E+01 ,     0.326942802601805E+00 ,    -0.110427468967642E+01 , 
   1.93000 ,    -0.493202152998102E+01 ,     0.267010280012315E+00 ,    -0.114411359262127E+01 , 
